"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cornus.canadensis","Cornus.racemosa","Corylus","Cyperaceae","Dalea","Ephedra","Epilobium","Equisetum","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea.glauca","Picea.mariana","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Polypodium","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Saxifraga.oppositifolia","Saxifraga.undiff.","Shepherdia","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Urtica","Viburnum","Vitis","Woodsia"
715,0,3,24,3,14,0,2,2,0,0,0,1,0,0,110,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,68,21,0,13,4,0,0,1,1,2,0,0,0,0,1,0,0,0,0,24,0,9,0,140,188,1,1,0,0,0,3,1,81,1,0,3,0,0,0,0,0,1,9,259,0,40,0,2,0,0
725,120,4,27,2,29,0,0,0,0,1,3,3,0,0,144,0,0,13,0,1,0,0,0,11,2,0,0,0,0,0,57,12,0,25,2,0,0,1,30,3,0,0,1,0,2,0,0,0,0,20,0,12,0,85,186,5,3,0,0,1,1,1,80,3,0,7,1,0,0,0,0,0,7,181,1,44,0,0,1,1
735,240,0,48,0,26,1,0,0,0,1,2,2,0,1,149,0,0,8,0,1,0,0,0,12,1,0,0,0,0,0,69,12,8,43,1,0,0,2,13,2,0,0,0,0,1,0,0,0,0,13,0,3,0,57,149,5,1,0,1,1,0,2,105,1,1,11,0,1,0,0,0,0,17,197,0,50,0,0,0,4
745,360,2,23,10,35,0,1,0,0,1,3,0,0,0,128,0,0,18,0,2,0,0,0,11,1,0,0,0,0,0,100,21,0,17,6,0,0,5,8,5,0,0,0,3,1,1,0,0,0,17,3,7,0,100,139,4,3,0,0,0,1,2,90,1,0,5,5,0,0,0,0,0,7,172,0,53,0,0,1,0
755,480,0,47,2,24,1,0,0,0,0,0,2,0,0,133,0,0,17,0,1,0,0,0,12,1,0,0,0,0,0,95,13,1,24,5,0,0,0,5,4,0,0,0,1,2,0,0,0,0,16,1,2,0,50,189,6,0,0,0,0,2,3,81,1,0,4,1,0,0,0,0,0,12,197,0,62,0,0,0,0
765,600,1,36,0,16,0,0,0,0,0,0,1,0,0,150,0,0,9,1,0,0,0,0,7,2,0,0,0,0,0,106,7,1,29,2,0,0,6,5,3,0,0,0,0,1,0,0,0,0,11,4,6,0,86,195,4,1,0,0,0,2,0,66,1,0,18,0,0,0,0,0,0,9,192,1,43,0,0,0,0
775,720,2,39,1,15,0,1,0,0,0,2,0,0,0,128,0,0,9,0,0,0,0,0,12,1,0,0,0,0,0,93,20,0,28,0,1,0,1,7,1,1,0,0,1,0,0,0,0,0,22,5,10,0,107,200,2,2,0,0,0,1,0,64,0,0,9,0,0,0,0,1,0,6,176,1,30,0,5,0,0
785,840,3,37,0,23,0,0,0,0,1,2,1,0,0,147,0,0,13,0,0,1,0,0,26,3,0,0,0,0,0,116,6,1,31,2,0,0,3,3,5,0,0,0,1,0,0,0,0,0,6,1,4,0,57,196,3,1,0,0,0,0,0,66,0,0,12,0,0,0,0,0,0,6,162,1,66,0,0,1,0
795,960,0,32,1,10,0,0,0,0,0,3,3,0,1,151,0,0,10,0,0,0,0,0,14,1,0,0,0,0,0,110,17,3,31,2,0,0,1,10,2,0,0,0,0,2,2,0,0,1,15,0,7,0,72,154,5,0,0,0,0,0,1,93,2,0,4,1,0,0,0,0,0,7,181,0,55,0,0,0,1
805,1080,6,26,3,26,0,0,0,0,2,5,2,0,0,127,0,1,9,0,0,1,0,2,7,2,0,0,0,0,0,119,30,0,25,7,0,0,0,8,4,0,0,0,1,0,1,1,0,0,31,2,4,0,95,188,4,1,0,0,0,0,2,59,1,0,9,0,0,0,0,0,0,11,195,0,55,0,1,0,0
815,1199,1,38,1,22,0,0,0,0,0,1,4,0,0,132,0,0,17,0,0,0,0,0,21,4,0,0,0,0,0,120,24,2,36,6,0,0,3,7,3,1,0,0,0,4,0,0,0,0,7,0,2,0,100,142,2,1,0,0,0,0,1,55,1,0,5,1,0,0,0,0,0,8,177,0,68,0,0,0,1
825,1319,1,47,0,23,0,1,0,0,0,3,3,0,0,128,0,0,22,0,0,0,0,0,7,3,0,0,0,0,0,115,7,0,30,2,0,0,3,18,2,0,0,0,0,0,0,0,0,0,24,1,4,0,79,92,9,0,0,0,1,0,4,86,3,0,11,1,0,0,0,0,0,9,218,0,54,0,0,1,1
835,1445,2,26,4,11,2,0,0,0,0,7,1,0,0,111,0,0,9,0,0,0,0,0,1,2,0,0,0,0,0,85,14,0,20,2,0,0,1,9,1,0,0,0,0,1,1,0,0,0,17,3,5,2,114,161,4,3,0,0,1,1,1,81,1,1,3,0,0,0,0,0,0,3,266,0,44,0,0,0,0
