"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Chamaecrista","Cephalanthus","Cyperaceae","Poaceae.undiff.","Ilex","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Rumex","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Vitis","Alnus","Fraxinus","Myrica","Iva.frutescens.type","Rosaceae","Ericales.undiff.","Artemisia","Celtis","Amaranthaceae.undiff.","Cyrilla.racemiflora","Fagus","Sambucus","Ulmus","Cornus","Cupressaceae.undiff.","Polygonum.bistorta.type","Xanthium.type","Caryophyllaceae","Senecio","Citrus","Itea","Combretaceae.Melastomataceae","Polygonum.persicaria.type","Salix","Secale.type","Acer.negundo","Castanea","Gordonia","Rhus","Brassicaceae","Ledum.type","Acer.rubrum","Zea.mays","Meliaceae.Sapotaceae","cf..Ribes","cf..Sapindaceae","Juglans.nigra","Lechea","Rhamnaceae","Iva.xanthifolia","Thalictrum","Polygonella.fimbriata.P..myriophylla","Tillandsia","Araliaceae","Onagraceae","Platanus","Liliaceae","Osmanthus","Serenoa","Symplocos","Tilia","Populus","Apiaceae.undiff.","Betula","Acer.saccharum.type","Polygonella.polygama.type","Anacardiaceae.type.undiff.","Planera.aquatica","Parthenocissus","Asteraceae.subf..Cichorioideae","Zanthoxylum","Urticaceae","Arecaceae.undiff.","Boraginaceae","Ephedra","Ranunculus","Lamiaceae","Pinus.subg..Strobus","Corylus","Fabaceae.undiff.","Dalea","Moraceae","Bromeliaceae.undiff.","Primulaceae","Myrtaceae","Gomphrena.type","Apocynaceae","Malvaceae"
451,-32,525,11,10,1,1,3,14,9,5,10,1,37,222,111,1,18,14,1,1,2,48,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,-16,408,5,25,1,5,0,10,5,5,7,1,24,195,61,0,8,0,0,2,0,34,0,0,3,4,1,1,1,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,0,382,6,2,0,4,5,3,4,1,9,1,18,200,63,1,11,10,0,1,0,36,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,16,508,7,11,0,7,7,16,7,5,15,0,43,227,91,0,16,14,0,0,0,34,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464.5,22,475,5,8,0,3,3,13,6,3,8,1,34,238,88,0,13,13,0,0,0,31,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,32,632,5,14,0,1,4,9,7,4,16,3,423,0,63,0,6,14,4,0,0,43,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469.5,42,420,9,12,0,3,4,8,7,1,4,2,22,231,59,1,10,9,0,1,0,31,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,52,331,2,3,0,1,8,13,6,2,1,0,39,157,50,0,8,14,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.5,62,356,2,6,1,1,2,9,4,3,1,0,39,188,61,0,13,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,72,340,1,6,0,0,0,6,7,3,5,1,15,215,37,0,1,3,0,0,0,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
