"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ericaceae.undiff.","Salix.undiff.","Acer.rubrum","Caryophyllaceae","Chamaedaphne.calyculata","Rubiaceae.undiff.","Thalictrum","Tilia","Rosaceae.undiff.","Cerealia","Acer.saccharinum","Corylus.cornuta","Impatiens","Ribes","Sambucus","Taxus","Fabaceae","Lamiaceae","Castanea.dentata","Potentilla.palustris.type","Carya.ovata","Picea.glauca.type","Vaccinium.uliginosum.type","Urticaceae","Cephalanthus.occidentalis","Myrica.gale","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Salix.herbacea.type","Acer.spicatum","Brassicaceae","Saxifragaceae","Fraxinus.americana.type","Viburnum.edule","Elymus.type"
0,0,412,3,23,2,23,2,67,43,7,4,1,84,2,6,25,1,1,7,4,4,9,1,5,1,2,7,38,3,2,9,4,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,110,384,0,15,3,23,0,75,63,2,4,1,39,2,3,27,0,7,9,3,2,0,0,2,2,3,15,17,11,2,6,2,1,24,3,3,2,2,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,219,967,1,13,6,28,3,120,414,4,10,1,101,3,32,37,0,4,11,8,4,8,0,12,1,1,11,49,18,1,15,9,0,12,0,0,1,0,0,1,9,0,0,1,1,1,1,1,4,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,329,574,0,6,2,2,0,25,36,1,2,0,415,2,5,16,0,3,7,2,1,1,0,1,1,0,1,15,2,2,20,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,439,742,1,4,1,0,0,33,0,4,3,1,576,10,7,18,0,0,0,1,2,6,0,1,1,0,0,33,6,2,22,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,549,594,2,17,4,3,4,134,12,30,6,3,73,11,7,33,0,3,14,1,9,28,1,6,4,4,9,62,1,4,82,2,1,4,5,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
60,700,734,2,26,6,1,2,161,14,29,15,3,48,20,23,42,0,5,18,0,17,0,0,9,9,2,19,95,2,9,110,5,1,1,0,0,1,1,1,2,3,0,2,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,1,1,1,20,0,0,0,0,0,0
80,1086,587,1,20,7,1,1,149,10,31,14,1,54,14,8,28,0,1,11,0,5,14,0,5,6,2,3,84,0,9,92,3,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
100,1473,643,2,16,1,0,0,119,9,46,20,1,78,10,10,33,0,3,14,1,11,13,0,4,5,2,7,146,0,7,71,3,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
120,1859,455,1,8,3,1,0,93,5,31,17,4,46,12,4,25,0,4,7,0,9,10,0,3,4,1,5,71,0,5,59,1,1,0,6,1,0,0,0,3,2,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0
140,2245,508,1,17,1,0,2,123,6,35,15,3,20,11,8,22,0,5,15,0,9,14,0,5,5,2,2,103,0,2,62,1,0,0,2,1,0,0,2,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0
160,2632,486,2,16,3,0,0,121,7,32,16,1,25,15,3,33,0,0,9,0,12,7,0,5,6,0,4,80,7,13,52,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
180,3018,494,1,14,3,0,1,109,10,35,13,2,31,13,5,32,0,6,14,0,10,4,0,1,10,0,2,88,0,11,53,1,0,1,3,0,0,0,0,4,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,1,1,1,0
200,3404,576,0,24,0,0,2,171,13,46,19,3,31,5,4,19,0,1,13,1,13,19,0,0,11,0,10,95,0,2,61,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
220,3791,644,1,27,2,2,0,149,11,45,16,1,46,11,3,52,1,1,22,1,8,33,1,1,6,1,5,129,0,8,44,1,0,0,0,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0
