"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Asteraceae.undiff.","Ericaceae","Fagus","Larix","Picea.glauca.type","Picea.mariana.type","Quercus","Rumex","Salix","Tsuga","Alnus","Acer","Ambrosia","Poaceae","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Cyperaceae","Ostrya.Carpinus","Ranunculaceae.undiff.","Viburnum","Corylus","Fraxinus","Plantago","Ilex","Pinus.undiff.","Juniperus.Thuja","Populus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Ulmus","Myrica","Polygonaceae.undiff.","Saxifragaceae","Rosaceae.undiff.","Platanus","Thalictrum","Epilobium","Potentilla","Fabaceae","Amaranthaceae","Tilia"
0,-26,0.048689138576779,0.00374531835205993,0.101123595505618,0.00374531835205993,0.00374531835205993,0.048689138576779,0.00374531835205993,0.00374531835205993,0.164794007490637,0.194756554307116,0.00374531835205993,0.0149812734082397,0.00374531835205993,0.0224719101123595,0.0262172284644195,0.00374531835205993,0.00749063670411985,0.157303370786517,0.048689138576779,0.0224719101123595,0.112359550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,0.0174216027874564,0.00348432055749129,0.418118466898955,0,0.00348432055749129,0.0557491289198606,0.0209059233449477,0,0.0104529616724739,0.0662020905923345,0.0278745644599303,0.0627177700348432,0,0.0174216027874564,0.0313588850174216,0.00696864111498258,0.0209059233449477,0.0766550522648084,0.073170731707317,0.0278745644599303,0.0418118466898955,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00696864111498258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71,0.0526315789473684,0,0.379699248120301,0,0,0.0488721804511278,0.056390977443609,0.0037593984962406,0.0488721804511278,0.0827067669172932,0.0338345864661654,0.0827067669172932,0,0.0451127819548872,0.0300751879699248,0,0.0037593984962406,0.0263157894736842,0.0300751879699248,0.0112781954887218,0.0263157894736842,0.018796992481203,0.0075187969924812,0,0,0.0037593984962406,0.0037593984962406,0.0037593984962406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,285,0.00452488687782805,0.00904977375565611,0.524886877828054,0,0,0.0407239819004525,0.00452488687782805,0,0.0361990950226244,0.0135746606334842,0.0723981900452489,0,0,0.0950226244343891,0.0135746606334842,0.00452488687782805,0.00452488687782805,0.0135746606334842,0.0407239819004525,0.0542986425339367,0.0180995475113122,0.00452488687782805,0.0407239819004525,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,665,0.0185873605947955,0,0.386617100371747,0,0,0.152416356877323,0.00371747211895911,0,0,0,0.0743494423791822,0,0,0.0631970260223048,0.00371747211895911,0.00743494423791822,0,0,0,0.118959107806691,0.0557620817843866,0,0.0185873605947955,0,0,0.00743494423791822,0,0,0.00371747211895911,0.0780669144981413,0.00371747211895911,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1046,0.0112359550561798,0.00374531835205993,0.382022471910112,0,0,0.153558052434457,0.0149812734082397,0,0,0,0.0599250936329588,0,0,0.052434456928839,0.0112359550561798,0,0,0.00374531835205993,0,0.112359550561798,0.052434456928839,0,0.0187265917602996,0,0,0,0,0,0,0.116104868913858,0,0.00374531835205993,0.00374531835205993,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1426,0.00694444444444444,0,0.486111111111111,0,0,0.194444444444444,0,0,0,0,0.0277777777777778,0,0,0.0347222222222222,0.0173611111111111,0.00694444444444444,0,0,0,0.121527777777778,0.0590277777777778,0,0.0104166666666667,0,0,0,0.00347222222222222,0,0,0.0208333333333333,0.00694444444444444,0,0,0.00347222222222222,0,0,0,0,0,0,0,0,0,0,0,0
70,1806,0,0.00448430493273543,0.515695067264574,0,0,0.0134529147982063,0.00448430493273543,0,0.0179372197309417,0.00896860986547085,0.0403587443946188,0,0,0.0134529147982063,0,0.00896860986547085,0,0,0.161434977578475,0.192825112107623,0.00448430493273543,0.00448430493273543,0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0,0,0,0
90,2567,0.0119521912350598,0.00398406374501992,0.358565737051793,0,0,0.0796812749003984,0.00398406374501992,0,0,0,0.0637450199203187,0,0,0.0438247011952191,0.0199203187250996,0,0,0.00398406374501992,0,0.131474103585657,0.0438247011952191,0,0.047808764940239,0,0,0,0,0,0,0.187250996015936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2947,0.01,0.00666666666666667,0.196666666666667,0,0,0.05,0,0,0,0,0.03,0,0,0.28,0.0233333333333333,0.01,0.00333333333333333,0,0,0.123333333333333,0.0433333333333333,0.00333333333333333,0.0133333333333333,0,0,0,0.00333333333333333,0,0.00333333333333333,0.183333333333333,0.00666666666666667,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
