"sample.depths","sample.ages","Betula","Bumelia","Celtis","Asteraceae.undiff.","Quercus","Rhizophora","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Cyperaceae.undiff.","Avicennia","Conocarpus","Casuarina","cf..Acanthaceae","Sophora","Carya","Fabaceae.undiff.","Liquidambar","Poaceae","Aster","Ilex","Alnus","Euphorbiaceae","Schinus","Bursera.simaruba","Hippocratea","Cephalanthus","Cornus","cf..Coccoloba","Ericaceae","Trema","Ostrya.Carpinus","Fraxinus","Juglans","Cyrilla.racemiflora","Polygonaceae","Cupressaceae.Taxaceae","Ephedra","Fagus"
1,-42,0.0149253731343284,0.0597014925373134,0.0149253731343284,0.0447761194029851,0.134328358208955,0.0597014925373134,0.0149253731343284,0.0149253731343284,0.0597014925373134,0.358208955223881,0.0447761194029851,0.0597014925373134,0.0149253731343284,0.0149253731343284,0.0597014925373134,0.0149253731343284,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-35,0,0,0,0,0.0175438596491228,0.0350877192982456,0,0,0.175438596491228,0.596491228070175,0.0350877192982456,0.0175438596491228,0,0,0,0,0,0.0175438596491228,0.0526315789473684,0.0175438596491228,0.0175438596491228,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-29,0,0.0285714285714286,0.00571428571428571,0.00571428571428571,0.0514285714285714,0.0514285714285714,0,0,0.177142857142857,0.331428571428571,0.0285714285714286,0.0342857142857143,0.0285714285714286,0.04,0.0228571428571429,0,0.00571428571428571,0.0114285714285714,0.0514285714285714,0,0,0.0285714285714286,0.0114285714285714,0.00571428571428571,0.04,0.00571428571428571,0.0342857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-23,0,0.0428571428571429,0,0.0142857142857143,0.0571428571428571,0.0428571428571429,0.0142857142857143,0,0.342857142857143,0.271428571428571,0.00714285714285714,0,0.00714285714285714,0.0142857142857143,0.0142857142857143,0,0,0,0.0428571428571429,0,0,0.0714285714285714,0,0,0.0428571428571429,0,0.00714285714285714,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-16,0,0.0256410256410256,0,0.0170940170940171,0.0170940170940171,0.0512820512820513,0,0.0170940170940171,0.273504273504274,0.452991452991453,0.00854700854700855,0,0,0,0.0170940170940171,0,0,0,0.0170940170940171,0,0.00854700854700855,0.0427350427350427,0,0.00854700854700855,0.0341880341880342,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-10,0.0136054421768707,0.0340136054421769,0,0.054421768707483,0.0476190476190476,0.0476190476190476,0,0.0136054421768707,0.197278911564626,0.306122448979592,0.00680272108843537,0.0204081632653061,0.0748299319727891,0.00680272108843537,0.0408163265306122,0,0,0.00680272108843537,0.0340136054421769,0,0,0.0204081632653061,0,0.00680272108843537,0.0612244897959184,0,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0,0.117647058823529,0.411764705882353,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0.117647058823529,0,0,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0
15,20,0,0,0,0,0.0869565217391304,0.130434782608696,0,0.0434782608695652,0.260869565217391,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0.0434782608695652,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,35,0,0.008,0,0.016,0.008,0.016,0,0,0.272,0.512,0.008,0.024,0,0,0,0,0,0,0.08,0,0,0.032,0,0,0.016,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0
19,50,0,0.0412371134020619,0,0.0154639175257732,0.0670103092783505,0.0360824742268041,0,0,0.304123711340206,0.237113402061856,0.0206185567010309,0.0154639175257732,0,0.0257731958762887,0,0,0,0,0.0515463917525773,0,0,0.123711340206186,0,0.00515463917525773,0.0257731958762887,0,0.0103092783505155,0.00515463917525773,0,0.00515463917525773,0.0103092783505155,0,0,0,0,0,0,0,0,0,0
21,101,0,0,0,0.0125,0.025,0.0375,0,0,0.3375,0.375,0,0.0125,0.0375,0.0125,0,0.025,0,0,0.05,0,0,0.025,0,0.0125,0.0125,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,152,0,0.012987012987013,0,0,0.0194805194805195,0.0194805194805195,0,0,0.246753246753247,0.428571428571429,0.0064935064935065,0.0194805194805195,0,0.038961038961039,0,0,0,0,0.0584415584415584,0,0.0064935064935065,0.0844155844155844,0.0064935064935065,0.012987012987013,0.0194805194805195,0,0,0.0064935064935065,0,0,0,0.0064935064935065,0.0064935064935065,0,0,0,0,0,0,0,0
25,202,0.00892857142857143,0,0,0,0.0446428571428571,0.0714285714285714,0,0,0.196428571428571,0.464285714285714,0.0357142857142857,0,0,0.00892857142857143,0,0,0,0,0.0803571428571429,0,0,0.0535714285714286,0,0.0267857142857143,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
27,253,0,0.0337078651685393,0,0.0112359550561798,0.0224719101123595,0.0112359550561798,0,0.0112359550561798,0.146067415730337,0.617977528089888,0.0112359550561798,0,0,0.0112359550561798,0,0,0,0,0.0337078651685393,0,0,0.0786516853932584,0,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0,0,0,0,0,0
29,304,0,0.0256410256410256,0,0.0256410256410256,0.0512820512820513,0.0427350427350427,0,0,0.273504273504274,0.41025641025641,0,0,0.00854700854700855,0.0341880341880342,0.00854700854700855,0,0.00854700854700855,0,0.0512820512820513,0,0,0.0427350427350427,0,0,0,0,0.00854700854700855,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0
33,380,0,0.00769230769230769,0,0,0.00769230769230769,0.0461538461538462,0,0,0.153846153846154,0.638461538461538,0.0384615384615385,0,0,0.0538461538461538,0,0,0,0,0,0.00769230769230769,0.0384615384615385,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0
35,404,0.00315457413249211,0.00315457413249211,0,0.00315457413249211,0.0157728706624606,0.00946372239747634,0,0,0.0914826498422713,0.832807570977918,0.00946372239747634,0,0,0,0,0,0,0,0.0189274447949527,0,0,0,0,0.00630914826498423,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0
37,429,0,0,0,0.00318471337579618,0.0127388535031847,0,0,0,0.0987261146496815,0.85031847133758,0.00636942675159236,0,0,0,0,0,0.00636942675159236,0,0.00955414012738853,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0.00636942675159236,0,0,0,0.00318471337579618,0,0,0,0
39,454,0,0,0,0,0.00952380952380952,0,0,0,0.00952380952380952,0.965079365079365,0.00634920634920635,0,0,0,0,0,0.00634920634920635,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,479,0,0,0,0,0.0145985401459854,0,0,0,0.0401459854014599,0.905109489051095,0.0109489051094891,0.00364963503649635,0,0,0,0,0,0.0072992700729927,0.0109489051094891,0,0,0,0,0.00364963503649635,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,503,0,0,0,0,0.0186335403726708,0.0186335403726708,0.0031055900621118,0,0.0745341614906832,0.81055900621118,0.0248447204968944,0,0,0.0031055900621118,0,0,0,0.0031055900621118,0.0217391304347826,0.0031055900621118,0.0062111801242236,0.0031055900621118,0.0031055900621118,0,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,528,0,0,0,0,0.0129198966408269,0.0103359173126615,0,0,0.0542635658914729,0.863049095607235,0.0155038759689922,0,0,0,0,0,0.00516795865633075,0,0.0129198966408269,0,0.00516795865633075,0.00258397932816537,0.00516795865633075,0.00258397932816537,0,0,0.00258397932816537,0,0,0,0,0,0.00258397932816537,0,0,0,0,0.00258397932816537,0.00258397932816537,0,0
47,553,0,0.00284090909090909,0,0.00284090909090909,0.0142045454545455,0,0,0,0.0653409090909091,0.860795454545455,0.0142045454545455,0.00568181818181818,0,0,0,0,0.00568181818181818,0.00284090909090909,0.00852272727272727,0,0,0,0.00568181818181818,0,0,0,0.00284090909090909,0,0,0,0,0,0,0,0,0,0.00284090909090909,0,0.00568181818181818,0,0
49,578,0,0,0,0,0.0164383561643836,0.00547945205479452,0,0,0.0986301369863014,0.813698630136986,0.010958904109589,0.00821917808219178,0,0.00273972602739726,0,0,0.00273972602739726,0,0.010958904109589,0.00273972602739726,0.0136986301369863,0,0.00273972602739726,0.00273972602739726,0.00273972602739726,0,0.00547945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,603,0,0,0,0,0.0165745856353591,0.00552486187845304,0,0,0.0441988950276243,0.889502762430939,0.0165745856353591,0,0,0,0,0,0,0,0,0.00552486187845304,0.00552486187845304,0,0,0.00552486187845304,0,0,0,0,0,0,0,0,0,0.00552486187845304,0,0,0,0,0,0.00552486187845304,0
