"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Annonaceae","Asteraceae.undiff.","Avicennia","Bumelia","Bursera.simaruba","Casuarina","Celtis","Cephalanthus","Cladium","Conocarpus","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Euphorbiaceae","Fabaceae","Ilex","Myrica","Myriophyllum","Pinus","Poaceae","Polygonaceae","Pontederiaceae","Quercus","Rhizophora","Sagittaria","Typha","Ulmus","Unknown..tricolporate.","Unknown..triporate.","Unknown.undiff.","Utricularia"
1,-41,0,4,2,0,2,0,0,0,0,2,2,4,0,8,0,0,0,2,28,0,136,2,0,2,2,2,2,0,0,0,0,6,0
2,-38,2,0,6,0,2,0,0,0,0,0,0,22,0,4,8,0,6,2,62,0,70,24,0,0,4,0,0,0,0,0,2,4,0
3,-34,0,2,10,0,8,0,0,0,0,0,2,26,12,2,4,0,6,0,98,0,36,4,0,0,18,4,0,0,0,0,0,0,0
4,-31,0,16,8,0,12,0,2,0,0,0,2,14,0,6,4,0,0,2,52,0,50,0,0,0,4,2,0,12,0,0,0,8,0
5,-27,0,4,6,0,8,0,0,0,0,0,0,24,0,2,0,0,0,0,44,0,80,6,2,0,4,0,0,6,0,0,0,4,0
7,-20,0,6,8,0,8,0,0,0,2,0,0,64,0,0,0,0,0,0,34,2,58,2,0,0,4,6,0,0,0,0,0,8,0
9,-13,0,6,2,0,8,0,0,0,0,2,0,28,0,8,6,0,0,10,52,2,92,0,2,0,2,2,0,0,0,0,0,6,0
11,-4,0,16,8,0,18,0,0,0,0,0,4,2,0,6,0,0,2,16,78,0,68,0,0,0,4,14,2,0,0,0,0,0,0
15,18,0,4,2,0,16,0,8,0,0,0,0,4,0,0,0,2,0,14,80,0,42,2,4,0,0,60,0,4,0,0,0,10,2
21,51,0,4,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,6,78,0,68,4,2,0,0,32,0,2,0,0,0,10,0
25,184,0,6,0,2,6,0,2,0,0,0,0,8,0,0,2,0,6,8,64,4,64,2,22,0,0,16,0,4,0,0,0,10,0
31,384,2,28,0,0,2,6,0,0,2,0,2,0,0,0,8,0,6,8,72,0,24,0,0,0,0,52,0,8,0,2,0,14,0
35,408,2,118,2,0,6,0,0,0,0,0,2,10,0,2,0,0,2,2,44,0,68,0,4,0,4,4,0,10,0,0,0,0,2
41,445,0,1266,0,0,52,0,0,0,0,0,0,2,0,0,0,0,8,0,36,0,54,2,2,0,6,14,2,60,0,0,0,6,2
45,469,0,84,0,0,44,0,0,0,0,0,0,24,0,0,40,0,6,6,60,0,42,2,20,0,2,12,12,168,4,0,0,10,10
51,506,0,154,0,0,28,0,0,0,0,0,0,20,0,0,12,0,10,2,8,0,10,2,4,0,6,186,0,46,0,2,0,12,2
55,530,0,2,2,0,64,0,2,0,0,0,0,6,0,0,18,4,4,4,2,0,26,0,0,0,2,124,0,16,0,0,0,16,2
61,567,2,0,0,0,76,0,0,0,0,0,0,2,0,0,4,0,4,0,20,0,28,0,20,0,2,178,0,2,0,0,0,0,0
65,NA,0,38,2,0,20,0,0,0,0,6,0,6,0,0,0,0,4,8,88,0,118,0,0,0,2,52,0,4,0,0,0,6,6
71,NA,2,66,0,0,4,0,2,2,0,0,0,6,0,2,6,0,0,4,46,0,160,2,0,0,2,4,2,0,0,0,0,4,2
77,NA,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,164,2,0,0,2,2,0,0,0,0,0,4,2
