"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1,-2,10,2,5,1,2,6,0,0,0,131,0,0,0,2,1,3,0,0,0,0,0,1,1,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,26,30,67,0,1,0,0,0,3,1,1,0,0,0,1,0,0,2,0,3,0,0,0
10,42,6,0,4,6,1,24,0,4,1,182,0,0,0,2,1,2,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,28,16,16,0,1,0,0,3,5,0,0,0,0,0,1,0,0,1,0,0,3,0,0
20,215,13,0,3,10,0,0,0,4,0,138,0,0,0,0,4,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,41,26,30,1,7,0,0,0,15,0,0,0,0,0,1,0,0,1,0,3,0,0,0
30,512,10,0,2,5,0,3,0,5,1,147,0,0,0,3,1,2,0,0,0,1,1,0,1,0,5,3,0,0,1,0,0,0,2,0,0,0,0,0,0,3,25,30,38,1,0,1,0,1,18,0,0,0,0,0,1,0,0,1,0,3,1,0,0
40,808,5,0,4,7,0,1,0,1,0,175,0,0,0,23,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,27,0,0,0,0,1,8,0,0,0,0,0,3,0,0,2,0,0,0,0,0
50,1104,2,0,4,5,0,4,0,2,1,180,0,1,0,6,4,1,0,0,0,1,1,2,3,0,10,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,17,13,38,0,2,1,0,2,6,0,0,0,0,0,3,0,0,5,0,3,0,1,0
60,1400,7,0,3,3,0,0,0,1,0,212,1,0,0,3,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,16,8,30,0,1,1,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0
70,1696,5,0,4,8,0,2,0,3,0,195,0,0,0,12,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15,11,24,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,0,0,0
80,1992,2,0,3,5,1,2,0,1,0,179,0,0,0,18,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,10,41,0,2,0,0,1,8,0,0,0,0,0,1,0,0,6,0,6,1,0,0
90,2288,4,0,6,9,0,3,0,2,0,140,0,0,0,10,4,1,0,0,2,1,2,1,3,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,18,22,47,0,2,0,0,0,11,0,0,1,0,0,1,0,0,6,0,5,0,0,0
100,2585,4,0,5,7,0,2,0,2,2,167,1,0,0,7,1,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,5,0,3,0,0,0,0,0,0,1,18,11,54,0,1,0,0,0,5,0,0,0,0,0,2,0,0,1,0,2,1,0,0
110,2881,5,0,14,8,3,4,0,3,0,141,1,0,1,20,2,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,8,19,41,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0
120,3177,6,0,2,4,1,2,0,3,0,162,2,0,0,6,0,0,0,0,0,3,2,0,2,1,6,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,87,0,0,0,0,4,9,0,0,0,0,1,1,0,0,3,0,1,0,0,0
135,3621,5,0,3,10,0,2,0,2,1,130,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,14,22,88,0,1,0,0,1,10,0,1,0,0,0,1,0,0,1,0,2,0,0,0
145,3917,3,0,6,15,0,2,0,7,0,142,0,0,0,8,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,89,0,3,0,0,2,8,0,0,0,0,0,1,0,0,0,0,2,1,0,0
