"sample.depths","sample.ages","upland.sum","Abies","Betula","Amaranthaceae.undiff.","Cyperaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Thalictrum","Alnus","Ambrosia","Pinus","Poaceae","Ostrya.Carpinus","Sanguisorba","Asteraceae.subf..Asteroideae.undiff.","Plantago","Ulmus","Fagus","Salix","Shepherdia.canadensis","Artemisia","Tsuga","Acer.saccharum","Acer.rubrum","Apiaceae","Myrica","Fraxinus.americana","Castanea","Fraxinus.nigra","Rosaceae.undiff.","Larix","Juglans.cinerea","Sarcobatus.vermiculatus","Lamiaceae","Platanus","Ilex.Nemopanthus","Populus","Onagraceae","Ericaceae","Ranunculus","Caryophyllaceae","Cupressaceae","Brassicaceae","Carya"
1,-11,199,8,53,3,4,5,11,1,1,2,80,1,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,158,200,13,60,1,6,0,14,0,1,6,82,1,2,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,347,200,21,54,0,12,0,16,5,0,2,69,0,2,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,535,200,36,71,0,4,0,21,2,0,3,46,1,7,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,723,200,27,62,0,2,0,31,1,0,6,56,1,7,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,911,199,17,89,0,7,0,11,1,0,3,60,0,2,4,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1100,200,24,90,0,10,0,16,2,0,2,48,0,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1288,200,20,93,0,11,0,11,1,0,3,48,0,6,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1476,200,24,103,0,4,0,16,3,0,2,30,0,4,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1664,200,28,92,0,9,0,14,3,0,1,41,0,2,2,0,0,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
