"sample.depths","sample.ages","Ambrosia.type","Bidens.type","Carya","Cyperaceae","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Herbs.undiff.","Iva.xanthifolia.type","Leitneria.floridana","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Salix","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Alnus","Cornus","Myrica","Amaranthaceae","Cerealia","Brassicaceae","Onagraceae","Lamiaceae","Artemisia","Betula","Castanea","Cephalanthus","Fagus","Magnolia","Platanus","Rhamnaceae","Rubiaceae.undiff.","Rubus","Apiaceae","Corylus","Ericaceae","Ilex","Pinus.subg..Strobus","Rumex","Iva.annua.type","Cupressaceae","Thalictrum","Trees.undiff.","Populus","Acer.rubrum","Fraxinus.nigra.type","Acer.saccharum.type","Juglans.undiff.","Liliaceae","Caryophyllaceae","Parthenocissus","Rhus","Juglans.cinerea","Polygonum","Potentilla.type","Urtica.type","Viburnum","Tilia","Dalea","Asteraceae.subf..Cichorioideae","Celtis","Picea","Morus","Abies","Juglans.nigra","Saxifragaceae","Sambucus","Lonicera","Ranunculus"
40,1,0.126865671641791,0.0373134328358209,0.0242537313432836,0.0111940298507463,0.00186567164179104,0.00746268656716418,0.0205223880597015,0.0354477611940298,0.0149253731343284,0.00186567164179104,0.0111940298507463,0.041044776119403,0.0130597014925373,0.0261194029850746,0.283582089552239,0.117537313432836,0.126865671641791,0.00559701492537313,0.00186567164179104,0.00746268656716418,0.00932835820895522,0.00186567164179104,0.00186567164179104,0.0242537313432836,0.00186567164179104,0.0186567164179104,0.00746268656716418,0.00559701492537313,0.00186567164179104,0.00932835820895522,0.00186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,51,0.0341151385927505,0.00426439232409382,0.0298507462686567,0.0405117270788913,0,0.00426439232409382,0.0554371002132196,0.0213219616204691,0.0255863539445629,0.00426439232409382,0.0106609808102345,0.00852878464818763,0.0127931769722814,0.0490405117270789,0.364605543710021,0.0724946695095949,0.121535181236674,0.0149253731343284,0,0.0298507462686567,0.00426439232409382,0,0,0.0127931769722814,0,0.0106609808102345,0.00213219616204691,0.00213219616204691,0,0.0170575692963753,0,0.00426439232409382,0.00213219616204691,0.00426439232409382,0.00426439232409382,0.00213219616204691,0.0106609808102345,0.00213219616204691,0.00213219616204691,0.00426439232409382,0.00852878464818763,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,101,0.0324324324324324,0.0027027027027027,0.0135135135135135,0.027027027027027,0.00540540540540541,0.0027027027027027,0.0378378378378378,0.0027027027027027,0.00540540540540541,0.00810810810810811,0.0189189189189189,0.00540540540540541,0,0.0243243243243243,0.551351351351351,0,0.162162162162162,0.00540540540540541,0,0.00540540540540541,0.00540540540540541,0,0,0.0027027027027027,0,0.0135135135135135,0.00540540540540541,0,0,0.0027027027027027,0,0,0.0027027027027027,0,0.00540540540540541,0.0027027027027027,0.0189189189189189,0.0027027027027027,0,0,0.00540540540540541,0,0.0027027027027027,0.0108108108108108,0.0027027027027027,0.0027027027027027,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,151,0.0336538461538462,0.0120192307692308,0.00961538461538462,0.0552884615384615,0.00240384615384615,0.00721153846153846,0.0240384615384615,0.0168269230769231,0.0384615384615385,0,0.0168269230769231,0.0120192307692308,0.00961538461538462,0.0168269230769231,0.456730769230769,0.00240384615384615,0.151442307692308,0.0120192307692308,0,0.0120192307692308,0.00480769230769231,0,0.00240384615384615,0.00961538461538462,0,0.0144230769230769,0.00480769230769231,0.00240384615384615,0,0.03125,0,0,0.00240384615384615,0,0,0.00240384615384615,0.0120192307692308,0,0.00240384615384615,0.00240384615384615,0,0.00240384615384615,0,0,0,0.00240384615384615,0,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00480769230769231,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,201,0.0267062314540059,0.0029673590504451,0.00890207715133531,0.00890207715133531,0,0.00593471810089021,0.0207715133531157,0.00890207715133531,0.0029673590504451,0,0.0118694362017804,0.00593471810089021,0.00890207715133531,0.029673590504451,0.611275964391691,0.0029673590504451,0.178041543026706,0.00593471810089021,0,0.00593471810089021,0,0,0.0029673590504451,0.0029673590504451,0,0,0,0,0,0,0,0,0,0.0029673590504451,0,0.0029673590504451,0.0326409495548961,0,0,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0.0029673590504451,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,366,0,0,0.00845070422535211,0.0028169014084507,0.0028169014084507,0.0028169014084507,0.028169014084507,0.00845070422535211,0,0,0.0112676056338028,0,0.00845070422535211,0.0619718309859155,0.616901408450704,0,0.16056338028169,0,0,0,0,0,0.0028169014084507,0,0,0.00563380281690141,0,0,0,0.028169014084507,0,0,0,0.0140845070422535,0.0028169014084507,0.00563380281690141,0.0225352112676056,0,0,0,0.0028169014084507,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,722,0.00282485875706215,0,0.019774011299435,0.0112994350282486,0,0,0.076271186440678,0,0,0,0.00282485875706215,0.00564971751412429,0,0.0367231638418079,0.522598870056497,0,0.163841807909605,0.00282485875706215,0,0.00282485875706215,0.00282485875706215,0,0.00282485875706215,0,0,0.00282485875706215,0,0,0,0,0,0,0,0.00847457627118644,0,0.00282485875706215,0.129943502824859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1079,0.00557103064066852,0,0.0250696378830084,0.0222841225626741,0,0.00835654596100279,0.0194986072423398,0,0,0.00557103064066852,0.0167130919220056,0.00557103064066852,0.00278551532033426,0.144846796657382,0.417827298050139,0,0.200557103064067,0.00278551532033426,0,0.00278551532033426,0.0139275766016713,0,0.00278551532033426,0.00557103064066852,0,0,0.00278551532033426,0,0,0,0,0,0,0.00278551532033426,0,0.011142061281337,0.0724233983286908,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0,0.00557103064066852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1544,0,0,0.0134048257372654,0.0268096514745308,0,0.00536193029490617,0.0723860589812333,0.00804289544235925,0.00268096514745308,0,0.0134048257372654,0,0.0107238605898123,0.0294906166219839,0.563002680965147,0,0.17426273458445,0.00536193029490617,0,0,0,0,0,0,0,0.00804289544235925,0,0,0,0.00536193029490617,0,0,0,0.00536193029490617,0,0.00804289544235925,0.0455764075067024,0,0,0,0,0,0,0,0,0,0,0,0.00268096514745308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2120,0,0,0.0112994350282486,0.019774011299435,0,0,0.0903954802259887,0,0,0,0.0141242937853107,0.00282485875706215,0.00282485875706215,0.0282485875706215,0.590395480225989,0,0.144067796610169,0,0,0.00282485875706215,0.00564971751412429,0.00282485875706215,0,0,0.00282485875706215,0.00847457627118644,0,0,0,0,0,0.00564971751412429,0.00564971751412429,0.00847457627118644,0,0,0.0480225988700565,0,0,0,0,0,0,0,0,0,0,0,0,0.00282485875706215,0,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
