"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Achillea.type","Acorus.calamus","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Amorpha","Apiaceae.undiff.","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Avena.Triticum","Betula","Boraginaceae","Brasenia.schreberi","Brassicaceae","Calla.palustris","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus.sericea.type","Corylus","Cupressaceae.undiff.","Cyperaceae","Cystopteris","Diphasiastrum.complanatum.type","Drosera","Dryopteris","Dryopteris.carthusiana.type","Empetrum","Epilobium","Equisetum","Ericaceae.undiff.","Fabaceae.undiff.","Fagopyrum","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Huperzia.lucidula","Hydrocotyle","Hypericum","Ilex.Nemopanthus","Indeterminable","Isoëtes","Iva","Juglans.cinerea","Juglans.nigra","Larix","Ledum.Chamaedaphne.calyculata","Lemna","Liliaceae","Linnaea.borealis","Liquidambar","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Matteuccia.struthiopteris","Menyanthes.trifoliata","Myrica","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata.type","Plantago.major","Plantago.undiff.","Platanus","Poaceae.undiff.","Polypodiaceae.undiff.","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogeton","Potentilla.type","Primulaceae","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnus.cathartica","Rhododendron","Rhus.typhina.type","Rosaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Saxifraga","Scrophulariaceae","Secale.type","Shepherdia.canadensis","Solanaceae","Sparganium.type","Sphagnum","Stachys.type","Taxodium","Thalictrum","Tilia","Toxicodendron.radicans","Tsuga","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Utricularia","Vaccinium","Valeriana","Viburnum","Vitis","Woodsia","Zea.mays"
663,-20,15.5,0,7,12,0,0,1,0,23,0,7,1,15,0,2,0,0,10,0,0,1,427,0,0,0,0,0,0,1,0,1,0,0,0,1,20,2,0,0,0,0,0,0,0,0,0,0,1,66,3,8,1,0,0,0,7,4,0,0,1,0,9,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,95,2,103,85,0,0,0,0,32,0,0,2,17,0,2,0,0,5,40,0,0,0,0,0,2,0,13,0,3,0,0,0,0,0,5,0,11,3,0,1,0,0,114,0,0,9,0,0,0,1,0,1,1,0,0
667,-14,13.5,0,13,16,2,0,0,0,47,0,7,2,18,0,0,0,1,10,1,0,0,489,0,0,1,0,0,0,2,0,1,0,0,0,3,15,5,0,0,0,0,1,0,0,0,2,9,0,77,8,11,0,1,0,0,12,5,0,0,0,1,11,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,5,7,80,3,114.5,78.5,0,0,0,2,38,0,0,0,14,0,6,0,0,4,46,0,3,0,0,0,10,0,9,0,9,0,0,0,1,0,3,0,15,0,0,0,1,0,112,0,0,3,0,0,0,0,0,0,0,0,1
671,-8,15,0,4,11,0,0,0,0,37,0,9,0,18,0,0,0,1,4,0,0,2,433,0,0,1,0,0,0,3,0,0,0,0,0,5,13,0,0,0,0,1,0,0,1,0,0,5,0,82,6,9,0,0,0,0,13,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,9,3,82,1,92,100.5,0,0,0,1,41,0,0,0,19,0,6,1,0,2,49,0,0,1,0,0,7,0,13,0,5,3,0,0,1,0,0,0,10,0,0,0,0,0,107,0,0,10,0,0,0,0,0,2,0,0,0
675,-2,14,0,12,7,0,0,1,0,42,0,6,1,17,1,0,0,0,2,0,0,0,442,1,0,0,0,0,0,0,0,0,0,0,2,2,19,3,0,0,0,0,0,0,0,0,0,1,0,72,6,3,0,0,0,0,7,2,0,0,0,0,4,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,7,69,3,79,80,0,0,0,2,42,3,0,1,7,0,1,0,0,8,35,0,0,0,0,0,0,0,16,0,5,0,0,0,4,0,4,0,5,3,0,0,1,0,104,0,0,9,0,0,0,0,0,0,0,0,0
679,4,6,0,16,5,0,0,1,0,37,0,10,1,18,0,0,0,1,4,1,1,2,431,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,2,0,90,4,15,0,0,0,4,13,1,0,0,0,0,1,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,3,69,5,28,123.5,1,0,0,0,35,0,0,0,6,0,2,0,0,2,46,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,1,5,0,0,1,1,0,82,0,0,6,0,0,0,1,1,0,0,1,0
683,9,10.5,0,11,10,0,1,0,0,29,0,9,3,13,0,0,0,2,3,0,0,2,406,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,0,1,0,0,0,0,1,0,79,6,9,0,1,1,0,5,4,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,78,2,60,67,0,1,0,0,36,2,0,0,22,0,3,0,0,7,34,0,0,0,0,0,0,0,21,0,2,0,0,0,1,0,0,0,9,0,0,1,0,0,101,0,0,6,0,0,0,0,0,0,0,0,0
688,14,9,0,5,17,1,0,0,0,17,0,8,0,12,0,0,2,1,6,0,1,0,393,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,1,0,2,0,88,5,13,0,0,0,0,3,4,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,2,83.5,1,55,93,1,0,0,0,29,5,0,0,3,0,0,0,0,5,27,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,112,0,0,9,0,0,0,0,0,1,0,0,0
692,18,12.5,0,7,16,0,0,0,0,23,0,4,1,12,0,0,0,1,2,0,0,0,406,0,0,4,0,0,0,1,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,1,0,121,5,5,0,0,0,0,8,0,0,0,0,0,4,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,5,87,7,60,70,0,0,0,1,41,0,0,0,7,0,1,1,0,6,34,0,0,0,0,0,3,0,25,0,1,0,0,0,0,0,0,0,14,0,0,0,1,0,121,0,0,8,1,0,0,0,0,0,0,0,0
696,21,4,0,5,8,0,0,0,0,12,0,5,0,7,0,0,0,1,3,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,123,5,9,0,0,0,0,2,1,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,6,77,1,94,63.5,0,0,0,0,23,0,0,0,3,0,0,0,0,9,42,0,0,0,0,0,0,0,16,0,4,0,0,0,1,0,0,0,3,0,0,1,1,0,171,0,0,6,0,0,0,0,0,0,0,0,0
700,24,11.5,0,7,11,0,0,0,0,13,0,3,1,3,0,0,0,1,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,109,5,13,0,0,0,0,7,1,0,0,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,6,66.5,4,75.5,86,0,0,0,1,20,0,0,0,4,0,0,0,0,2,29,0,0,0,0,0,2,0,13,0,2,0,0,0,0,0,1,0,10,0,0,0,0,0,177,0,0,8,0,0,0,0,0,0,0,0,0
705,27,6,0,5,11,0,0,0,0,12,0,6,0,5,0,0,1,0,1,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,17,0,0,1,0,4,4,0,0,0,0,6,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,4,81,2,70,114.5,0,0,0,1,10,0,0,0,3,0,0,0,0,7,30,0,0,0,0,0,1,0,16,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,179,0,0,8,0,0,0,1,0,1,0,0,0
709,31,8,0,9,13,3,0,0,0,18,0,6,0,1,0,0,0,3,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,108,2,10,0,0,0,0,5,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,95.5,5,79,108.5,0,0,0,1,11,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,185,0,0,5,0,0,0,0,0,1,0,0,0
714,37,5,0,6,9,0,0,0,0,16,0,1,0,2,0,0,0,0,0,0,0,0,337,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,110,0,14,0,0,0,0,9,5,0,0,0,0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,5,81,2,87,83.5,0,0,0,1,12,0,0,0,0,2,0,0,0,4,39,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,159,0,0,9,0,0,0,0,0,2,0,0,0
718,44,18.5,0,12,12,0,0,0,0,14,0,8,1,6,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,151,4,14,0,0,0,0,8,2,0,0,0,0,7,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,13,4,130.5,6,121,87,0,0,0,0,22,1,0,0,6,0,0,0,0,5,41,0,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,180,0,0,8,0,0,0,1,0,3,0,0,0
726,67,8.5,0,13,8,1,1,0,0,11,0,10,0,4,0,0,0,3,1,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,8,0,4,0,0,116,2,16,0,0,0,0,8,1,0,0,0,0,11,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,7,102.5,5,121,88,0,0,0,1,11,0,0,1,3,0,0,0,0,6,33,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,11,0,0,0,1,0,151,0,0,8,1,0,0,1,0,1,0,0,0
732,93,10,0,6,11,1,0,0,0,10,0,6,1,1,0,0,1,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2,5,0,0,0,0,5,2,0,0,0,0,11,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,2,106.5,4,98,136,0,0,0,1,11,0,0,0,1,0,1,0,0,2,34,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,136,0,0,8,0,0,0,0,0,0,0,0,0
