"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
2,56,22,3,21,8,0,10,1,2,2,0,268,0,2,0,0,2,0,6,2,4,0,0,0,5,0,0,0,1,43,6,11,4,0,0,17,0,7,0,2,5,0,0,0,1,0,3,0,0,5,0,0
10,200,28,3,20,11,0,0,0,1,1,0,304,0,0,0,0,4,1,12,1,4,1,0,1,8,0,1,0,1,41,2,14,13,0,0,6,0,8,0,0,1,0,0,0,5,1,2,0,0,7,0,1
20,503,25,8,40,6,1,0,0,4,1,0,397,0,1,0,0,8,1,10,9,5,0,2,0,9,2,1,0,3,64,5,25,10,0,0,6,0,14,0,0,0,0,0,0,6,0,1,0,0,12,0,0
40,1109,28,6,32,5,0,0,1,0,3,0,447,1,2,0,0,5,0,20,4,5,0,0,0,8,9,0,0,5,37,6,21,14,0,1,6,0,9,0,2,0,2,0,0,4,0,1,0,1,20,0,2
60,1715,19,5,40,1,0,0,0,0,4,0,273,1,0,0,0,5,2,14,1,5,0,0,0,2,1,1,0,2,44,2,23,10,0,0,4,0,6,0,0,0,0,0,0,2,0,0,1,0,10,0,1
80,2320,29,9,32,12,0,1,0,0,1,0,330,0,0,0,1,6,0,20,2,3,0,0,0,5,4,0,0,3,32,0,26,17,0,1,2,0,9,0,1,0,1,0,0,2,0,0,0,0,14,0,2
100,2789,22,9,41,11,0,1,1,4,3,0,360,0,0,0,1,5,0,12,10,1,1,1,1,4,3,1,1,2,21,4,44,21,0,0,2,0,6,0,1,0,0,0,0,3,0,1,0,0,15,0,1
120,3119,8,12,39,9,0,0,1,1,5,0,282,0,0,0,0,2,1,14,3,1,1,0,0,1,2,0,0,4,23,2,37,12,0,0,2,0,6,0,1,0,0,0,0,4,0,0,0,0,9,0,3
140,3450,15,13,39,3,0,1,4,0,0,0,406,0,0,0,0,6,0,15,7,5,0,0,0,11,3,0,0,2,28,5,44,15,0,0,9,2,7,0,2,0,0,0,0,8,1,1,0,0,12,0,8
162,3780,13,10,31,6,0,0,0,0,2,0,198,0,0,0,0,1,0,6,1,5,2,0,1,4,3,0,0,2,13,1,39,7,0,1,4,0,6,0,1,0,0,0,0,1,0,2,0,0,4,0,0
180,4027,17,16,81,8,0,2,0,1,0,0,409,0,0,0,0,5,0,26,0,1,0,0,0,4,1,0,0,0,19,2,62,22,0,0,7,0,8,0,1,0,0,0,0,0,2,3,0,0,3,0,2
200,4302,14,7,51,10,0,0,0,0,1,1,355,0,0,0,1,6,0,10,10,5,0,0,0,2,10,0,0,2,11,2,41,12,0,0,5,1,10,0,2,0,0,0,0,0,0,4,0,0,4,0,5
220,4577,26,10,62,9,0,0,1,2,2,0,421,0,0,0,0,3,1,19,10,4,0,0,2,7,5,0,0,4,14,4,72,10,0,0,4,0,13,0,3,0,0,0,0,1,2,2,2,0,2,0,2
240,4852,19,13,37,5,0,0,1,0,3,0,356,0,0,1,0,5,0,8,9,6,0,0,3,1,4,0,0,3,15,4,52,20,0,0,5,1,10,0,2,0,0,0,0,1,0,4,1,0,2,0,5
260,5127,21,13,51,8,1,1,0,2,2,0,327,1,0,0,0,2,0,8,13,1,1,0,1,3,3,0,0,1,13,3,36,12,0,1,2,0,12,0,0,0,0,1,0,3,3,1,1,0,3,0,6
280,5402,14,2,51,12,0,0,2,1,2,0,375,0,0,0,0,6,0,6,10,6,3,0,1,2,0,0,0,3,10,4,51,21,0,0,3,0,14,0,2,0,0,0,0,1,0,2,0,0,4,0,6
300,5668,11,10,47,10,0,3,0,1,0,0,443,0,0,0,0,2,0,10,10,1,0,0,0,6,1,0,0,2,15,5,64,10,0,2,0,0,9,0,1,0,0,0,0,3,1,1,1,0,14,0,4
320,5856,13,3,42,3,0,1,3,3,1,0,309,0,0,0,0,4,0,3,5,3,1,0,0,2,3,1,0,0,14,5,29,14,0,2,1,1,11,0,0,0,0,0,0,3,1,2,1,0,24,1,5
340,6045,13,11,52,6,0,0,1,2,3,0,335,0,0,2,0,3,0,3,5,8,1,0,5,2,8,0,0,2,12,3,54,15,0,4,4,1,10,0,1,0,1,0,0,3,1,1,0,0,19,0,3
362,6252,23,7,38,5,0,1,2,2,1,0,285,0,0,0,0,4,0,4,2,4,0,0,0,5,2,1,0,2,16,2,35,12,0,3,3,1,4,0,3,0,0,0,0,3,2,1,0,0,37,0,6
380,6422,16,13,55,2,1,0,0,3,3,0,317,0,0,0,0,5,0,7,11,5,0,0,0,2,3,0,1,1,18,4,81,17,0,0,4,0,15,0,0,0,1,1,0,1,5,0,0,0,43,0,8
400,6610,22,7,30,17,0,1,1,1,3,0,283,0,0,0,0,4,0,2,5,5,0,0,1,1,2,0,0,1,8,8,61,21,0,0,0,0,10,0,0,0,0,0,0,0,3,2,0,0,43,0,10
420,6799,20,17,42,12,0,2,0,0,3,0,296,1,0,1,0,5,0,3,11,3,0,0,2,3,3,0,0,0,17,10,54,16,0,0,3,0,13,0,3,0,1,0,0,4,6,2,0,0,23,0,5
440,6987,15,6,22,8,0,1,0,1,1,0,230,0,0,0,0,5,1,3,10,4,0,0,0,2,5,0,1,2,14,3,62,19,0,0,1,0,11,0,0,0,0,0,0,3,6,2,1,0,34,0,5
460,7176,19,12,29,32,0,1,0,0,2,0,242,1,0,0,0,3,0,1,6,7,0,0,3,1,4,0,0,0,14,5,77,38,0,2,1,0,16,0,1,0,0,0,0,3,2,2,0,0,18,0,9
480,7359,18,17,8,25,2,0,0,0,0,0,196,0,0,1,0,0,0,5,9,2,0,0,0,1,3,1,0,0,22,9,78,25,0,0,1,3,18,0,1,0,2,0,0,1,1,0,0,0,13,0,7
500,7536,18,9,8,41,0,0,0,0,5,0,264,0,0,3,0,4,1,3,13,4,0,0,3,4,11,0,0,1,26,20,149,37,0,0,5,1,15,0,0,0,2,0,0,4,6,4,0,0,15,0,9
520,7712,29,21,4,35,1,4,1,3,6,0,305,0,0,1,0,6,1,8,10,1,0,0,0,4,7,0,0,2,32,14,199,44,0,3,3,4,34,0,1,0,1,0,0,3,5,0,0,0,19,0,10
540,7889,17,17,9,39,0,0,0,2,0,0,225,1,0,0,0,2,1,3,9,4,0,0,2,1,6,0,0,3,29,19,155,43,0,1,3,4,21,0,0,0,1,0,0,0,4,6,1,0,4,0,9
560,8066,34,16,6,61,0,0,0,0,2,0,240,0,0,2,0,5,0,4,7,7,0,0,0,4,7,1,0,6,41,16,196,52,0,1,5,1,21,0,0,0,3,1,0,3,5,2,0,0,9,1,7
580,8355,24,7,10,42,0,2,0,0,3,0,205,0,0,0,0,4,0,1,5,6,0,0,1,4,4,0,0,1,26,16,108,38,0,0,3,0,19,0,1,0,2,0,0,3,2,3,1,0,3,0,6
600,8757,46,18,10,31,0,0,0,2,3,0,239,0,0,1,2,5,0,1,19,11,0,0,2,8,9,0,0,9,36,24,187,80,0,0,2,2,41,0,2,0,1,0,0,2,7,2,1,0,10,1,10
620,9158,17,10,5,37,0,3,0,1,2,0,227,3,0,1,1,2,0,1,15,6,0,0,2,7,7,0,0,1,27,11,90,18,0,0,5,5,19,0,1,0,3,0,0,1,3,5,0,0,2,0,13
640,9559,49,2,5,136,1,1,0,2,2,0,320,0,1,4,0,4,0,2,8,4,1,0,1,0,3,0,0,3,45,40,74,26,0,0,7,29,15,0,0,0,2,0,0,0,2,3,0,0,1,0,9
660,9961,73,0,0,299,1,1,0,0,3,0,313,0,1,1,1,5,0,0,5,7,0,0,3,1,1,0,0,1,31,52,24,13,0,1,4,35,18,0,0,1,0,0,0,0,0,0,0,0,0,0,3
670,10486,6,2,0,447,0,1,0,3,8,0,176,0,0,0,0,5,0,1,1,2,0,0,0,6,0,0,0,2,82,31,26,7,0,1,5,75,16,0,0,0,5,0,0,0,0,0,0,0,0,0,4
