"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Ranunculaceae.undiff.","Thalictrum","Tsuga","Ulmus","Acer","Populus","Poaceae","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Salix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Sarcobatus.vermiculatus","Onagraceae","Fraxinus.nigra.type","Iva.xanthifolia.type","Vitis","Carya","Urtica.type","Cornus","Galium","Juglans.cinerea","Aquifoliaceae","Morus","Taxus","Plantago","Herbs.undiff.","Rosaceae.undiff.","Juglans.nigra","Cannabaceae","Iva.annua.type","Dryas.type","Tilia"
100,2460,465,9,13,10,2,3,71,13,15,1,10,3,96,147,39,0,6,0,0,1,0,1,4,13,0,1,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,2706,496,14,28,10,2,1,105,8,12,1,7,5,58,168,41,2,5,0,1,0,2,1,1,13,0,0,4,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2952,481,8,14,13,2,2,108,19,14,0,5,1,78,153,43,0,5,0,0,1,3,0,2,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3198,508,9,36,15,2,3,122,7,9,0,5,3,67,144,49,0,5,0,0,1,1,0,4,11,0,2,4,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
140,3448,481,13,20,10,2,2,117,13,9,0,14,1,54,121,83,0,8,0,0,0,2,2,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,3739,446,14,19,11,0,2,71,5,10,0,2,1,83,136,64,0,4,0,0,1,3,0,1,8,1,1,0,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4029,572,10,28,16,3,4,160,19,8,0,9,1,47,161,65,0,5,0,0,0,5,2,6,12,2,2,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4319,534,16,19,9,2,3,124,11,11,0,10,1,84,130,59,0,5,0,0,0,2,0,17,17,3,1,0,2,1,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4610,436,5,12,4,3,2,107,24,4,0,6,1,36,102,98,0,4,0,0,0,4,1,5,8,1,1,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
190,4900,648,12,25,18,1,2,133,20,9,1,9,2,57,178,125,1,9,0,1,1,3,2,10,8,0,4,0,1,2,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
