"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Morus","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shrubs.undiff.","Sphagnum","Taxus","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
0,105,7,2,0,13,0,3,15,5,33,5,117,0,0,18,6,0,4,0,0,0,0,0,0,3,0,1,10,94,25,70,0,0,9,8,1,0,0,0,1,0,0,0,7,0,5,0
10,154,5,0,0,8,0,4,9,1,4,4,122,0,0,8,10,0,3,0,1,3,2,0,2,15,0,6,33,158,31,128,2,1,17,0,0,0,0,0,2,0,0,0,17,1,8,0
25,231,5,0,0,9,0,4,3,0,1,2,123,1,0,14,6,0,1,1,0,2,0,0,0,8,0,4,14,168,28,136,1,2,16,0,0,2,0,0,1,0,0,0,16,0,2,0
50,370,8,2,0,7,0,1,2,1,3,1,104,0,0,8,8,0,1,2,0,2,1,0,1,3,0,2,19,175,26,148,0,0,11,1,0,0,0,0,2,0,0,0,17,0,1,1
75,522,2,0,0,6,2,2,7,0,1,3,143,1,0,6,3,0,1,0,0,0,1,0,0,1,0,4,16,171,31,148,0,0,16,0,0,0,1,0,1,0,0,0,17,0,3,0
100,687,3,3,0,11,0,3,7,1,1,9,145,0,0,5,4,0,0,1,1,4,0,0,0,1,0,2,13,175,34,141,0,1,14,0,0,1,0,0,2,0,0,0,13,1,6,1
125,865,5,0,0,7,0,2,7,0,6,0,120,0,0,4,3,0,3,2,0,1,1,0,1,1,0,3,18,145,31,111,0,0,22,0,0,0,1,0,1,0,0,0,12,1,5,0
150,1056,7,1,0,8,1,3,8,1,4,4,156,0,1,1,13,1,3,0,0,2,1,0,2,2,0,9,25,171,34,138,1,1,21,0,0,0,0,1,2,0,0,0,25,0,9,1
175,1260,4,0,0,6,0,8,7,3,2,2,103,0,2,2,5,0,5,2,0,2,0,0,2,0,0,3,19,161,29,133,1,0,14,0,0,1,0,0,2,0,0,0,11,0,3,0
200,1477,6,0,0,4,0,1,10,0,1,2,143,0,1,8,5,0,1,0,0,3,0,0,0,1,0,8,9,131,20,111,0,3,12,0,0,0,1,0,0,0,1,0,13,0,4,1
225,1706,2,0,1,15,0,4,8,1,3,3,151,1,0,7,6,0,1,0,1,0,0,0,1,1,0,1,5,162,24,139,0,1,15,0,0,0,0,0,1,0,0,0,16,1,5,0
250,1949,1,0,0,11,0,3,13,1,4,2,169,1,0,9,6,0,4,0,0,2,1,0,1,2,0,4,7,158,22,137,1,0,17,2,0,0,0,0,1,0,0,0,11,0,1,0
275,2205,4,1,0,13,2,3,14,1,2,1,125,1,0,7,1,1,3,0,0,1,1,0,0,3,1,6,10,183,18,166,0,2,25,0,0,0,0,0,1,1,0,0,14,0,3,0
300,2474,3,1,0,6,1,1,12,0,1,3,125,0,0,9,9,0,2,0,0,0,0,0,1,0,0,0,14,181,8,174,2,1,19,0,0,0,0,0,1,0,0,0,19,0,2,1
325,2756,5,0,0,6,0,2,12,1,0,3,147,0,3,8,5,0,3,0,0,1,0,0,0,1,0,6,3,159,9,151,0,2,21,0,0,1,0,0,5,2,1,0,8,0,3,1
350,3051,5,0,0,6,0,5,7,3,0,5,138,0,0,4,5,0,5,0,0,1,0,0,1,0,0,4,3,195,14,181,1,3,15,0,0,0,0,0,0,0,3,0,12,0,6,0
375,3359,4,0,0,11,0,4,14,2,1,3,79,1,0,11,6,0,2,0,0,1,2,0,1,0,0,11,0,168,13,156,0,2,14,0,0,2,0,0,0,0,1,0,4,0,5,0
400,3680,1,2,0,10,0,1,11,0,3,2,91,1,0,8,4,0,6,0,0,3,0,0,1,0,0,8,3,273,22,251,0,1,35,0,0,1,2,1,2,0,0,0,7,0,7,0
