"sample.depths","sample.ages","Abies","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cyperaceae","Poaceae.undiff.","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Juglans","Pinus","Lamiaceae","Rhamnaceae.Vitaceae","Artemisia","Apiaceae","Larix","Polygonum","Rubiaceae","Thalictrum","Caryophyllaceae","Fagus","Platanus","Ranunculaceae.undiff.","Prunus.Sorbus","Rumex","Plantago","Ranunculus","Elaeagnus","Scrophulariaceae","Humulus","Malvaceae","Shepherdia.canadensis","Ephedra","Cornus","Saxifragaceae","Epilobium","Elymus"
20,149,0.00397614314115308,0.0556660039761431,0.0198807157057654,0.00596421471172962,0.0198807157057654,0.0198807157057654,0.0178926441351889,0.330019880715706,0.0417495029821074,0.00795228628230616,0.0139165009940358,0.135188866799205,0.0139165009940358,0.00198807157057654,0.00596421471172962,0.00397614314115308,0.0298210735586481,0.0159045725646123,0.00397614314115308,0.00795228628230616,0.00198807157057654,0.00397614314115308,0.230616302186879,0.00596421471172962,0.00198807157057654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,269,0,0.0478011472275335,0.0248565965583174,0.00191204588910134,0.0133843212237094,0.0286806883365201,0.00573613766730402,0.416826003824092,0.0286806883365201,0.00191204588910134,0.00764818355640535,0.145315487571702,0.00191204588910134,0,0,0,0.0210325047801147,0.0210325047801147,0.00764818355640535,0,0,0.00573613766730402,0.179732313575526,0,0.00764818355640535,0.0305927342256214,0.00191204588910134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,473,0,0.0700389105058366,0.0214007782101167,0.00389105058365759,0.0194552529182879,0.0330739299610895,0.00583657587548638,0.367704280155642,0.0311284046692607,0,0.0214007782101167,0.114785992217899,0.0175097276264591,0,0,0,0.00778210116731518,0,0.00389105058365759,0,0,0,0.243190661478599,0.00389105058365759,0,0.0272373540856031,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,686,0.0018796992481203,0.0394736842105263,0.0263157894736842,0,0.0263157894736842,0.0131578947368421,0.0338345864661654,0.270676691729323,0.0338345864661654,0.0018796992481203,0.0056390977443609,0.193609022556391,0.0131578947368421,0,0,0.0056390977443609,0.0131578947368421,0.0112781954887218,0.0075187969924812,0,0.0018796992481203,0.0018796992481203,0.25,0,0,0.0451127819548872,0,0.0018796992481203,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,911,0,0.0314232902033272,0.0166358595194085,0.00184842883548983,0.00924214417744917,0.011090573012939,0.00184842883548983,0.480591497227357,0.0462107208872458,0.00184842883548983,0.00184842883548983,0.22365988909427,0.0129390018484288,0,0,0.00184842883548983,0.00184842883548983,0.011090573012939,0.00184842883548983,0.00369685767097967,0.00184842883548983,0,0.11275415896488,0,0,0.022181146025878,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1151,0.00175131348511384,0.0770577933450088,0.0385288966725044,0,0.0227670753064799,0.0262697022767075,0.00525394045534151,0.266199649737303,0.073555166374781,0.00175131348511384,0.00350262697022767,0.234676007005254,0.00175131348511384,0.00175131348511384,0,0,0.010507880910683,0.021015761821366,0.00175131348511384,0,0.00350262697022767,0.00350262697022767,0.152364273204904,0,0.00350262697022767,0.0402802101576182,0.00350262697022767,0.00175131348511384,0,0,0.00350262697022767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1410,0,0.0443548387096774,0.0342741935483871,0.00201612903225806,0.0100806451612903,0.0181451612903226,0.00806451612903226,0.199596774193548,0.064516129032258,0.00604838709677419,0.0282258064516129,0.324596774193548,0.00604838709677419,0,0.00201612903225806,0,0.0141129032258065,0.0342741935483871,0,0,0.00201612903225806,0.00403225806451613,0.139112903225806,0,0,0.0524193548387097,0,0.00403225806451613,0,0,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1691,0.00470588235294118,0.0705882352941176,0.0470588235294118,0.00235294117647059,0.0117647058823529,0.0423529411764706,0.0117647058823529,0.0447058823529412,0.0705882352941176,0.0141176470588235,0.00705882352941176,0.501176470588235,0.00705882352941176,0.00235294117647059,0,0,0.0258823529411765,0.0188235294117647,0.00235294117647059,0,0,0.00705882352941176,0.0564705882352941,0,0,0.0447058823529412,0,0,0,0,0.00470588235294118,0,0.00235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1995,0,0.024390243902439,0.0804878048780488,0.0097560975609756,0.0268292682926829,0.0439024390243902,0.0121951219512195,0.0170731707317073,0.073170731707317,0.00731707317073171,0.0048780487804878,0.507317073170732,0,0,0.00731707317073171,0,0.0292682926829268,0.0170731707317073,0.00731707317073171,0,0.0024390243902439,0.0048780487804878,0.0341463414634146,0,0,0.0634146341463415,0,0.0170731707317073,0,0,0.00731707317073171,0,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2319,0,0.0402010050251256,0.0477386934673367,0.00251256281407035,0.0201005025125628,0.0251256281407035,0.0175879396984925,0.0175879396984925,0.0728643216080402,0.0050251256281407,0.00251256281407035,0.5678391959799,0.00251256281407035,0,0.00251256281407035,0,0.0201005025125628,0.0301507537688442,0.00753768844221105,0,0.00753768844221105,0.0050251256281407,0.0351758793969849,0,0,0.0678391959798995,0,0,0,0,0.00251256281407035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2658,0.0024330900243309,0.0802919708029197,0.0340632603406326,0,0.0097323600973236,0.0218978102189781,0.0072992700729927,0.0121654501216545,0.0583941605839416,0.0121654501216545,0.0048661800486618,0.527980535279805,0.0048661800486618,0,0,0,0.0364963503649635,0.0413625304136253,0,0,0.0072992700729927,0.0048661800486618,0.0462287104622871,0.0024330900243309,0,0.0608272506082725,0.0024330900243309,0.0121654501216545,0,0,0.0048661800486618,0.0024330900243309,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3010,0,0.0514705882352941,0.0490196078431373,0.00735294117647059,0.0122549019607843,0.0245098039215686,0.00980392156862745,0.0441176470588235,0.0833333333333333,0.00245098039215686,0,0.534313725490196,0.00980392156862745,0,0,0,0.0269607843137255,0.0318627450980392,0.0122549019607843,0,0,0.00490196078431373,0.0441176470588235,0,0,0.0441176470588235,0,0.00245098039215686,0,0,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3370,0,0.0786516853932584,0.0449438202247191,0,0.0269662921348315,0.0157303370786517,0.00674157303370787,0.0359550561797753,0.10561797752809,0.0134831460674157,0.00449438202247191,0.489887640449438,0.00898876404494382,0.00224719101123596,0,0,0.0314606741573034,0.0269662921348315,0,0,0.00224719101123596,0.0112359550561798,0.0292134831460674,0,0,0.0606741573033708,0,0.00449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3735,0,0.0903732809430255,0.0176817288801572,0.00589390962671906,0.0491159135559921,0.0255402750491159,0.00196463654223969,0.0530451866404715,0.133595284872299,0.00196463654223969,0.0157170923379175,0.400785854616896,0.00785854616895874,0.00392927308447937,0.00196463654223969,0,0.00785854616895874,0.0216110019646365,0,0,0,0.00196463654223969,0.0844793713163065,0,0,0.0707269155206287,0,0,0,0,0.00392927308447937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,4102,0.00386847195357834,0.0928433268858801,0.0193423597678917,0,0.0483558994197292,0.0386847195357834,0.00967117988394584,0.0309477756286267,0.125725338491296,0.00386847195357834,0.0193423597678917,0.402321083172147,0.011605415860735,0,0.00193423597678917,0,0.011605415860735,0.00967117988394584,0.00193423597678917,0,0.00193423597678917,0.00193423597678917,0.081237911025145,0.00193423597678917,0,0.0676982591876209,0.00193423597678917,0,0,0.00193423597678917,0,0.00193423597678917,0,0,0.00580270793036751,0.00193423597678917,0,0,0,0,0,0,0,0,0,0,0,0,0
385,4465,0,0.094142259414226,0.0188284518828452,0.00209205020920502,0.0292887029288703,0.0167364016736402,0,0.0418410041841004,0.115062761506276,0.00418410041841004,0.00418410041841004,0.489539748953975,0.00836820083682008,0,0,0,0.00418410041841004,0.0209205020920502,0.00836820083682008,0,0.00209205020920502,0.00418410041841004,0.0606694560669456,0,0,0.0732217573221757,0.00209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4823,0,0.0711462450592885,0.0177865612648221,0,0.0592885375494071,0.033596837944664,0.00395256916996047,0.0533596837944664,0.122529644268775,0,0.0296442687747036,0.434782608695652,0.00395256916996047,0,0,0,0.00592885375494071,0.0237154150197628,0.00395256916996047,0,0.00592885375494071,0.00197628458498024,0.0612648221343874,0,0,0.0652173913043478,0,0,0,0,0,0,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,5171,0,0.0747474747474747,0.0202020202020202,0,0.0545454545454545,0.0323232323232323,0,0.0282828282828283,0.113131313131313,0,0.00606060606060606,0.452525252525253,0.0161616161616162,0.00404040404040404,0,0,0.0161616161616162,0.0141414141414141,0.00202020202020202,0,0.00404040404040404,0.00202020202020202,0.0727272727272727,0,0,0.0868686868686869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,5505,0.00392156862745098,0.080392156862745,0.0137254901960784,0.00196078431372549,0.0607843137254902,0.0235294117647059,0.00196078431372549,0.0313725490196078,0.113725490196078,0.00980392156862745,0.00588235294117647,0.431372549019608,0.0294117647058824,0.00196078431372549,0.00196078431372549,0,0.0235294117647059,0.00980392156862745,0,0,0.00784313725490196,0.00392156862745098,0.0431372549019608,0,0,0.0862745098039216,0,0.00784313725490196,0,0,0.00196078431372549,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0
485,5822,0,0.115689381933439,0.0110935023771791,0.00792393026941363,0.125198098256735,0.0364500792393027,0.00158478605388273,0.045958795562599,0.12202852614897,0.0063391442155309,0.0126782884310618,0.293185419968304,0.00475435816164818,0.00475435816164818,0,0,0.0301109350237718,0.0158478605388273,0.00158478605388273,0,0,0.00158478605388273,0.0887480190174326,0,0,0.0744849445324881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,6119,0.00174216027874564,0.111498257839721,0.0139372822299652,0.00348432055749129,0.0679442508710801,0.029616724738676,0,0.048780487804878,0.121951219512195,0.00522648083623693,0.0226480836236934,0.325783972125436,0.0191637630662021,0.00348432055749129,0.00522648083623693,0.00174216027874564,0.0348432055749129,0.0174216027874564,0.00871080139372822,0,0.00696864111498258,0.00522648083623693,0.0522648083623693,0,0,0.0871080139372822,0,0,0,0,0.00174216027874564,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
