"sample.depths","sample.ages","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Fraxinus.nigra","Corylus","Larix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ericaceae","Tilia","Iva.xanthifolia","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Carya","Acer.saccharum","Juglans.nigra","Thalictrum","Juglans.cinerea","Humulus","Iva.annua","Xanthium","Shepherdia.canadensis","Ephedra.nevadensis.type"
1,-23,0.0165562913907285,0.0033112582781457,0.00993377483443709,0.298013245033113,0.0165562913907285,0.0033112582781457,0.0033112582781457,0.00662251655629139,0.0860927152317881,0.0198675496688742,0.0033112582781457,0.0033112582781457,0.0794701986754967,0.0463576158940397,0.0033112582781457,0.0033112582781457,0.374172185430464,0.0033112582781457,0.0165562913907285,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,0.00996677740863787,0,0.0166112956810631,0.289036544850498,0.00664451827242525,0.0132890365448505,0.00332225913621262,0.00332225913621262,0.102990033222591,0.0199335548172757,0.00332225913621262,0.00664451827242525,0.0963455149501661,0.0431893687707641,0,0.00332225913621262,0.325581395348837,0,0.0332225913621262,0.00332225913621262,0.00332225913621262,0.00664451827242525,0.00332225913621262,0.00664451827242525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,319,0.0165016501650165,0,0.0198019801980198,0.297029702970297,0,0.0099009900990099,0.0099009900990099,0.0066006600660066,0.0957095709570957,0.0198019801980198,0.0066006600660066,0.0066006600660066,0.0891089108910891,0.0132013201320132,0,0,0.356435643564356,0,0.0132013201320132,0.0066006600660066,0.0033003300330033,0.0165016501650165,0,0,0.0066006600660066,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0
30,838,0.00655737704918033,0,0.0131147540983607,0.383606557377049,0,0.019672131147541,0,0.00327868852459016,0.0688524590163934,0.0295081967213115,0.00327868852459016,0.0163934426229508,0.0655737704918033,0.019672131147541,0.00327868852459016,0,0.321311475409836,0.00655737704918033,0.0163934426229508,0,0,0.00327868852459016,0,0.00655737704918033,0,0,0,0.00655737704918033,0.00327868852459016,0.00327868852459016,0,0,0,0,0,0,0,0,0,0
40,1356,0.02,0,0.0233333333333333,0.383333333333333,0.00333333333333333,0,0.00333333333333333,0,0.12,0.0266666666666667,0,0,0.116666666666667,0.0133333333333333,0,0.01,0.26,0.00333333333333333,0.01,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0
50,1875,0.01,0,0.00666666666666667,0.38,0,0.01,0,0,0.106666666666667,0.00666666666666667,0,0.00666666666666667,0.0666666666666667,0.00666666666666667,0,0.00333333333333333,0.36,0.00333333333333333,0.00666666666666667,0,0.00333333333333333,0.0133333333333333,0,0,0,0,0,0.00333333333333333,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0
60,2393,0.0165562913907285,0,0.0132450331125828,0.427152317880795,0.0033112582781457,0.00993377483443709,0.0033112582781457,0.00662251655629139,0.0629139072847682,0.0132450331125828,0.0033112582781457,0.0033112582781457,0.0728476821192053,0.00662251655629139,0,0.0033112582781457,0.324503311258278,0,0.0033112582781457,0.00662251655629139,0.0033112582781457,0.00662251655629139,0,0.00993377483443709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2912,0.0198675496688742,0,0.00662251655629139,0.334437086092715,0,0.0033112582781457,0.0033112582781457,0.0033112582781457,0.0728476821192053,0.0132450331125828,0.00662251655629139,0,0.0596026490066225,0.00662251655629139,0,0,0.437086092715232,0,0.0033112582781457,0.0033112582781457,0,0.0165562913907285,0.0033112582781457,0,0,0,0,0.0033112582781457,0,0,0,0.0033112582781457,0,0,0,0,0,0,0,0
80,3430,0.0198675496688742,0,0.00993377483443709,0.364238410596026,0,0.0033112582781457,0,0.00662251655629139,0.0596026490066225,0.0231788079470199,0.0033112582781457,0.00662251655629139,0.0894039735099338,0.0033112582781457,0,0,0.370860927152318,0,0,0.00662251655629139,0.0033112582781457,0.00993377483443709,0,0,0,0,0,0.00662251655629139,0,0.0033112582781457,0,0.00662251655629139,0.0033112582781457,0,0,0,0,0,0,0
90,3949,0.0100334448160535,0,0.0167224080267559,0.361204013377926,0,0,0.00334448160535117,0,0.0568561872909699,0.0133779264214047,0,0,0.0869565217391304,0.0133779264214047,0,0,0.414715719063545,0,0,0,0.00334448160535117,0.00334448160535117,0,0,0,0,0,0.00334448160535117,0,0,0,0.0100334448160535,0,0.00334448160535117,0,0,0,0,0,0
