"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Ulmus","Populus","Poaceae","Acer.undiff.","Ambrosia.type","Fraxinus.nigra.type","Apiaceae","Fagus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Myrica","Lamiaceae","Asteraceae.subf..Asteroideae.undiff.","Galium","Ericaceae","Acer.spicatum","Carya","Ranunculaceae.undiff.","Taxus","Brassicaceae","Celtis","Vitis","Cornus","Thalictrum","Tilia","Juglans.cinerea","Shepherdia.canadensis","Rosaceae","Plantago","Iva.annua.type","Herbs.undiff.","Urtica.type"
1,16,407,40,12,2,5,61,1,1,4,3,10,186,59,8,1,4,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,156,320,44,13,11,1,69,1,0,3,2,7,125,13,11,1,2,2,2,1,2,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,312,429,16,42,25,3,82,2,0,17,3,9,128,53,7,1,5,8,0,1,7,2,1,8,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,467,388,18,50,27,2,71,0,0,12,1,10,116,31,3,0,3,12,0,1,9,5,0,10,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,623,349,27,28,10,8,67,0,1,3,3,9,122,32,7,0,4,2,1,1,9,2,1,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,779,381,19,17,15,8,77,1,0,11,3,4,145,52,8,3,4,0,1,2,3,1,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,935,344,22,9,11,5,104,0,1,7,1,5,124,33,3,0,5,2,1,2,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1090,379,24,21,10,3,94,0,2,3,3,6,140,48,4,0,5,0,1,0,5,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1246,335,34,6,3,3,66,1,0,13,0,8,140,35,9,1,3,0,1,0,5,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1402,360,26,11,13,2,61,1,0,1,0,3,169,47,11,0,1,0,0,4,1,4,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
