"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum"
270,3096,205,0,0,13,2,0,18,0,0,0,3,0,0,42,2,2,0,4,0,0,12,4,39,1,1,24,0,0,0,0,3,19,13,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
280,3227,206,1,0,31,3,0,20,4,0,0,14,0,0,36,8,0,0,1,0,0,21,0,22,0,0,23,0,0,0,0,3,5,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
290,3359,205,0,0,16,1,0,13,1,0,0,30,0,0,32,7,1,0,5,0,0,13,0,24,0,1,26,0,0,0,0,1,17,12,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
300,3494,204,0,0,13,4,0,26,0,0,0,28,0,0,26,9,0,0,3,0,0,8,1,25,2,0,33,0,0,0,0,1,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3630,207,0,0,25,2,0,13,0,0,0,4,0,0,41,8,0,0,2,0,0,5,1,30,0,0,42,0,0,0,0,2,11,16,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0
320,3768,203,0,0,8,1,0,17,0,0,0,25,0,0,37,14,2,0,1,0,0,9,3,21,1,0,33,0,0,0,0,3,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
330,3908,203,0,0,26,0,0,26,2,0,0,16,0,0,40,8,0,1,1,0,0,11,0,26,1,1,24,0,0,0,0,4,4,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
340,4050,209,1,0,23,3,0,14,1,0,1,19,0,0,41,5,0,0,5,0,0,20,1,26,0,0,25,0,0,0,0,7,3,9,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
350,4194,203,0,0,19,2,0,17,2,0,0,15,0,0,39,8,1,1,3,0,0,13,0,27,1,0,28,0,0,0,0,3,13,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,4341,206,0,0,21,4,0,23,2,0,0,25,0,0,33,14,0,0,3,0,0,4,1,22,1,1,31,0,0,0,0,3,6,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
370,4489,202,0,0,20,2,0,22,5,0,0,9,0,0,38,8,2,0,3,0,0,17,0,32,0,0,23,0,0,0,0,2,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380,4639,202,1,0,17,0,0,20,3,0,0,15,0,0,36,13,2,0,9,0,0,6,0,40,0,0,17,0,0,0,0,3,7,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
390,4792,208,0,0,33,5,0,26,4,0,0,12,0,0,33,5,4,0,1,0,0,7,0,21,0,1,23,0,0,0,0,5,9,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
400,4947,210,0,0,20,2,0,23,1,0,0,12,0,0,39,8,4,0,1,0,0,14,0,25,0,0,24,0,0,0,0,3,11,15,0,3,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0
410,5105,205,0,0,27,3,0,23,1,0,0,6,0,0,40,8,1,0,0,0,0,6,2,28,0,0,23,0,0,0,0,8,7,17,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
