"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Diervilla","Ericaceae","Fagus","Fraxinus","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Epilobium","Poaceae","Poaceae.1","Polygonum","Rosaceae"
350,562,1015,52,1,2,41,301,0,0,0,0,2,0,0,0,0,0,147,22,372,14,4,0,8,3,19,4,1,6,10,0,3,3,0,0
360,579,966,38,1,1,46,292,0,2,0,0,0,0,2,0,0,0,86,47,367,12,1,0,13,3,23,6,0,2,12,0,6,6,0,0
370,596,1152,67,2,6,43,311,0,0,0,0,0,2,1,0,0,0,128,43,421,30,2,0,18,7,25,8,2,9,13,0,7,7,0,0
380,614,986,59,6,2,31,301,0,4,0,0,1,1,2,0,2,1,123,55,320,17,0,0,4,1,17,9,0,1,17,0,6,6,0,0
390,631,941,89,2,1,24,293,3,4,0,0,0,0,5,1,6,2,139,39,276,13,1,0,13,6,6,10,2,0,4,0,1,1,0,0
400,648,491,33,1,0,25,179,3,9,0,0,0,0,4,0,0,2,47,24,118,11,0,0,12,4,4,11,3,0,1,0,0,0,0,0
410,665,851,63,4,11,28,340,0,4,0,0,0,3,3,0,0,1,83,29,231,22,2,1,2,4,3,8,2,2,5,0,0,0,0,0
420,683,931,62,1,4,48,335,0,4,0,0,0,0,1,0,0,6,95,47,243,20,0,0,12,3,5,11,2,0,15,0,7,7,0,3
430,700,806,43,1,14,42,319,1,9,0,0,0,2,4,0,0,0,60,33,204,18,1,1,12,4,4,14,0,3,7,0,4,4,0,2
440,774,799,50,1,3,31,316,1,3,1,0,0,1,4,0,0,0,58,34,233,15,2,1,15,2,7,12,0,1,4,0,2,2,0,0
450,851,826,60,0,4,20,306,0,0,0,0,0,1,6,1,0,1,77,36,271,6,0,0,3,0,11,5,2,1,7,0,4,4,0,0
460,928,898,40,1,2,34,320,0,0,0,0,1,0,4,0,0,3,99,52,254,17,1,0,7,2,22,9,3,4,12,0,4,4,0,3
470,1004,569,30,0,3,22,202,0,0,8,3,0,0,6,1,5,3,30,22,147,11,3,0,6,3,10,12,0,3,29,0,5,5,0,0
480,1081,702,31,3,5,62,295,0,2,0,0,0,2,2,0,0,4,62,34,116,16,3,1,12,7,12,9,3,3,11,0,1,1,2,3
490,1158,651,31,0,4,30,275,1,2,0,0,0,1,1,0,5,5,42,27,142,22,1,0,0,5,19,6,1,3,17,0,5,5,1,0
500,1235,870,47,2,4,38,324,0,2,0,0,0,0,5,0,0,1,62,58,236,18,0,1,13,7,15,12,0,2,9,0,7,7,0,0
