"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Amaranthaceae.undiff.","Pinaceae.undiff.","Cyperaceae","Poaceae.undiff.","Larix","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Sarcobatus.vermiculatus","Trees.undiff.","Pinus.subg..Strobus","Myrica","Artemisia","Cupressaceae","Plantago","Ericaceae","Herbs.undiff.","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Fagus","Corylus","Fraxinus","Taxus","Caryophyllaceae","Rosaceae.undiff.","Castanea","Thalictrum","Fabaceae","Populus","Ulmus","Nyssa","Asteraceae.undiff.","Iva","Cornus","Sambucus","Vitis","Epilobium","Ranunculaceae.undiff.","Scrophulariaceae","Shepherdia.canadensis","Moraceae","Juglans","Polygonum","Celtis","Dryas.type","Euphorbia","Gentianaceae","Asteraceae.subf..Cichorioideae","Cerealia","Geranium","Ilex","Platanus"
2,232,655,30,3,40,1,54,1,31,3,1,9,465,2,6,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,673,413,17,0,13,0,23,0,9,0,1,1,341,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1113,581,29,1,32,0,25,0,15,0,0,0,470,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1554,523,34,1,31,1,32,0,14,2,0,1,393,0,4,0,0,4,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1995,883,35,3,32,0,54,0,31,2,2,3,694,1,8,0,0,6,3,1,0,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2436,559,42,0,32,0,37,0,23,0,1,1,417,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2877,472,17,0,28,0,53,0,32,3,1,0,326,0,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3318,586,29,0,29,0,62,0,18,2,2,4,421,0,8,2,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3571,602,29,2,9,0,13,0,13,3,0,1,521,0,4,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3825,1023,44,1,44,0,71,0,19,11,1,5,812,0,10,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4079,891,48,2,39,0,56,0,10,2,0,5,698,0,15,0,0,2,7,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4333,639,20,1,38,1,103,0,29,8,2,3,424,0,4,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4586,804,33,3,14,0,50,0,30,5,2,0,646,1,4,0,0,3,6,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4840,762,37,0,28,0,50,0,20,4,1,2,593,2,8,0,0,3,6,2,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5094,1300,39,6,26,1,93,0,53,14,2,3,1019,0,9,0,0,22,5,1,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5347,934,61,0,21,0,82,0,26,9,1,3,713,1,11,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5584,790,30,0,24,0,96,0,28,10,0,3,576,0,4,1,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5770,787,31,1,16,0,94,0,14,2,0,1,612,0,10,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5956,836,58,0,27,0,98,0,23,7,0,0,600,1,9,0,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6142,1031,80,1,24,0,130,0,6,10,0,2,758,0,6,0,0,6,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
