"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Herbs.undiff.","Picea","Salix","Sarcobatus.vermiculatus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Populus","Poaceae","Asteraceae.subf..Cichorioideae","Trees.undiff.","Cupressaceae","Polygonaceae.undiff.","Rumex","Rosaceae","Ulmus","Corylus","Elaeagnus","Ostrya.Carpinus","Fraxinus","Quercus","Plantago","Shepherdia"
0,-3,0.00393700787401575,0.015748031496063,0.275590551181102,0.0393700787401575,0.275590551181102,0.0275590551181102,0.00393700787401575,0.0196850393700787,0.0275590551181102,0.00393700787401575,0.0078740157480315,0.0196850393700787,0.0275590551181102,0.181102362204724,0.0118110236220472,0.0590551181102362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,0,0.00845070422535211,0.323943661971831,0.00563380281690141,0.225352112676056,0.0338028169014084,0,0.0169014084507042,0.0140845070422535,0.00563380281690141,0,0.00563380281690141,0.0169014084507042,0.208450704225352,0.00845070422535211,0.12112676056338,0.0028169014084507,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0
20,18,0,0.0135135135135135,0.32972972972973,0.0216216216216216,0.227027027027027,0.0513513513513514,0.0027027027027027,0.00810810810810811,0.0378378378378378,0,0.0027027027027027,0.0135135135135135,0.027027027027027,0.148648648648649,0.00810810810810811,0.0972972972972973,0,0,0.0027027027027027,0.0027027027027027,0.0027027027027027,0.0027027027027027,0,0,0,0,0,0,0,0
30,28,0,0.00519480519480519,0.319480519480519,0.025974025974026,0.285714285714286,0.0155844155844156,0.0311688311688312,0.012987012987013,0.0181818181818182,0.00519480519480519,0,0.00779220779220779,0.0285714285714286,0.135064935064935,0.0103896103896104,0.0883116883116883,0.00519480519480519,0,0,0,0,0.00519480519480519,0,0,0,0,0,0,0,0
50,49,0,0.0107913669064748,0.298561151079137,0.0143884892086331,0.388489208633094,0.0215827338129496,0.0107913669064748,0.0107913669064748,0.0287769784172662,0,0,0.00359712230215827,0.00719424460431655,0.115107913669065,0,0.0719424460431655,0,0,0.00359712230215827,0.00359712230215827,0.00359712230215827,0.00719424460431655,0,0,0,0,0,0,0,0
60,60,0,0.00611620795107034,0.415902140672783,0.018348623853211,0.131498470948012,0.055045871559633,0.0122324159021407,0.00611620795107034,0.0214067278287462,0.00611620795107034,0,0.0214067278287462,0.0336391437308868,0.128440366972477,0.00305810397553517,0.134556574923547,0,0,0,0,0,0.00611620795107034,0,0,0,0,0,0,0,0
70,96,0.00309597523219814,0.0247678018575851,0.538699690402477,0.0247678018575851,0.0185758513931889,0.021671826625387,0.00619195046439629,0.00309597523219814,0.0154798761609907,0.00619195046439629,0,0.0340557275541796,0.021671826625387,0.148606811145511,0,0.130030959752322,0,0,0,0,0,0.00309597523219814,0,0,0,0,0,0,0,0
110,341,0.00306748466257669,0.00613496932515337,0.457055214723926,0.0306748466257669,0.0460122699386503,0.0306748466257669,0.0153374233128834,0.0306748466257669,0.00613496932515337,0.00613496932515337,0,0.0460122699386503,0.0276073619631902,0.190184049079755,0.00920245398773006,0.0950920245398773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,830,0,0.0384615384615385,0.511834319526627,0.0236686390532544,0.0621301775147929,0.0532544378698225,0,0.00591715976331361,0.00887573964497041,0,0.0029585798816568,0.029585798816568,0.0207100591715976,0.109467455621302,0,0.127218934911243,0.00591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1320,0,0.0116731517509728,0.490272373540856,0.0389105058365759,0.0466926070038911,0.0272373540856031,0.0116731517509728,0.0155642023346304,0.0116731517509728,0.0116731517509728,0.00389105058365759,0.0311284046692607,0.0505836575875486,0.1284046692607,0,0.11284046692607,0,0,0,0,0,0,0.00778210116731518,0,0,0,0,0,0,0
350,1810,0,0.0116959064327485,0.365497076023392,0.0584795321637427,0.043859649122807,0.0380116959064327,0.00292397660818713,0.0175438596491228,0.0204678362573099,0,0,0.0146198830409357,0.0175438596491228,0.178362573099415,0,0.225146198830409,0,0,0,0,0,0,0,0.00292397660818713,0.00292397660818713,0,0,0,0,0
430,2300,0,0.0313588850174216,0.418118466898955,0.024390243902439,0.0557491289198606,0.0801393728222996,0.0139372822299652,0.0139372822299652,0.0418118466898955,0.00696864111498258,0,0.0313588850174216,0.0278745644599303,0.118466898954704,0.00348432055749129,0.114982578397213,0,0,0,0.00696864111498258,0.00696864111498258,0,0,0.00348432055749129,0,0,0,0,0,0
510,2790,0,0.0129198966408269,0.431524547803618,0.020671834625323,0.0387596899224806,0.0723514211886305,0.00516795865633075,0.0180878552971576,0.0103359173126615,0,0,0.0155038759689922,0.0180878552971576,0.188630490956072,0,0.162790697674419,0,0,0,0,0,0.00258397932816537,0,0.00258397932816537,0,0,0,0,0,0
590,3279,0,0.00636942675159236,0.385350318471338,0.0796178343949045,0.0605095541401274,0.00955414012738853,0.00318471337579618,0.00636942675159236,0.0222929936305732,0,0,0.0222929936305732,0.054140127388535,0.184713375796178,0,0.162420382165605,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0
