"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Dalea.candida.type","Other.herbs","Poaceae","Xanthium","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Osmunda","Pteridium","Selaginella.rupestris","Sphagnum","Nuphar","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
0,-27,1,51,38,0,0,0,0,0,0,0,0,0,74,84,0,3,0,0,0,0,3,6,0,5,1,0,11,0,0,0,0,0,2,0,0,0,2,0,0,0,6,0
5,70,2,28,8,0,0,0,0,0,0,0,0,0,56,131,0,3,1,1,0,0,1,1,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
10,168,1,31,16,0,0,0,1,0,0,2,0,0,58,122,0,1,1,0,0,0,4,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
15,266,1,32,14,0,0,0,1,0,0,0,0,0,67,118,0,2,0,0,0,0,1,1,0,3,4,0,4,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0
20,364,0,48,44,0,0,0,0,0,0,0,0,0,61,95,0,0,0,0,0,0,3,6,0,7,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0
25,461,2,33,21,0,0,0,0,0,0,2,0,1,61,112,0,0,1,0,0,1,1,3,0,1,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
30,559,0,28,17,0,0,0,0,0,0,1,0,0,78,103,0,1,1,0,0,0,1,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0
35,657,0,24,29,0,0,0,0,0,0,1,0,1,43,125,0,1,1,0,0,0,1,7,1,0,0,0,8,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0
40,755,0,11,14,0,0,0,0,0,0,0,0,0,56,129,0,0,0,0,0,1,1,4,0,1,1,0,5,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
45,852,0,25,13,0,0,0,0,0,0,0,0,0,53,134,0,0,0,0,0,0,0,1,0,2,3,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
50,950,0,26,18,0,0,0,0,0,0,0,0,0,43,137,0,2,2,2,0,0,2,4,1,1,1,0,6,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0
55,1048,0,16,7,0,0,0,0,0,0,1,0,0,61,130,0,1,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
60,1146,0,19,15,0,0,0,0,0,0,2,0,0,51,131,0,1,0,0,0,0,0,5,0,1,0,0,6,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
65,1243,1,28,15,0,0,0,0,0,0,2,0,0,60,121,0,1,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0
70,1341,0,26,12,0,0,0,0,0,0,3,0,0,54,130,0,1,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,1439,0,21,14,0,0,0,1,0,0,0,0,0,40,143,0,3,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0
80,1537,1,24,10,0,0,0,0,0,0,0,0,0,38,151,0,0,1,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1634,0,22,16,0,0,2,1,0,0,1,0,0,56,123,0,2,0,1,0,0,0,1,0,0,5,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0
90,1732,3,13,9,0,0,0,1,0,0,3,0,0,69,115,0,1,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
95,1830,1,24,26,0,0,0,0,0,0,0,0,0,41,128,0,3,1,0,0,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
100,1928,1,29,9,0,0,0,0,0,0,0,0,0,59,131,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,2025,0,21,22,0,0,0,0,0,0,0,0,0,53,123,0,2,0,0,0,0,0,5,0,0,1,1,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
110,2123,0,44,11,0,0,0,0,0,1,0,0,0,77,107,1,3,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,2221,1,23,13,0,0,0,0,0,0,1,0,0,54,130,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
120,2319,2,19,9,0,0,0,0,0,0,1,0,0,47,141,0,0,0,0,0,0,0,3,0,0,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
125,2416,0,37,17,0,0,0,0,0,0,1,0,0,73,108,0,1,0,0,0,0,4,9,0,0,1,0,9,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
130,2514,1,25,14,0,0,0,1,0,0,1,0,0,81,102,0,1,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
135,2612,1,40,18,0,0,0,0,0,1,0,0,0,52,127,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0
140,2709,1,17,9,0,0,0,0,0,0,0,0,1,74,114,0,0,0,0,0,0,0,7,1,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
145,2807,1,40,26,0,0,0,0,0,0,4,0,0,74,93,0,2,0,0,0,0,1,3,0,1,3,0,4,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0
150,2905,2,48,16,0,0,0,0,0,0,0,0,0,93,88,0,1,2,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,3003,1,24,27,0,0,0,0,0,0,0,0,0,60,110,0,2,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0
160,3100,1,23,19,0,0,0,0,0,0,0,0,0,49,131,0,0,0,0,0,0,0,2,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,3198,1,35,18,0,0,0,0,0,1,2,0,0,54,124,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
170,3296,1,19,15,0,0,0,0,0,0,0,0,0,91,91,0,1,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
175,3394,1,31,18,0,0,0,0,0,0,1,0,0,50,129,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
180,3491,2,21,21,0,0,0,0,0,0,0,0,0,59,118,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
185,3589,0,41,28,0,0,0,0,0,0,0,0,0,61,111,0,0,0,0,0,0,0,4,1,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
190,3687,1,26,38,0,0,0,1,0,0,0,0,0,58,103,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
