"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Epilobium","Larix","Ledum.Chamaedaphne.calyculata","Picea","Vaccinium","Pinus","Poaceae","Salix","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Quercus","Rosaceae.undiff.","Amaranthaceae","Ericales.undiff.","Cassiope.type","Empetrum","Fagus","Thalictrum","Fraxinus","Tsuga","Arctostaphylos","Alnus.incana.type","Rumex","Castanea","Acer.saccharum.type","Myrica","Ranunculus","Dryas.type","Oxytropis.type"
710,47,305,2,53,3,2,46,1,33,1,2,1,147,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,141,295,0,39,0,4,43,0,27,0,0,0,165,0,10,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,254,309,0,56,2,2,53,1,47,0,2,0,133,0,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,329,299,0,32,0,1,46,0,22,0,7,0,184,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,423,300,1,31,1,1,42,0,18,0,4,0,192,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,610,317,2,37,0,0,49,0,11,0,3,0,208,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,798,307,1,26,0,1,44,0,11,0,2,0,207,0,8,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,986,316,2,25,0,0,48,0,12,0,4,0,213,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,1173,329,3,31,1,1,45,0,12,0,5,0,209,0,14,4,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
780,1361,307,1,29,0,0,46,0,16,1,4,0,204,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,1548,318,1,32,1,1,39,0,10,0,3,0,219,0,4,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
800,1736,342,3,24,0,0,35,0,9,0,9,0,257,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,1934,303,0,36,0,0,52,0,10,0,4,0,189,0,3,4,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
820,2163,332,1,39,0,1,59,0,5,0,6,1,210,0,5,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
830,2393,331,1,44,0,0,40,0,5,1,2,0,230,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,2622,299,1,40,0,0,41,0,14,0,2,0,195,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
850,2852,304,0,55,0,0,38,0,4,0,3,0,195,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
860,3081,304,0,50,1,1,41,0,2,0,2,0,195,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
870,3311,308,2,51,0,1,37,0,4,0,2,0,199,0,5,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,3540,309,1,68,0,0,52,0,3,0,2,0,177,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
885,3655,354,1,73,0,2,58,0,1,0,2,0,209,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,3770,372,1,64,0,1,45,0,10,0,2,3,241,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,3839,659,4,169,0,2,82,0,2,0,7,0,381,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3999,370,3,74,0,0,46,0,2,0,1,0,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,4114,338,3,62,0,0,44,0,2,0,0,0,222,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
910,4229,355,0,84,0,1,43,0,6,0,1,0,219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,4343,323,1,90,0,0,48,0,2,0,2,0,176,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,4458,309,3,56,0,1,32,0,5,0,1,0,209,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,4569,318,3,81,0,0,40,0,3,0,4,0,180,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,4675,321,6,53,0,0,40,0,5,0,1,1,207,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
935,4781,368,2,54,0,0,47,0,4,0,2,0,254,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
940,4887,322,3,70,0,0,53,0,2,0,3,0,189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,5100,406,1,71,0,1,70,0,1,0,0,0,255,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
