"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Sambucus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Taxus","Rosaceae.undiff.","Nemopanthus.mucronatus","Pinus.resinosa.type","Juniperus.communis.Thuja.occidentalis.type","Urticaceae","Salix.undiff.","Acer.pensylvanicum","Caryophyllaceae","Castanea.dentata","Impatiens","Asteraceae.subf..Asteroideae.undiff.","Acer.saccharinum","Potentilla.palustris.type","Fraxinus.americana.type","Ranunculaceae.undiff.","Thalictrum","Populus.balsamifera.type","Rhamnus.alnifolia.R..frangula","Prunus.pensylvanica","cf..Sarcobatus.vermiculatus","Liliaceae","Amaranthaceae","Prunus.virginiana","Prunus.undiff.","Viburnum.nudum","Comptonia.peregrina","Cornus.canadensis","Viburnum.undiff.","Polygonaceae.undiff.","Fabaceae","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Campanula.type","Viburnum.edule","Cornus.undiff.","Onagraceae.undiff.","Lamiaceae","Salix.herbacea.type","Koenigia.islandica","Viburnum.alnifolium","Asteraceae.undiff.","Saxifraga.cernua.type","Brassicaceae","Apiaceae","Dryas","Rosaceae.cf..Prunus.serotina"
10,361,586,4,20,4,1,272,6,21,7,5,5,2,29,24,3,7,1,1,8,41,3,9,4,3,1,1,5,60,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,903,795,0,9,4,1,288,13,39,8,4,2,0,27,46,2,12,1,0,9,72,5,5,15,1,8,4,28,52,85,8,4,1,3,1,2,2,1,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1265,621,0,13,2,1,249,7,14,9,3,2,0,17,34,4,18,0,0,4,69,6,6,9,1,0,1,8,88,37,2,3,1,3,3,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1807,796,1,18,1,0,380,3,36,4,2,5,1,16,23,8,17,0,0,13,68,6,9,11,0,0,2,7,80,62,2,4,3,1,4,1,1,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2210,555,1,7,5,0,289,4,0,6,0,3,0,4,19,8,7,0,1,1,54,7,2,8,16,0,1,10,71,20,2,2,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2432,494,2,9,5,0,219,9,14,4,0,3,0,3,41,5,10,0,0,4,14,7,5,7,0,4,2,15,55,31,5,0,2,2,0,0,0,0,1,2,7,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2654,514,0,4,0,0,267,2,23,8,0,4,0,8,27,1,6,0,1,7,35,6,3,10,0,0,0,4,57,28,2,1,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2810,576,2,8,1,0,240,5,40,6,6,4,0,7,20,0,10,0,1,11,13,4,4,10,2,1,1,0,82,80,4,3,0,2,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2988,504,0,12,0,1,197,5,36,7,3,2,0,5,17,1,16,0,0,11,23,0,1,8,2,0,0,6,77,60,1,2,1,0,1,0,0,0,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3144,498,0,5,0,0,300,1,21,3,0,0,0,3,15,1,1,0,2,3,7,3,3,9,0,3,0,3,46,59,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
