"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Calla.palustris","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Littorella.uniflora","Lonicera.involucrata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaeaceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae.undiff.","Platanus.occidentalis","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.undiff.","Prunus.virginiana","Quercus","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type.undiff.","Rumex.acetosa.type","Sagittaria","Salix","Sarracenia.purpurea","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum"
50,881,15,0,1,3,0,3,3,0,3,0,1,199,0,0,0,0,1,0,4,0,0,3,0,21,5,0,0,2,0,0,0,0,1,0,9,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,2,67,20,7,1,126,46,0,0,1,0,2,1,0,0,0,0,12,0,1,0,1,0,0,0,0,0,0,2,0,0,0,12,0,0,0,2,3,0,2,0,0,0,0
75,1321,13,0,3,4,1,15,0,0,1,0,1,205,0,0,1,0,0,0,6,0,0,3,0,21,1,1,0,0,0,1,0,0,0,4,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,95,11,6,0,132,23,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,12,0,0,0,30,0,0,0,6,4,3,0,0,0,0,0
100,1761,28,0,0,8,1,13,3,0,0,2,0,261,0,0,0,0,0,0,10,0,0,2,0,9,7,2,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57,5,3,0,174,21,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,18,0,0,0,4,2,0,0,0,0,0,0
125,2201,7,0,1,6,0,7,1,0,0,0,0,114,0,0,1,0,0,1,10,0,0,1,0,17,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,24,2,2,0,104,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10,0,0,0,2,2,0,1,0,0,0,0
150,2642,9,0,3,3,0,9,0,0,2,0,0,220,0,0,0,0,0,0,11,0,0,2,0,21,9,3,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,25,2,6,3,121,19,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0
175,3082,9,0,1,5,0,13,2,0,0,2,0,305,0,0,1,0,0,3,43,0,0,8,0,34,6,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,5,0,225,73,0,0,1,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,1,0,0,4,0,0,0,26,0,0,0,10,3,0,0,0,0,0,0
185,3258,4,1,2,10,0,5,1,0,0,1,0,197,0,0,0,0,0,2,11,0,0,2,0,26,7,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,26,2,0,0,154,22,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,25,1,0,0,12,0,0,0,4,0,0,0,0,0,0,0
200,3522,11,0,0,4,1,9,0,1,2,0,0,169,0,0,2,0,1,0,7,0,0,3,0,17,3,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,18,3,0,3,146,18,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,7,2,0,0,13,0,0,0,2,1,0,0,0,0,0,0
225,3962,3,0,0,2,1,4,0,0,1,0,0,140,1,0,0,0,0,0,7,0,0,0,0,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,9,2,234,11,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0
250,4403,6,0,4,9,1,12,1,0,0,0,0,212,2,0,0,0,1,0,0,0,0,0,0,23,4,0,0,0,4,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,7,2,4,2,225,12,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0,84,0,0,0,11,0,0,0,4,1,2,2,0,0,0,0
