"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae.undiff.","Castanea","Cornus","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Lamiaceae","Poaceae","Ranunculaceae.undiff.","Rosaceae","Thalictrum"
4,96,0.0232558139534884,0.0784883720930233,0.0145348837209302,0.418604651162791,0,0,0,0,0.0377906976744186,0.0290697674418605,0,0,0.00290697674418605,0.00290697674418605,0.00581395348837209,0.171511627906977,0,0.0465116279069767,0,0.0872093023255814,0.0406976744186047,0,0,0.00872093023255814,0,0,0,0.0203488372093023,0.00290697674418605,0.00290697674418605,0.00290697674418605,0,0,0.00290697674418605,0,0,0,0,0
7,200,0.0241448692152917,0.06841046277666,0.0100603621730382,0.37625754527163,0,0,0,0,0.0382293762575453,0.0503018108651912,0.00603621730382294,0,0,0,0.0120724346076459,0.13682092555332,0,0.0362173038229376,0,0.0362173038229376,0,0,0.00603621730382294,0.146881287726358,0,0,0,0.0201207243460765,0.00201207243460765,0,0.0100603621730382,0,0.00201207243460765,0.00402414486921529,0,0.0100603621730382,0,0.00402414486921529,0
10,305,0.0356083086053412,0.0267062314540059,0.0118694362017804,0.451038575667656,0,0,0,0,0.0415430267062315,0.0385756676557863,0,0.0029673590504451,0.00593471810089021,0,0,0.169139465875371,0.00593471810089021,0.0474777448071217,0.00890207715133531,0.0652818991097923,0.0207715133531157,0,0.0029673590504451,0.0267062314540059,0.0029673590504451,0.0029673590504451,0,0.0118694362017804,0,0.0029673590504451,0.0148367952522255,0,0,0,0,0.0029673590504451,0,0,0
12,375,0.012970168612192,0.0246433203631647,0.0103761348897536,0.472114137483787,0,0,0,0.00389105058365759,0.0453955901426719,0.0402075226977951,0.0012970168612192,0.00259403372243839,0,0.0012970168612192,0.0103761348897536,0.166018158236057,0.00259403372243839,0.0350194552529183,0.00518806744487678,0.0700389105058366,0.0363164721141375,0,0,0.00389105058365759,0,0.00518806744487678,0,0.00907911802853437,0.00259403372243839,0,0.012970168612192,0.0012970168612192,0.0012970168612192,0.00778210116731518,0,0.0155642023346304,0,0,0
14,444,0.0584795321637427,0.0116959064327485,0.0263157894736842,0.470760233918129,0,0,0,0,0.0409356725146199,0.0350877192982456,0,0.00292397660818713,0,0,0,0.157894736842105,0,0.0497076023391813,0,0.0818713450292398,0.0350877192982456,0,0,0.00584795321637427,0,0,0,0.0116959064327485,0,0,0,0,0,0.00584795321637427,0,0,0,0.00584795321637427,0
15.5,497,0.0123203285420945,0.026694045174538,0.0143737166324435,0.457905544147844,0,0.00205338809034908,0,0.00616016427104723,0.0410677618069815,0.00410677618069815,0.0184804928131417,0.00205338809034908,0.00410677618069815,0.00205338809034908,0,0.188911704312115,0,0.0616016427104723,0,0.080082135523614,0.0164271047227926,0,0.00205338809034908,0.0123203285420945,0,0,0,0.0308008213552361,0,0,0,0,0,0.00616016427104723,0,0.00410677618069815,0,0.00616016427104723,0
19,619,0.00970873786407767,0.00485436893203883,0.00776699029126214,0.423300970873786,0,0,0,0.0135922330097087,0.058252427184466,0.0174757281553398,0,0,0.000970873786407767,0.0029126213592233,0.0135922330097087,0.120388349514563,0.00194174757281553,0.0504854368932039,0.00776699029126214,0.114563106796117,0.0679611650485437,0,0.016504854368932,0.012621359223301,0,0.00388349514563107,0,0.0436893203883495,0.000970873786407767,0,0,0,0.000970873786407767,0.00388349514563107,0,0.000970873786407767,0,0.000970873786407767,0
23,758,0.0126182965299685,0.00788643533123028,0.00946372239747634,0.511041009463722,0,0,0,0.0126182965299685,0.0315457413249211,0.0236593059936909,0,0.00315457413249211,0,0,0,0.110410094637224,0.00315457413249211,0.0504731861198738,0.00630914826498423,0.082018927444795,0.0347003154574132,0,0,0.026813880126183,0,0,0,0.0646687697160883,0.00315457413249211,0,0.00157728706624606,0,0.00157728706624606,0,0,0.00157728706624606,0,0.00157728706624606,0
24.5,815,0.0140845070422535,0.00201207243460765,0.00804828973843058,0.48692152917505,0,0,0,0.00201207243460765,0.028169014084507,0.0160965794768612,0,0,0,0,0,0.100603621730382,0,0.110663983903421,0,0.124748490945674,0.0140845070422535,0,0,0.0241448692152917,0,0,0,0.0603621730382294,0,0,0,0,0.00201207243460765,0,0,0,0,0.00402414486921529,0.00201207243460765
25.5,852,0.00601503759398496,0.00676691729323308,0.00451127819548872,0.458646616541353,0,0,0,0.00225563909774436,0.056390977443609,0.0270676691729323,0,0.00075187969924812,0.00075187969924812,0.00150375939849624,0.00300751879699248,0.0556390977443609,0.0037593984962406,0.093984962406015,0.00601503759398496,0.147368421052632,0.0556390977443609,0,0.00827067669172932,0.00827067669172932,0,0.00150375939849624,0.00150375939849624,0.0390977443609023,0.00150375939849624,0,0,0.00150375939849624,0,0,0,0.0075187969924812,0,0.00075187969924812,0
27,908,0.0289017341040462,0.0134874759152216,0.0115606936416185,0.447013487475915,0,0,0,0.00192678227360308,0.0558766859344894,0.0134874759152216,0,0,0.00385356454720617,0,0.00192678227360308,0.0655105973025048,0.00770712909441233,0.107899807321773,0.00963391136801541,0.134874759152216,0.0308285163776493,0,0,0.0115606936416185,0,0,0,0.0500963391136802,0,0,0,0,0,0,0,0,0,0.00385356454720617,0
28,946,0.00275103163686382,0.0110041265474553,0.0137551581843191,0.463548830811554,0,0.00275103163686382,0.00137551581843191,0.00550206327372765,0.063273727647868,0.0453920220082531,0,0.00137551581843191,0.00275103163686382,0.00137551581843191,0.015130674002751,0.0412654745529574,0,0.0825309491059147,0.0275103163686382,0.110041265474553,0.0275103163686382,0,0.00550206327372765,0.0123796423658872,0,0.00137551581843191,0,0.0522696011004127,0,0,0,0,0,0.00275103163686382,0,0.00275103163686382,0,0.00412654745529574,0
