"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Arceuthobium","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Dalea.candida","Fabaceae.undiff.","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Rumex","Thalictrum"
0,-23,406,5,0,16,10,0,108,1,0,0,1,0,0,1,10,1,2,0,0,1,0,3,13,110,6,2,12,2,0,0,33,7,0,37,0,7,3,0,1,0,0,0,0,0,2,0,9,3,0
12,313,353,3,0,15,8,0,101,0,0,0,2,2,0,0,7,5,3,0,0,1,1,5,17,99,2,0,14,0,0,2,39,6,0,7,0,1,4,0,0,2,0,0,0,0,1,0,3,2,1
20,536,359,8,1,10,3,0,127,1,0,1,4,0,0,0,15,2,6,0,0,0,0,3,10,70,1,5,13,3,0,0,53,13,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0
30,816,325,2,0,15,2,0,113,0,0,0,3,1,0,0,18,1,4,3,0,3,0,4,0,60,0,0,13,0,0,0,56,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0
40,1096,350,1,0,11,6,0,86,0,0,0,3,3,0,0,45,4,1,0,0,0,0,6,18,43,0,6,10,5,0,0,89,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0
60,1655,359,0,3,22,2,0,93,0,0,0,0,0,0,0,31,0,0,0,0,1,0,3,10,71,0,1,18,1,0,5,85,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
80,2214,322,4,0,19,6,0,112,0,0,0,2,0,0,0,25,0,1,0,0,1,0,2,12,55,0,2,14,1,0,2,46,13,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
100,2774,308,4,0,21,6,0,89,0,0,0,0,3,0,0,18,5,1,0,0,0,0,0,5,61,2,4,9,1,0,0,61,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
120,3333,308,10,4,18,3,0,90,1,0,0,6,1,0,0,20,0,2,0,0,2,0,5,15,80,0,1,7,1,0,0,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3612,405,3,3,12,9,0,132,1,0,0,0,4,0,0,32,0,4,0,0,0,0,7,3,135,1,0,9,0,0,0,22,16,0,1,0,6,0,0,0,1,0,0,0,0,0,0,4,0,0
