"sample.depths","sample.ages","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Carya","Casuarina","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ericaceae","Euphorbiaceae","Fabaceae","Fraxinus","Iva","Juglans","Liquidambar","Melaleuca","Myrica","Nymphaea","Nyssa","Onagraceae","Osmunda.regalis","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Schinus","Trema","Typha","Unknown..monolete.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
0.5,-34,154,14,0,4,0,4,2,116,0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,40,2,0,4,4,12,2,0,0,4,6,0,0,8,4,8,0
1.5,-6,238,24,4,12,0,16,50,146,0,2,0,0,6,2,2,0,0,4,6,10,0,2,6,56,10,6,0,10,14,12,0,0,8,6,0,6,12,2,8,0
2.5,22,210,8,6,20,4,12,32,208,6,6,0,2,2,0,4,0,0,0,18,4,0,0,0,66,12,4,0,26,10,6,2,6,2,12,4,0,8,0,10,0
3.5,51,262,24,2,18,0,6,48,116,6,8,0,0,0,0,0,0,0,0,2,2,0,0,0,50,8,2,0,8,22,18,0,10,2,8,0,4,4,2,2,0
5.5,211,370,4,0,6,0,0,20,134,0,2,0,6,0,0,0,0,0,0,4,10,0,0,6,56,2,8,0,6,6,14,0,0,6,10,0,0,2,0,8,0
6.5,291,470,12,2,16,2,0,38,56,4,4,0,0,0,0,0,0,0,0,2,4,0,2,0,28,4,6,0,0,2,18,0,0,2,2,0,2,0,0,4,0
7.5,371,464,8,2,26,0,0,24,52,0,4,0,2,0,0,0,0,0,0,0,16,0,0,0,40,0,4,0,2,8,8,0,0,0,4,0,2,8,0,2,2
10.5,612,314,0,0,0,0,0,2,38,0,4,0,0,0,0,2,0,0,0,0,48,0,0,2,200,8,2,0,6,2,4,0,0,6,8,0,0,10,0,4,2
12.5,797,246,2,0,4,0,0,0,18,0,0,2,2,0,0,0,0,0,0,4,46,0,0,0,212,0,8,0,10,4,0,0,0,0,44,0,2,10,0,10,0
13.5,894,110,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,2,102,2,2,0,370,0,4,0,2,4,0,0,0,2,12,0,2,4,0,0,8
14.5,991,68,2,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,8,36,0,0,0,312,2,2,0,4,12,0,0,0,0,16,0,0,4,0,14,0
15.5,1087,152,0,2,2,0,0,2,44,0,4,0,0,0,0,0,0,2,0,2,76,0,0,0,382,4,8,0,2,4,0,0,0,0,4,0,2,6,0,8,0
21,1619,128,0,0,2,0,0,0,50,0,0,0,0,0,0,4,0,0,0,6,34,0,0,2,334,2,22,0,4,18,0,0,0,0,0,0,0,0,0,2,2
25,2005,312,0,0,4,2,0,0,18,0,10,0,0,0,0,2,2,0,0,2,30,0,0,0,196,10,40,0,2,20,0,0,0,0,2,0,0,6,0,4,2
31,2585,412,0,0,0,0,0,2,10,2,2,0,0,0,0,0,2,0,0,4,66,0,0,0,160,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,4
35,2972,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,102,2,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0
41,3551,86,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,4,38,0,0,0,114,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,2
45,3706,180,2,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,4,72,0,0,0,134,4,0,0,4,4,0,0,0,0,2,0,0,2,0,0,0
51,3938,250,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,46,2,2,0,2,6,0,0,0,0,2,0,0,2,0,0,0
55,4093,304,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,130,0,0,0,92,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2
61,4324,450,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,32,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
