"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Brassicaceae","Buxus","Carya","Caryophyllaceae","Cornus","Corylus","Crassulaceae","Cyperaceae","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Gentiana","Hypericum","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae","Myriophyllum","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polemoniaceae","Polygonum","Populus","Potamogetonaceae","Potentilla","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae.undiff.","Rubiaceae","Rubus","Rumex","Salix","Saxifraga.type","Selaginella","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete."
50,8797,0,4,13,4,2,0,2,3,3,0,0,2,0,0,2,0,60,0,0,0,1,2,0,0,2,0,0,0,0,0,6,3,65,0,10,0,0,0,0,0,70,1,0,0,0,0,0,3,1,0,0,2,0,1,33,0,5
55,9696,0,6,7,2,5,0,2,0,0,0,0,0,0,0,0,0,80,0,0,0,0,4,0,0,1,0,0,0,0,0,2,2,113,0,9,0,0,1,0,0,40,1,0,1,0,0,0,0,0,0,0,5,0,0,13,0,6
60,10027,1,14,12,2,2,0,0,1,2,0,0,4,0,0,4,0,28,0,0,0,1,7,0,0,7,0,0,0,0,0,9,3,74,0,7,0,0,0,0,0,57,2,0,0,0,0,0,1,0,0,1,0,0,3,49,2,7
63,10226,3,9,4,2,5,0,4,0,8,0,0,10,0,0,2,0,31,0,0,0,1,8,0,0,5,0,0,1,0,0,7,5,66,0,6,0,0,1,0,0,63,0,0,0,1,0,0,0,0,0,0,5,0,1,49,0,3
65,10358,3,6,5,0,4,0,2,3,2,0,0,7,0,0,1,0,26,0,0,1,2,5,0,0,7,0,0,0,0,0,21,1,75,0,4,0,0,0,0,0,67,1,0,0,0,0,0,1,1,0,0,11,0,4,37,0,3
67,10532,8,2,2,1,12,0,13,2,0,0,0,2,0,0,5,0,6,0,0,0,0,40,0,0,2,0,0,0,0,0,10,132,9,0,11,0,0,1,0,0,23,0,2,1,0,0,0,2,0,0,2,1,0,4,7,0,0
70,10792,2,0,0,1,4,0,9,2,6,0,0,1,0,0,5,0,9,0,0,0,0,58,0,0,0,0,0,0,0,0,1,139,3,1,7,0,0,0,27,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
73,11052,5,3,1,0,7,0,5,0,1,0,0,1,0,0,0,0,9,0,0,0,0,39,0,0,0,0,0,0,0,0,1,169,6,0,10,0,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
75,11226,13,1,3,0,5,0,5,1,3,0,0,0,0,0,1,0,6,0,0,0,0,53,0,0,0,0,0,0,0,0,1,146,11,0,8,0,0,4,0,0,16,0,1,1,0,0,0,4,0,0,2,0,0,6,2,2,0
78,11486,8,2,1,0,12,0,22,2,4,0,0,1,0,0,1,0,20,0,0,0,0,36,0,1,0,0,0,0,0,0,3,127,5,0,15,0,0,0,0,0,20,1,0,0,0,0,0,7,0,0,2,0,0,10,0,0,0
80,11659,9,2,0,0,11,0,13,0,0,0,0,0,0,0,1,0,10,0,0,0,1,32,0,0,0,0,0,0,0,0,5,144,10,0,16,0,0,0,3,0,23,0,0,0,0,0,1,9,2,0,1,0,0,1,2,0,3
83,11919,7,5,1,2,7,0,10,0,2,0,0,3,0,0,2,0,14,0,0,0,0,44,0,0,0,0,0,0,0,0,2,147,7,0,12,0,0,2,0,0,23,0,0,0,0,0,0,3,0,0,3,0,0,1,3,0,0
85,12093,5,0,2,0,9,0,11,1,7,0,0,1,0,0,9,0,12,0,0,0,0,43,0,0,0,0,0,0,0,0,15,109,25,0,4,0,0,1,4,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2
87,12266,7,2,5,2,14,0,6,0,14,0,0,1,0,0,7,0,17,0,0,0,0,53,0,0,0,0,0,0,0,0,11,82,8,0,8,0,0,1,3,1,40,0,0,0,0,0,0,2,0,0,4,0,0,1,9,0,0
90,12527,6,0,2,2,14,0,8,0,4,0,0,4,0,0,4,0,5,0,0,1,0,38,0,0,1,0,0,0,0,0,3,130,22,0,7,0,0,2,1,0,35,1,1,0,0,0,1,0,0,0,0,0,0,1,7,0,0
93,NA,6,3,2,0,8,0,3,3,6,0,0,2,0,0,2,0,13,0,0,0,1,48,0,0,0,0,0,0,0,0,4,138,9,0,14,0,0,0,0,1,30,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0
95,NA,5,0,3,0,11,0,12,1,2,0,0,0,0,1,2,0,16,0,0,0,0,41,1,0,0,0,0,0,0,0,6,128,8,0,26,0,0,0,0,0,16,1,1,0,0,0,0,5,0,0,0,0,0,9,3,0,0
100,NA,8,0,8,1,13,0,15,2,1,0,0,0,0,0,2,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,12,150,24,1,9,0,0,0,1,0,17,3,0,0,0,1,0,4,1,4,0,0,0,3,2,2,1
110,NA,7,0,13,1,5,0,25,2,4,0,0,3,0,0,1,0,11,0,0,0,0,19,0,0,0,0,1,0,0,0,3,133,39,0,5,0,0,1,3,0,17,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1
120,NA,7,1,10,6,8,0,43,1,2,0,0,0,0,0,1,0,34,1,0,2,1,9,0,0,0,0,0,0,1,0,1,121,22,0,9,0,0,2,0,0,8,2,0,0,1,0,0,1,0,1,2,0,0,0,0,3,1
130,NA,4,0,11,0,5,0,22,3,2,0,0,0,0,0,5,0,48,1,0,0,0,6,0,0,0,0,2,0,0,0,2,109,38,0,10,0,0,0,0,0,14,3,0,0,0,0,0,0,1,0,2,0,0,0,1,3,8
142,NA,4,0,7,1,0,0,22,1,1,0,0,0,0,0,3,0,50,1,0,0,0,2,0,0,0,0,0,0,0,0,10,149,24,0,3,0,0,4,0,0,10,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,1
150,NA,6,0,7,4,9,0,22,0,7,0,0,2,0,0,5,0,65,0,0,0,0,3,0,0,0,0,1,0,0,0,2,104,20,1,12,0,0,6,3,0,5,1,0,0,0,0,0,4,0,0,1,0,0,0,2,1,7
160,NA,3,0,16,3,3,1,34,2,2,0,0,0,0,1,0,0,50,1,0,1,0,7,0,0,1,0,1,0,0,0,7,97,24,0,7,0,0,2,0,0,22,2,0,0,0,1,1,2,0,0,2,0,0,0,1,2,5
166,NA,5,2,22,1,4,0,26,1,4,0,0,1,0,0,2,0,24,0,0,2,0,7,0,0,0,0,2,0,0,0,2,106,47,0,8,0,0,2,7,0,9,3,0,0,0,1,0,1,3,0,1,0,1,0,2,2,2
170,NA,5,1,15,1,3,0,37,2,3,0,0,0,0,0,0,0,43,0,0,0,0,6,0,0,1,0,3,0,0,0,3,81,54,0,14,0,0,2,2,0,11,4,0,0,0,2,0,1,0,0,3,0,0,0,2,1,0
177,NA,0,0,21,1,13,0,32,6,10,0,0,0,0,0,4,0,72,0,1,0,0,10,0,0,0,0,0,0,0,0,6,72,14,0,5,1,0,2,0,0,7,2,0,0,0,2,1,8,0,0,4,0,2,0,1,1,2
180,NA,4,0,26,1,7,1,24,3,4,0,0,1,0,0,0,0,37,1,0,0,0,11,0,0,0,0,0,0,0,0,4,81,36,0,6,0,1,1,8,0,24,6,0,1,0,0,0,2,3,0,2,0,0,0,0,3,1
187,NA,3,0,15,0,9,0,20,5,3,0,0,0,1,0,0,0,74,0,0,0,0,4,0,0,0,0,0,0,0,0,3,121,19,0,5,0,0,3,0,0,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,5
190,NA,1,0,21,2,9,1,27,3,14,0,0,0,0,0,0,0,40,1,0,1,0,17,0,0,0,0,2,0,0,0,4,70,31,2,5,0,0,1,14,0,17,6,0,1,0,1,1,3,1,1,2,0,0,0,0,0,2
195,NA,2,0,9,3,7,0,22,3,3,0,0,0,0,0,1,0,34,0,0,0,0,26,0,0,0,0,0,0,0,0,0,125,21,0,10,0,0,2,1,0,17,1,1,1,0,0,0,4,0,0,1,0,0,0,0,2,4
200,NA,7,1,7,1,3,0,40,2,6,0,0,0,1,0,0,0,42,0,1,1,0,8,1,0,0,0,3,0,0,0,2,106,24,0,6,0,0,2,5,1,12,5,0,0,0,0,0,4,2,0,4,0,0,0,1,1,1
210,NA,4,1,12,3,4,0,27,1,3,1,0,0,0,0,0,0,42,0,0,0,0,14,3,0,0,1,2,0,0,0,3,112,13,0,2,0,0,4,11,0,10,4,0,0,0,0,1,4,4,8,1,0,1,1,0,2,9
220,NA,5,0,9,2,6,0,37,2,0,0,0,0,0,1,1,0,46,0,0,0,0,10,0,0,0,2,2,0,0,0,2,127,20,0,7,0,0,0,6,0,5,1,0,0,0,0,0,1,2,0,4,0,1,0,0,1,1
227,NA,1,0,7,5,6,0,42,0,3,0,1,0,0,0,2,0,65,0,0,0,0,16,0,0,0,1,2,0,0,0,3,86,20,1,9,0,0,1,2,0,7,5,0,0,0,0,1,4,2,0,2,0,0,0,0,3,3
240,NA,11,0,13,4,5,0,31,0,0,0,0,0,1,0,0,0,32,1,1,1,0,10,2,0,0,0,1,0,0,0,3,109,18,0,9,0,0,1,5,0,18,3,0,0,0,2,0,6,3,0,2,0,4,0,0,2,1
250,NA,4,1,22,4,5,0,39,4,0,0,0,0,0,0,1,0,30,0,1,1,0,6,0,1,0,0,0,0,0,0,1,122,13,0,13,0,0,0,2,0,7,5,0,1,0,1,0,1,2,0,1,0,4,0,0,0,0
260,NA,7,2,5,1,3,0,30,0,1,0,0,0,1,0,0,0,35,0,2,0,0,1,0,0,0,4,2,0,2,0,2,132,32,0,8,0,1,2,4,0,2,2,0,0,0,0,0,2,1,1,4,0,1,0,0,2,9
270,NA,3,0,3,0,3,0,48,5,1,0,0,0,0,0,0,0,37,0,0,1,0,23,0,0,0,0,0,0,0,0,0,106,20,0,11,0,0,1,5,0,14,4,0,1,0,0,0,4,2,1,2,0,0,0,0,3,4
280,NA,8,0,20,3,4,0,31,4,2,0,0,0,0,0,2,0,23,1,1,0,0,9,0,0,0,0,0,0,0,1,3,122,18,0,14,0,1,3,0,0,10,3,0,0,0,3,0,2,0,0,3,0,1,1,2,1,4
290,NA,3,0,8,3,7,0,41,2,2,0,0,0,0,0,2,0,31,0,1,1,0,8,0,0,0,0,2,0,0,0,0,99,26,0,27,0,0,2,0,0,10,4,0,0,0,3,0,3,1,1,1,0,1,0,0,3,9
300,NA,8,0,5,6,10,0,46,0,1,0,0,0,0,0,1,0,33,0,0,1,0,2,0,0,0,0,0,0,0,0,1,112,30,0,14,0,0,0,1,0,9,0,1,1,0,0,0,5,0,0,2,0,0,0,0,1,7
310,NA,2,0,4,6,7,0,43,4,2,0,0,0,1,0,0,0,27,0,0,0,0,3,0,0,0,1,1,0,0,0,1,100,27,0,15,0,0,0,2,0,19,9,0,2,0,0,0,7,0,2,2,0,0,0,0,2,14
321,NA,8,0,9,1,4,0,35,0,1,0,0,0,1,0,0,0,31,0,0,0,0,3,0,0,0,1,0,0,0,0,0,155,20,0,5,0,1,1,2,0,7,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,8
330,NA,7,1,3,4,9,0,27,0,0,0,0,0,0,0,0,0,28,0,0,1,0,4,0,0,0,0,0,0,0,0,0,143,29,1,5,0,0,1,0,0,3,2,0,0,0,0,0,11,1,0,2,0,2,0,0,5,8
350,NA,2,1,2,4,3,0,12,1,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,192,22,0,8,0,1,3,0,0,1,1,0,2,0,0,0,4,0,0,0,0,0,0,0,8,10
390,NA,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2
470,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,115,27,0,2,0,0,2,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,3
570,NA,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3
670,NA,2,1,0,3,7,0,4,2,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95,15,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,5,7
760,NA,1,0,0,2,4,0,11,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,16,0,1,0,0,0,0,0,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,7,10
