"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Brassicaceae","Buxus","Carya","Caryophyllaceae","Cornus","Corylus","Crassulaceae","Cyperaceae","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Gentiana","Hypericum","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae","Myriophyllum","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polemoniaceae","Polygonum","Populus","Potamogetonaceae","Potentilla","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae.undiff.","Rubiaceae","Rubus","Rumex","Salix","Saxifraga.type","Selaginella","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete."
1,-15,1,0,0,30,68,0,1,37,0,0,0,1,1,0,0,0,29,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,59,0,3,0,3,0,0,0,54,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
12,1963,2,3,2,29,11,0,4,2,2,0,0,0,0,0,1,0,52,0,0,0,0,3,0,0,0,0,0,1,0,0,0,14,88,0,6,0,0,5,0,0,54,2,0,2,1,0,0,0,0,0,0,0,1,8,2,0,4
18,3042,2,5,9,42,9,0,6,3,6,1,0,3,0,0,3,0,37,0,0,0,0,3,0,0,1,0,0,0,0,0,2,9,60,0,8,0,0,3,0,0,65,0,0,1,0,0,0,1,0,0,0,0,3,12,1,0,5
24,4121,0,3,3,90,9,0,3,2,1,0,0,3,0,0,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,53,0,21,0,0,2,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,16,3,0,2
29,5021,3,4,2,80,19,0,6,3,1,0,0,2,0,0,2,0,53,0,0,0,0,3,0,0,2,0,0,0,0,0,0,4,47,0,10,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,1,1,8,3,0,6
36,6279,2,4,8,13,22,0,4,6,0,0,0,0,0,0,0,0,23,0,0,0,1,3,0,0,1,0,0,1,0,0,3,15,107,0,2,0,1,0,2,0,50,1,0,0,0,0,0,1,0,0,0,3,0,19,6,0,2
40,6999,1,5,84,1,7,0,2,4,0,0,0,1,0,0,4,1,31,0,0,0,3,3,0,0,2,0,0,0,0,0,0,3,77,1,3,0,0,0,1,0,37,1,0,0,0,0,0,2,3,0,0,1,0,5,7,0,10
43,7538,2,3,6,7,3,0,1,0,0,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,186,0,0,0,0,0,1,0,44,2,0,0,0,0,0,1,0,0,0,5,0,2,9,0,3
45,7898,0,1,16,2,12,0,9,1,0,0,0,0,0,0,2,0,70,0,0,0,1,4,0,0,2,0,0,0,0,0,7,1,71,0,3,0,0,3,1,0,63,2,0,0,0,0,0,2,3,0,1,1,0,2,17,3,0
47,8258,3,16,18,1,1,0,2,1,3,0,0,6,0,0,0,0,19,0,0,0,1,3,0,0,0,0,0,1,0,0,4,7,100,0,2,0,0,0,0,0,60,0,0,1,0,0,0,1,0,0,0,13,0,0,36,0,1
