"sample.depths","sample.ages","Abies","Artemisia","Betula","Cyperaceae","Picea","Quercus","Rumex","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Iva.xanthifolia","Fagus","Rosaceae.undiff.","Castanea","Cupressaceae","Asteraceae.subf..Cichorioideae","Salix","Sanguisorba","Apiaceae","Ambrosia","Myrica","Amaranthaceae","Ericaceae","Plantago","Ilex.Nemopanthus","Larix","Fraxinus.nigra","Arceuthobium","Ostrya.Carpinus","Acer.saccharum","Populus","Fraxinus.americana","Ulmus","Impatiens","Onagraceae","Shepherdia.canadensis","Caryophyllaceae","Ranunculus","Acer.negundo"
200,2476,0.154228855721393,0,0.572139303482587,0.00497512437810945,0.104477611940299,0.00497512437810945,0,0,0,0,0.114427860696517,0.0199004975124378,0.0099502487562189,0,0.00497512437810945,0,0,0.0099502487562189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2601,0.265,0,0.415,0.015,0.14,0,0,0,0,0.005,0.1,0.05,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2726,0.185,0,0.485,0.01,0.145,0,0,0,0.005,0,0.105,0.04,0,0,0.005,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0
230,2852,0.128712871287129,0,0.564356435643564,0.0148514851485149,0.128712871287129,0.0099009900990099,0,0.00495049504950495,0,0.00495049504950495,0.118811881188119,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0.0099009900990099,0,0.00495049504950495,0,0,0,0,0,0,0
240,2977,0.305,0,0.34,0,0.195,0,0,0,0.005,0,0.105,0.04,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3102,0.105,0,0.555,0.015,0.09,0.01,0,0,0.01,0,0.175,0.03,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
260,3227,0.174129353233831,0,0.427860696517413,0.0099502487562189,0.129353233830846,0,0,0,0,0,0.18407960199005,0.0447761194029851,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0.00497512437810945,0,0,0,0,0.00497512437810945,0.00497512437810945,0.00497512437810945,0,0,0,0,0
270,3353,0.065,0.005,0.63,0.01,0.08,0.005,0,0,0.005,0,0.155,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
280,3478,0.171428571428571,0,0.542857142857143,0.00476190476190476,0.10952380952381,0.0142857142857143,0,0,0.00476190476190476,0,0.10952380952381,0.0428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,3603,0.160194174757282,0,0.621359223300971,0.00970873786407767,0.0825242718446602,0.0194174757281553,0,0,0,0,0.0533980582524272,0.0388349514563107,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4144,0.18,0,0.5,0,0.21,0.005,0,0,0,0,0.025,0.07,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4684,0.145,0,0.505,0.005,0.2,0.01,0,0,0.01,0.005,0.03,0.075,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
320,5225,0.191304347826087,0,0.4,0,0.165217391304348,0.00434782608695652,0,0.00434782608695652,0.00869565217391304,0,0.0173913043478261,0.195652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0.00434782608695652,0,0,0,0,0.00434782608695652,0,0,0,0,0.00434782608695652,0,0,0,0,0,0,0
330,5765,0.13,0,0.42,0.005,0.235,0.025,0,0.005,0.035,0,0.015,0.115,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6306,0.115,0,0.43,0,0.195,0.045,0,0,0.01,0,0.02,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.005,0,0,0.01,0,0,0,0,0,0
350,6847,0.185,0,0.325,0,0.23,0.03,0,0.005,0.01,0,0,0.185,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0.01,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0
355,7117,0.11,0,0.53,0,0.16,0.005,0,0,0.02,0,0.015,0.135,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0.005,0,0.005,0.005,0,0,0,0,0,0,0,0,0
370,7928,0.0845771144278607,0,0.641791044776119,0,0.164179104477612,0.0298507462686567,0,0,0,0,0.00497512437810945,0.054726368159204,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0.00497512437810945,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0
380,8468,0.0895522388059701,0.00497512437810945,0.606965174129353,0,0.129353233830846,0.0099502487562189,0,0.00497512437810945,0,0,0.054726368159204,0.0845771144278607,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0.00497512437810945,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9009,0.045,0,0.695,0,0.145,0,0,0,0,0,0.02,0.075,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
400,9549,0.105,0,0.66,0,0.14,0.035,0,0,0,0,0.015,0.035,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,10090,0.035,0,0.725,0,0.1,0.015,0,0,0,0,0.04,0.06,0,0,0,0,0,0,0,0.005,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
420,10630,0.095,0,0.575,0,0.2,0.02,0,0,0,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,10930,0.025,0,0.765,0,0.13,0.005,0,0,0,0,0.02,0.045,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,11296,0.01,0,0.655,0,0.265,0.005,0,0,0,0,0,0.04,0.005,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
435,11662,0,0,0.765,0,0.195,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,12029,0.005,0,0.275,0,0.63,0.035,0,0,0,0,0.01,0.005,0.005,0,0,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
445,12395,0,0,0.19,0,0.62,0.03,0,0,0,0,0.005,0.07,0.005,0,0,0,0,0,0,0.015,0,0,0.005,0.015,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0
450,12761,0,0.0099502487562189,0.646766169154229,0.0248756218905473,0.0447761194029851,0.0199004975124378,0,0,0,0.00497512437810945,0.0348258706467662,0.0248756218905473,0.0199004975124378,0,0,0,0,0.00497512437810945,0,0.0796019900497512,0,0,0,0.0149253731343284,0,0.00497512437810945,0,0,0,0,0,0,0,0.0597014925373134,0,0.00497512437810945,0,0,0,0,0,0
455,NA,0,0.005,0.64,0.03,0.03,0.02,0,0,0,0,0.01,0.045,0.03,0,0,0,0,0.015,0,0.075,0,0,0,0.025,0,0.01,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0
460,NA,0,0.00497512437810945,0.741293532338308,0.0248756218905473,0.0248756218905473,0.00497512437810945,0,0,0,0.00497512437810945,0.00497512437810945,0.0746268656716418,0.0149253731343284,0,0,0,0,0,0,0.0646766169154229,0,0,0,0.00497512437810945,0,0.0199004975124378,0,0,0,0,0,0,0,0,0,0,0,0.0099502487562189,0,0,0,0
465,NA,0,0,0.770408163265306,0.0102040816326531,0.0204081632653061,0,0,0,0,0.0102040816326531,0.00510204081632653,0.0204081632653061,0.0357142857142857,0,0,0,0,0.00510204081632653,0,0.0714285714285714,0,0,0,0.0102040816326531,0,0.00510204081632653,0,0,0,0,0,0,0,0.0204081632653061,0,0.0102040816326531,0,0,0.00510204081632653,0,0,0
470,NA,0,0,0.755,0.03,0.035,0.025,0,0,0,0.005,0.015,0.03,0.005,0,0,0,0,0,0,0.045,0,0.005,0,0.01,0,0.035,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
475,NA,0,0.0150753768844221,0.437185929648241,0.0603015075376884,0.0251256281407035,0.0201005025125628,0,0,0,0.0150753768844221,0.0402010050251256,0.0954773869346734,0.0351758793969849,0,0,0,0,0,0,0.14572864321608,0,0,0.0050251256281407,0,0,0.0954773869346734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0.0050251256281407,0
480,NA,0,0.0561224489795918,0.219387755102041,0.188775510204082,0.0510204081632653,0.0153061224489796,0.00510204081632653,0,0.00510204081632653,0.0204081632653061,0.0459183673469388,0.11734693877551,0.0510204081632653,0,0,0,0,0,0,0.127551020408163,0,0.00510204081632653,0.00510204081632653,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0.00510204081632653,0,0,0,0,0.0102040816326531,0
485,NA,0,0.045,0.185,0.46,0.005,0.02,0,0,0,0.025,0.035,0.075,0.055,0,0,0,0,0.015,0,0.04,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
490,NA,0,0.176767676767677,0.0303030303030303,0.429292929292929,0.0505050505050505,0,0.0252525252525253,0,0,0.00505050505050505,0.0505050505050505,0.106060606060606,0.0707070707070707,0,0,0,0,0,0,0.0404040404040404,0,0,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505050505050505,0.00505050505050505,0,0
495,NA,0,0.201005025125628,0.050251256281407,0.341708542713568,0.0301507537688442,0,0.0100502512562814,0.0100502512562814,0,0.0050251256281407,0.050251256281407,0.115577889447236,0.050251256281407,0,0,0,0,0.0100502512562814,0.0050251256281407,0.0603015075376884,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552763819095477,0,0
500,NA,0.00289017341040462,0.0491329479768786,0.0346820809248555,0.315028901734104,0.0260115606936416,0.00578034682080925,0.00578034682080925,0,0,0.00867052023121387,0.0115606936416185,0.0520231213872832,0.0173410404624277,0,0,0.00289017341040462,0,0,0,0.00867052023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578034682080925,0.0260115606936416,0,0.427745664739884
