"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Populus","Epilobium","Fagus","Ulmus","Abies","Platanus","Rubiaceae","Ostrya","Corylus","Rosaceae.undiff.","Plantago","Ephedra","Acer","Polygonum.viviparum","Rubus.chamaemorus","Fraxinus","Juglans","Carya","Oxyria.digyna","Shepherdia.canadensis","Brassicaceae"
0,58,839,3,110,3,30,4,5,549,14,1,3,2,3,3,6,6,88,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230,619,14,103,6,23,5,1,314,20,0,4,2,3,2,4,11,98,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,397,648,9,104,5,24,3,1,350,16,2,7,0,3,3,4,5,98,1,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,558,686,2,98,7,28,2,1,405,13,2,3,1,3,2,2,4,100,2,1,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,714,594,5,81,3,17,6,3,382,10,1,3,0,1,1,1,1,69,0,1,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,866,601,4,62,10,17,8,0,369,13,3,13,1,2,0,1,3,80,1,0,10,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6,1012,560,3,71,8,22,5,0,347,19,0,4,0,0,0,1,1,70,1,2,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1154,638,4,85,11,25,2,4,388,9,1,11,0,1,0,1,3,82,3,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1291,554,6,67,3,16,7,2,357,10,1,6,3,7,3,0,0,60,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9,1423,597,3,51,8,18,3,3,400,13,0,5,1,0,1,1,2,78,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
10,1551,624,4,58,3,6,1,1,455,9,1,10,0,2,1,1,0,64,1,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1794,668,5,67,3,22,3,1,480,5,0,2,0,0,2,3,1,67,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020,586,5,45,8,9,5,0,442,3,0,3,1,0,1,3,0,54,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2127,717,2,54,0,3,2,1,579,5,0,17,0,1,0,0,1,49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2424,579,1,45,6,8,1,1,430,3,1,5,1,1,2,2,0,66,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,2604,2127,15,230,2,1,12,13,1249,22,3,11,1,7,2,23,5,500,8,0,13,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0
25,2996,562,5,60,3,5,3,0,377,6,1,6,1,1,0,9,1,76,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3313,577,4,37,1,3,6,1,432,5,0,2,0,1,2,2,0,70,2,0,3,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
33,3473,505,0,50,8,4,2,3,347,7,3,2,0,0,1,8,0,68,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3773,796,5,72,18,7,5,2,496,11,1,6,0,1,1,10,3,145,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
45,3939,809,6,71,14,3,5,0,553,3,0,4,0,0,1,16,0,125,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4078,655,4,53,2,1,1,1,429,1,0,2,1,1,3,9,4,132,3,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
