"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Pinus","Populus","Fraxinus.undiff.","Salix","Alnus","Poaceae","Acer.saccharum","Fraxinus.nigra","Artemisia","Platanus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.americana.type","Asteraceae.subf..Cichorioideae","Thalictrum","Apiaceae","Ambrosia","Sanguisorba","Urtica","Amaranthaceae.undiff.","Cupressaceae","Shepherdia.canadensis","Arceuthobium","Carya","Caryophyllaceae","Rosaceae.undiff.","Dryas","Celtis","Sarcobatus.vermiculatus","Iva.annua"
102,10235,200,12,17,5,1,1,3,2,11,10,4,3,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10566,201,6,18,4,0,0,2,3,4,19,6,2,128,0,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,10830,204,13,15,5,0,0,8,1,13,10,4,1,124,0,3,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,10953,202,2,20,5,0,0,6,0,53,9,1,6,86,0,2,1,3,0,0,2,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,11362,200,3,11,5,0,0,7,1,75,8,1,1,75,0,0,1,4,2,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,12056,202,3,22,11,1,0,1,0,67,3,1,6,70,0,1,2,1,6,0,1,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
160,12750,200,9,18,12,0,0,1,1,58,8,7,3,73,0,0,0,1,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,13204,200,2,8,12,1,0,3,0,64,2,0,2,80,0,0,1,3,6,1,0,2,6,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,13388,203,1,4,13,1,0,0,0,103,8,7,0,50,1,3,0,0,6,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,13572,201,1,6,14,1,0,1,3,88,9,2,3,52,0,1,0,0,9,1,1,3,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
200,13755,203,3,5,28,0,1,0,7,82,13,2,0,30,0,3,0,4,13,0,3,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,13838,202,0,7,16,1,0,0,12,70,12,0,8,44,1,2,2,3,8,5,2,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,13920,205,3,11,16,0,0,1,13,85,16,2,1,29,0,4,0,2,5,0,1,4,0,4,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
230,14003,202,2,5,17,0,0,0,9,89,14,0,7,30,0,2,1,1,9,0,2,7,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0
240,14085,204,1,2,16,0,0,0,9,93,12,1,2,32,0,4,3,0,9,0,2,3,0,8,2,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
250,14167,207,1,4,11,1,0,0,11,106,9,0,4,28,0,7,0,0,5,0,3,2,0,2,4,0,0,0,4,0,0,1,0,1,0,1,2,0,0,0,0,0
260,14250,201,3,4,13,0,0,0,9,118,9,0,2,22,0,1,0,1,6,0,1,3,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
270,14332,202,0,4,17,1,0,0,17,101,18,0,3,21,0,3,0,1,3,1,3,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
280,14414,202,3,4,10,0,0,0,2,132,12,0,2,18,0,2,0,0,3,1,1,8,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
290,NA,201,1,2,13,0,0,0,16,116,14,0,3,17,0,1,0,1,2,0,0,7,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,NA,202,3,6,12,1,0,0,6,126,13,1,1,14,0,2,0,0,6,0,2,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
310,NA,206,0,2,20,0,0,0,10,108,10,0,2,14,0,5,0,1,6,0,4,13,0,2,1,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,1,0
320,NA,201,0,3,18,0,1,0,14,105,24,0,0,8,0,1,1,3,9,0,0,3,1,3,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1
330,NA,207,1,4,15,0,0,0,18,101,10,0,2,25,0,8,0,1,4,0,8,4,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
