"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Epilobium","Galium","Iva.annua.type","Plantago","Poaceae","Ranunculus","Rosaceae","Rumex","Thalictrum","Xanthium"
14,200,676,0,0,8,2,24,9,3,0,0,0,0,1,2,1,0,2,0,7,7,3,60,0,0,37,2,0,15,5,16,1,103,1,3,9,2,2,0,31,269,0,0,0,9,39,2,0,1,0,0
16,232,425,0,0,28,3,18,7,0,0,1,0,0,6,3,2,0,5,0,0,5,4,61,0,0,32,0,0,13,11,4,1,85,1,1,6,0,1,0,5,35,0,0,0,6,71,8,0,2,0,0
18,263,399,0,0,19,1,4,2,6,0,1,0,0,3,1,5,0,1,0,2,7,7,77,1,0,30,0,0,12,17,5,0,82,0,0,7,1,2,0,4,35,0,0,0,5,58,2,1,1,0,0
20,293,407,0,0,16,2,15,6,2,0,0,0,0,1,1,1,0,5,1,2,3,2,73,0,0,32,0,0,19,14,7,0,102,0,0,12,5,2,0,6,18,0,0,0,10,46,1,1,1,0,1
22,322,386,0,0,30,1,3,1,4,0,0,0,0,6,0,0,0,0,0,2,2,3,75,0,0,24,2,0,23,23,4,0,101,0,4,6,3,2,0,3,27,0,0,0,2,33,2,0,0,0,0
24,349,272,0,0,30,0,4,6,0,0,0,0,0,5,0,2,0,0,0,3,1,3,79,0,0,19,1,0,17,27,4,0,42,0,0,5,2,0,0,2,10,0,0,0,0,10,0,0,0,0,0
26,375,447,0,0,28,0,4,7,2,0,1,0,0,0,0,1,0,0,0,2,3,3,70,0,0,20,0,0,15,36,8,0,79,1,1,6,1,2,0,1,101,0,0,0,2,49,1,0,3,0,0
28,398,235,0,0,31,1,3,3,1,0,1,0,0,7,2,3,0,0,0,0,1,3,91,1,0,20,0,0,7,23,3,0,16,0,0,4,0,0,0,0,6,0,0,0,1,6,1,0,0,0,0
30,420,266,0,0,40,0,4,3,1,0,0,0,0,3,1,1,0,1,0,2,0,1,86,1,0,17,0,0,18,17,4,2,18,0,3,3,0,1,0,2,24,0,0,0,1,12,0,0,0,0,0
32,440,253,0,0,29,1,6,1,3,0,0,0,0,3,0,3,0,0,0,0,3,4,81,0,0,21,0,0,21,17,8,0,17,0,1,7,0,0,0,3,13,0,0,0,0,10,0,0,1,0,0
34,459,250,1,0,30,0,5,6,0,0,0,0,0,3,0,1,0,2,0,3,1,6,86,0,0,13,0,0,16,26,1,0,14,1,1,7,5,0,0,1,9,0,0,0,3,9,0,0,0,0,0
36,476,229,0,0,44,1,4,4,1,0,0,0,0,10,1,0,1,2,0,0,3,3,77,0,0,15,0,0,16,13,7,0,3,0,0,3,0,0,0,2,12,0,0,0,0,7,0,0,0,0,0
38,492,216,0,0,53,3,1,6,2,0,2,0,0,5,1,5,0,0,0,0,1,5,68,0,0,7,0,0,16,15,13,0,4,1,3,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
