"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Arceuthobium","Betula..small.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum"
12,982,273,4,1,15,0,0,82,0,0,0,0,1,1,3,4,1,0,0,66,0,18,0,2,5,0,0,0,5,0,3,4,0,0,7,0,0,0,15,32,4,0,0
14,1153,290,6,1,10,0,0,102,0,0,0,3,3,0,0,3,0,0,0,94,1,20,0,0,1,0,0,0,13,1,4,4,0,0,0,2,0,0,6,10,3,0,3
16,1324,333,10,4,15,0,0,166,1,1,0,0,5,0,0,2,0,0,0,38,1,50,1,1,4,0,0,0,16,1,0,2,0,0,0,1,0,0,5,0,9,0,0
17,1410,314,6,4,19,0,0,164,0,0,0,1,4,2,0,2,1,0,1,60,0,24,0,0,2,0,0,0,4,0,2,1,2,0,0,0,0,0,4,2,9,0,0
18,1496,345,0,0,3,0,0,266,0,0,0,1,2,1,0,1,0,0,0,37,0,14,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,5,0,0
19,1581,320,8,2,13,0,0,168,0,0,0,0,0,0,2,4,0,0,0,49,0,20,1,0,0,0,0,0,12,1,3,1,1,1,5,0,0,0,7,17,3,2,0
20,1667,254,4,5,12,0,0,122,0,0,0,1,0,0,1,0,2,0,2,57,0,12,0,0,4,0,2,0,6,1,0,1,0,0,4,0,0,0,6,9,3,0,0
21,1753,146,5,0,3,0,0,74,0,0,1,0,2,0,0,0,0,0,0,34,0,16,0,2,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0
22,1838,119,6,1,9,0,0,57,0,0,0,0,1,0,0,1,0,0,0,22,0,11,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0
23,1924,194,2,2,12,0,0,100,0,0,0,0,2,0,0,0,0,0,0,42,0,8,3,0,3,0,0,0,5,1,3,0,0,0,0,0,0,0,6,5,0,0,0
25,2095,348,6,2,26,2,0,126,0,0,1,0,4,1,0,12,0,0,0,93,0,20,12,1,3,0,0,0,16,1,12,1,1,0,1,0,0,0,0,3,4,0,0
27,2267,349,10,4,25,2,0,160,0,0,0,0,1,1,1,7,0,0,3,78,0,16,0,0,9,0,1,1,14,0,5,0,0,0,0,0,0,0,0,0,6,0,5
28,2352,415,6,3,26,0,0,195,0,0,2,0,6,0,1,11,0,0,0,80,1,34,2,0,2,0,0,1,17,2,9,3,0,0,4,0,0,0,2,1,6,0,1
30,2524,377,8,13,30,0,0,204,0,1,0,0,1,1,2,4,1,0,5,52,0,24,0,0,3,0,1,0,14,0,4,0,0,0,3,0,0,0,0,2,4,0,0
32,2695,335,4,4,51,0,0,166,0,0,2,0,2,0,3,2,0,0,0,34,1,20,0,0,5,0,0,0,22,0,7,0,0,0,2,1,0,0,0,0,6,0,3
34,2866,383,8,5,19,1,0,191,0,0,0,0,2,1,0,7,0,0,7,73,0,24,0,0,14,0,0,0,20,0,2,1,0,0,1,0,0,0,1,0,5,0,1
36,3037,326,6,5,9,0,0,169,0,0,1,0,4,0,0,0,0,0,0,63,0,15,6,0,2,0,0,0,24,0,2,0,0,0,1,1,0,0,1,0,14,0,3
37,3123,441,5,19,13,0,0,172,0,0,0,0,4,1,0,1,2,0,1,71,0,62,4,0,10,0,0,0,16,1,0,0,0,0,1,0,0,0,1,0,52,0,5
38,3209,412,2,11,10,0,0,259,0,0,0,0,9,1,2,1,0,0,0,35,1,51,1,0,6,0,0,0,12,1,0,1,0,0,2,0,0,0,0,0,7,0,0
40.5,3423,383,16,13,8,0,0,141,0,0,1,0,4,1,1,9,0,0,0,34,0,81,10,0,10,0,0,0,33,1,0,2,0,0,1,0,0,0,6,2,9,0,0
42,3551,356,15,9,5,2,0,152,0,0,3,0,7,4,1,1,0,0,0,31,0,86,2,1,10,0,0,0,15,1,0,1,0,0,1,1,0,0,1,0,7,0,0
44,3674,310,10,11,3,0,0,164,0,0,0,0,5,4,0,1,2,0,1,29,0,46,1,0,11,0,0,0,11,1,1,1,0,0,0,0,0,0,0,0,8,0,0
47,3847,509,18,8,3,0,0,229,0,0,0,0,5,6,2,0,0,0,0,68,1,98,1,4,23,0,0,0,20,0,1,1,0,0,1,0,0,0,1,1,17,0,1
48,3904,294,15,6,2,1,0,130,0,1,0,0,4,5,3,2,0,0,0,46,3,48,2,0,6,0,0,0,7,1,0,0,0,0,0,0,0,0,8,0,3,0,1
50,4020,350,10,12,3,3,0,123,0,0,3,0,4,0,0,0,0,0,1,72,0,94,1,2,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,5,0,0
52,4206,335,2,11,8,0,0,150,0,0,0,0,0,5,0,1,4,0,0,36,0,82,0,0,6,0,0,0,16,0,0,0,0,0,4,1,0,0,0,0,9,0,0
53,4320,383,6,9,10,0,0,111,0,0,0,0,3,2,0,2,0,0,0,28,5,142,12,0,7,1,0,0,34,0,0,2,0,0,5,0,0,0,1,0,3,0,0
54,4434,315,11,4,14,0,0,65,0,0,0,0,1,3,0,1,0,1,0,20,3,128,26,0,6,0,0,0,27,2,0,1,0,0,0,0,0,0,0,0,2,0,0
55,4806,406,4,7,7,0,0,86,0,0,0,0,0,2,0,0,21,0,0,20,0,171,2,0,8,0,0,0,61,1,0,1,0,1,3,0,0,0,1,0,10,0,0
56,5177,324,3,7,8,0,0,57,0,0,0,0,0,0,0,0,1,0,0,6,0,144,30,0,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,4,0,0
58,5920,345,3,4,15,0,0,97,0,0,1,0,0,1,0,0,1,0,0,2,4,156,22,0,7,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,2,0,0
60,6663,580,12,22,51,0,0,143,0,0,0,0,1,8,0,1,0,0,1,5,4,231,13,3,29,2,0,0,17,1,0,1,0,1,8,0,1,0,3,11,10,0,1
62,7406,435,1,7,64,18,4,107,0,0,0,0,1,3,1,15,0,0,0,4,5,138,6,0,5,25,0,0,13,1,0,2,0,0,1,0,0,0,4,0,8,0,2
64,NA,421,0,7,33,3,3,78,0,0,0,0,0,3,1,0,2,0,0,4,4,214,17,0,12,13,0,0,19,0,0,0,0,0,0,0,0,0,2,0,5,0,1
65,NA,505,2,14,51,0,0,91,0,1,0,0,0,7,0,5,0,1,2,28,1,251,0,0,18,6,0,0,15,0,0,3,0,1,1,1,0,1,1,1,3,0,0
