"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Larix","Ledum.Chamaedaphne.calyculata","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Amaranthaceae","Abies.balsamea","Acer.saccharinum","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rhododendron.canadense","Rumex.acetosa.type","Tsuga.canadensis","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Kalmia","Acer.saccharum","Carya.ovata","Rubiaceae","Acer.rubrum","Caprifoliaceae.undiff.","Fraxinus.americana.type","Viburnum.nudum","Rumex.type.undiff.","Caryophyllaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Rosaceae.undiff.","Ilex.Nemopanthus","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Platanus.occidentalis","Castanea.dentata","Cornus.canadensis","Elymus.type","Pyrola","Rhamnus.alnifolia.R..frangula","Apiaceae","Prunus.virginiana","Juncaceae","Shepherdia.canadensis","Morus.rubra.type"
20,265,591,4,1,19,3,68,2,51,4,1,9,6,4,12,145,1,10,1,3,3,2,2,7,2,11,14,3,90,2,3,85,1,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,531,558,3,0,1,1,92,6,35,10,4,0,6,0,10,176,0,7,3,2,1,3,1,3,1,1,8,17,42,0,0,109,0,0,5,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,967,782,5,3,1,0,121,7,68,21,3,1,21,1,18,165,2,24,1,5,1,3,1,16,0,1,13,5,52,0,0,189,0,1,7,4,0,13,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1574,664,3,0,1,0,74,3,32,7,4,5,37,0,9,162,0,18,2,4,0,6,0,9,5,3,14,4,81,0,0,155,0,3,5,0,1,8,0,1,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2181,789,5,0,0,0,61,0,48,0,4,3,67,0,12,173,0,10,1,3,0,6,0,7,10,0,7,1,117,0,0,230,0,0,6,2,0,1,0,0,0,0,1,0,1,0,1,0,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2789,609,5,0,2,0,85,1,52,18,5,0,26,0,3,136,0,16,1,0,0,16,0,6,9,1,3,1,78,0,0,127,0,0,4,1,2,1,1,0,0,0,0,0,0,0,1,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3159,495,2,0,0,0,98,1,32,16,3,1,46,0,7,60,0,15,2,3,0,6,0,6,4,0,5,7,53,0,0,112,0,0,1,0,0,1,4,0,1,1,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3293,504,4,0,0,0,27,0,8,3,0,2,56,0,9,120,0,5,0,0,0,2,0,4,0,0,15,1,138,0,0,91,0,0,4,0,0,9,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3493,293,0,0,0,0,16,0,5,0,1,2,24,0,2,79,0,4,0,0,0,1,0,3,1,1,0,1,93,0,0,55,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3626,399,3,0,0,0,17,0,0,2,1,1,43,0,2,123,0,1,0,3,1,1,0,4,0,0,8,0,169,0,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
