"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Humulus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Zea.mays"
1,-26,0,5,3,2,33,0,3,0,29,0,0,1,0,0,0,0,5,1,2,0,0,10,2,1,0,1,10,0,4,0,0,0,1,1,5,3,41,1,0,16,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,7,1,10,0,0
10,13,0,2,3,0,34,0,0,0,28,0,1,5,0,0,0,0,1,2,5,0,0,5,2,0,0,0,8,0,0,0,0,0,1,2,9,1,46,2,0,11,4,0,5,23,0,0,3,0,0,0,0,0,0,0,3,8,0,7,1,0
20,57,1,3,2,2,27,1,1,0,32,0,0,1,0,0,0,0,0,1,2,0,0,6,1,1,0,0,11,0,0,0,1,0,0,1,5,1,59,0,0,9,0,0,0,26,0,1,3,0,0,0,0,1,0,0,1,9,2,2,2,0
30,100,0,4,4,1,30,0,1,0,30,0,0,6,0,0,1,0,9,2,1,0,0,3,3,1,0,0,9,0,0,0,1,0,0,1,5,1,43,0,0,13,2,1,0,20,0,1,3,0,0,0,0,0,0,0,2,8,0,6,2,0
40,144,0,4,2,1,35,0,0,0,27,0,0,2,0,0,0,0,1,3,4,0,0,6,1,1,0,0,13,0,3,0,0,0,0,0,4,2,56,0,0,8,0,0,7,19,0,0,2,0,0,0,0,0,0,0,1,12,0,10,0,0
50,187,0,6,1,0,40,0,2,0,28,0,0,1,0,0,0,0,0,1,2,0,0,4,0,1,0,0,6,0,0,0,1,0,0,1,2,1,50,0,0,11,0,0,0,24,0,1,0,0,0,0,0,1,0,0,0,11,1,14,1,1
60,231,0,4,5,1,34,0,2,1,22,0,0,1,0,0,0,0,5,2,1,0,0,5,2,2,0,0,6,0,0,0,1,0,1,0,6,2,47,0,2,8,2,0,1,21,0,3,3,0,0,0,0,0,0,0,2,10,0,7,0,0
70,274,0,5,5,1,13,0,0,0,23,0,1,4,0,0,0,0,6,0,3,0,0,11,0,1,0,0,11,0,1,0,0,0,1,1,7,3,48,0,0,15,0,0,2,26,0,1,0,0,0,0,0,0,0,0,2,11,0,16,1,0
80,317,0,7,0,0,12,0,0,0,30,0,0,2,0,0,0,0,13,0,0,0,0,8,3,2,0,0,7,0,0,0,5,0,1,2,8,2,42,0,1,18,0,0,2,27,0,3,1,0,0,0,0,0,0,0,5,7,0,4,0,0
90,361,0,4,0,0,1,0,0,0,26,0,0,1,0,0,0,0,4,0,3,0,0,9,2,0,0,0,10,0,1,0,3,0,0,1,7,4,51,0,0,3,3,0,0,43,0,0,0,0,0,0,0,0,0,0,2,19,0,13,1,0
