"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Platanus","Quercus","Tsuga","Pinus","Prunus.Sorbus","Acer.rubrum","Alnus.incana.type","Poaceae.undiff.","Ilex","Juglans.nigra","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer.saccharum.type","Artemisia","Castanea","Corylus","Nyssa","Plantago.lanceolata","Cornus","Myrica","Cerealia","Rhamnaceae.Vitaceae","Ericaceae","Salix","Tilia","Thalictrum","Alnus.viridis.type","Caprifoliaceae","Picea","Polygonum","Abies","Anacardiaceae","Onagraceae","Potentilla.type","Sanguisorba","Caryophyllaceae","Cupressaceae","Ranunculus"
20,0,0.00666666666666667,0.02,0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.0166666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.79,0.00333333333333333,0.126666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,88,0.0272727272727273,0.163636363636364,0.00909090909090909,0.0575757575757576,0,0,0.00606060606060606,0.00606060606060606,0,0,0.5,0.00909090909090909,0.163636363636364,0,0.0121212121212121,0.00303030303030303,0.0151515151515152,0.00303030303030303,0.00303030303030303,0.00303030303030303,0.00303030303030303,0.0121212121212121,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,177,0.0566666666666667,0.116666666666667,0.03,0.0233333333333333,0.00666666666666667,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0,0.406666666666667,0.02,0.15,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.0133333333333333,0.01,0.00666666666666667,0,0,0.01,0.00333333333333333,0.0133333333333333,0.01,0.03,0.00333333333333333,0.0466666666666667,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,265,0.0133779264214047,0.100334448160535,0.0334448160535117,0.0167224080267559,0.0167224080267559,0,0,0.00334448160535117,0.0267558528428094,0.00334448160535117,0.391304347826087,0.0301003344481605,0.220735785953177,0.00334448160535117,0,0.0167224080267559,0.0100334448160535,0.00668896321070234,0,0,0,0.0100334448160535,0,0,0,0.0301003344481605,0,0.0635451505016722,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,722,0.00334448160535117,0.0568561872909699,0.0167224080267559,0.0100334448160535,0.0100334448160535,0,0.00334448160535117,0,0.0167224080267559,0.00334448160535117,0.421404682274247,0.0367892976588629,0.260869565217391,0.00334448160535117,0,0.00668896321070234,0.00668896321070234,0.00668896321070234,0,0,0,0.00334448160535117,0,0,0,0.0501672240802676,0,0.0635451505016722,0,0,0,0,0.00668896321070234,0.00668896321070234,0.00334448160535117,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2129,0,0.05,0.0233333333333333,0.0666666666666667,0.03,0,0,0.00333333333333333,0.02,0.00333333333333333,0.383333333333333,0.02,0.17,0,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0.0166666666666667,0,0,0,0.0833333333333333,0.00333333333333333,0.103333333333333,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2833,0.00689655172413793,0.0448275862068966,0.0241379310344828,0.0827586206896552,0.0172413793103448,0,0,0.00344827586206897,0.0137931034482759,0.00344827586206897,0.448275862068966,0.00344827586206897,0.206896551724138,0,0.00344827586206897,0.00344827586206897,0.00344827586206897,0,0,0,0,0,0,0,0.00344827586206897,0.0517241379310345,0.00344827586206897,0.0724137931034483,0,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0
60,3536,0,0.0436241610738255,0.023489932885906,0.10738255033557,0.0201342281879195,0,0.0100671140939597,0,0.0201342281879195,0.00335570469798658,0.37248322147651,0.00671140939597315,0.177852348993289,0,0,0.0100671140939597,0.0201342281879195,0.0335570469798658,0.00335570469798658,0,0.00335570469798658,0.00335570469798658,0,0.00335570469798658,0.00335570469798658,0.0906040268456376,0,0.0268456375838926,0,0,0.00335570469798658,0,0.00335570469798658,0.00335570469798658,0,0,0,0.00335570469798658,0.00335570469798658,0,0,0,0,0,0,0,0,0,0
65,4239,0.00172711571675302,0.0207253886010363,0.0103626943005181,0.0103626943005181,0.0172711571675302,0,0,0.00172711571675302,0.00345423143350604,0,0.22279792746114,0.00518134715025907,0.079447322970639,0,0,0.00172711571675302,0,0.487046632124352,0,0,0,0.00345423143350604,0,0,0.00345423143350604,0.0466321243523316,0,0.072538860103627,0,0,0.00172711571675302,0,0.00172711571675302,0.00345423143350604,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0
70,4943,0.00333333333333333,0.0166666666666667,0.00666666666666667,0.0566666666666667,0.0133333333333333,0,0.00333333333333333,0,0.0266666666666667,0.00333333333333333,0.386666666666667,0.0266666666666667,0.13,0,0.00333333333333333,0,0.0233333333333333,0.0533333333333333,0,0,0,0,0,0.01,0,0.106666666666667,0,0.113333333333333,0,0,0,0,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0
80,5624,0.00335570469798658,0.0302013422818792,0,0.0570469798657718,0.0134228187919463,0.00671140939597315,0.00671140939597315,0.00335570469798658,0.00671140939597315,0,0.308724832214765,0.0503355704697987,0.124161073825503,0,0.00335570469798658,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00335570469798658,0,0,0.0100671140939597,0.00335570469798658,0.00335570469798658,0,0.130872483221477,0.00335570469798658,0.184563758389262,0,0,0,0,0,0,0,0,0,0,0.00335570469798658,0.00335570469798658,0,0.00335570469798658,0.00671140939597315,0,0,0,0,0,0
90,6306,0.00664451827242525,0.0132890365448505,0.0132890365448505,0.0730897009966777,0.0199335548172757,0,0,0,0.00996677740863787,0,0.352159468438538,0.0598006644518272,0.0664451827242525,0,0.00332225913621262,0.00664451827242525,0.0398671096345515,0.0166112956810631,0,0,0,0.00332225913621262,0.00664451827242525,0.00664451827242525,0,0.0963455149501661,0.00332225913621262,0.186046511627907,0,0,0,0,0,0.00332225913621262,0,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0.00332225913621262,0,0,0,0,0,0,0,0
100,6988,0.00333333333333333,0.01,0.00666666666666667,0.08,0.0233333333333333,0,0,0.00333333333333333,0.00666666666666667,0,0.343333333333333,0.0533333333333333,0.0733333333333333,0,0.0133333333333333,0.00666666666666667,0.01,0.0133333333333333,0,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0.0966666666666667,0,0.233333333333333,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0
105,7328,0.00666666666666667,0.02,0.00666666666666667,0.0633333333333333,0.02,0.00333333333333333,0.00333333333333333,0,0.00666666666666667,0.00333333333333333,0.316666666666667,0.0733333333333333,0.0933333333333333,0,0.00333333333333333,0,0.03,0.02,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0.103333333333333,0.00333333333333333,0.183333333333333,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0,0,0
107.5,7951,0,0.0302013422818792,0.00335570469798658,0.0704697986577181,0.00671140939597315,0.00335570469798658,0,0,0.0100671140939597,0,0.0536912751677852,0.00671140939597315,0.375838926174497,0.00335570469798658,0,0,0.0268456375838926,0.00671140939597315,0,0,0.0167785234899329,0.00335570469798658,0.00335570469798658,0,0,0,0.0134228187919463,0.00335570469798658,0,0,0,0,0,0,0.0134228187919463,0,0,0.174496644295302,0.00335570469798658,0.0906040268456376,0,0.0369127516778524,0,0,0.0100671140939597,0.0335570469798658,0,0,0
