"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Apiaceae","Alnus","Acer","Fraxinus","Juglans","Populus","Poaceae","Urticaceae","Plantago","Rosaceae","Rhamnaceae.Vitaceae","Fabaceae.undiff.","Morus","Thalictrum","Caprifoliaceae","Iva","Herbs.undiff.","Rhus","Sarcobatus.vermiculatus","Larix","Abies","Castanea","Ilex","Liquidambar","Amorpha.type","Ephedra","Ericaceae","Cornus"
0.5,NA,0.296511627906977,0.00968992248062015,0.0310077519379845,0.00775193798449612,0.0193798449612403,0.00387596899224806,0.0251937984496124,0.00775193798449612,0.00581395348837209,0.0232558139534884,0.0213178294573643,0.00193798449612403,0.00968992248062015,0.00193798449612403,0.00968992248062015,0.0116279069767442,0.0387596899224806,0.00193798449612403,0.333333333333333,0.00387596899224806,0.00193798449612403,0.00193798449612403,0.00193798449612403,0.0251937984496124,0.00387596899224806,0.00968992248062015,0.00968992248062015,0.0135658914728682,0.00968992248062015,0.00193798449612403,0.0465116279069767,0.00193798449612403,0.00193798449612403,0.00193798449612403,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,0.304232804232804,0.00793650793650794,0.0291005291005291,0,0.0132275132275132,0,0.0198412698412698,0.00529100529100529,0,0.0158730158730159,0.0119047619047619,0,0.00661375661375661,0.00264550264550265,0.00529100529100529,0.0105820105820106,0.0357142857142857,0,0.363756613756614,0.00661375661375661,0.00132275132275132,0.00264550264550265,0.00132275132275132,0.0264550264550265,0.00132275132275132,0.00132275132275132,0.00661375661375661,0.0251322751322751,0.00396825396825397,0.00529100529100529,0.0714285714285714,0.00264550264550265,0,0.00132275132275132,0.00132275132275132,0.00264550264550265,0.00132275132275132,0.00132275132275132,0.00132275132275132,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0
9,NA,0.304857621440536,0.0033500837520938,0.0418760469011725,0,0.0150753768844221,0,0.016750418760469,0.0016750418760469,0.0033500837520938,0.0201005025125628,0.0234505862646566,0.0016750418760469,0.0083752093802345,0.0016750418760469,0.0050251256281407,0.0234505862646566,0.0485762144053601,0,0.306532663316583,0.0100502512562814,0.0016750418760469,0.0050251256281407,0.0016750418760469,0.0318257956448911,0,0.0134003350083752,0.0033500837520938,0.0100502512562814,0.0083752093802345,0.0033500837520938,0.067001675041876,0.0083752093802345,0,0.0016750418760469,0,0,0.0016750418760469,0,0,0,0.0033500837520938,0.0033500837520938,0,0,0,0,0,0,0,0,0,0
16,NA,0.196116504854369,0.0116504854368932,0.0310679611650485,0,0.0174757281553398,0,0.0155339805825243,0.0058252427184466,0.00388349514563107,0.0116504854368932,0.0252427184466019,0,0.00970873786407767,0.00194174757281553,0.0058252427184466,0.0407766990291262,0.0446601941747573,0.0058252427184466,0.407766990291262,0.00388349514563107,0.00194174757281553,0.00388349514563107,0.00388349514563107,0.0368932038834951,0,0.0116504854368932,0.00194174757281553,0.0155339805825243,0.00776699029126214,0,0.0640776699029126,0.00388349514563107,0.00194174757281553,0.00194174757281553,0,0,0,0,0,0.00388349514563107,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0
19.5,NA,0.1232,0.0192,0.0528,0.0016,0.0128,0,0.0064,0.0112,0,0.0032,0.0096,0,0.0096,0,0.0112,0.0288,0.0608,0.0064,0.488,0.0016,0.0112,0.0032,0.0112,0.0288,0,0.0064,0.008,0.0112,0.0032,0.0128,0.0448,0,0,0,0.0048,0.0016,0,0.0048,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0
22.5,NA,0.0610687022900763,0.0152671755725191,0.0362595419847328,0,0.0114503816793893,0.00381679389312977,0.00572519083969466,0.00954198473282443,0.00381679389312977,0.0324427480916031,0.0305343511450382,0,0.017175572519084,0.00190839694656489,0.00954198473282443,0.0629770992366412,0.0648854961832061,0.00954198473282443,0.494274809160305,0,0.00381679389312977,0,0.00190839694656489,0.017175572519084,0,0.0209923664122137,0.00190839694656489,0.0324427480916031,0.00190839694656489,0.0114503816793893,0.0209923664122137,0.00381679389312977,0,0.00190839694656489,0.00190839694656489,0.00190839694656489,0,0.00190839694656489,0,0,0.00190839694656489,0,0,0.00381679389312977,0,0,0,0,0,0,0,0
31,NA,0.0405293631100083,0.0124069478908189,0.0496277915632754,0.000827129859387924,0.0190239867659222,0,0.00744416873449132,0.0132340777502068,0.00248138957816377,0.0157154673283706,0.032258064516129,0.00661703887510339,0.0231596360628619,0.00248138957816377,0.0099255583126551,0.0479735318444996,0.076095947063689,0.00661703887510339,0.497105045492142,0,0.0033085194375517,0.00165425971877585,0.00496277915632754,0.0148883374689826,0,0.0165425971877585,0.0099255583126551,0.0314309346567411,0.0099255583126551,0.0148883374689826,0.0206782464846981,0.00165425971877585,0,0,0,0,0,0.00248138957816377,0,0,0.00248138957816377,0.000827129859387924,0,0.000827129859387924,0,0,0,0,0,0,0,0
39,NA,0.0622568093385214,0.00778210116731518,0.0466926070038911,0.00194552529182879,0.0194552529182879,0,0.0116731517509728,0.00972762645914397,0.00194552529182879,0.00389105058365759,0.0136186770428016,0.00194552529182879,0.0136186770428016,0.00194552529182879,0.0116731517509728,0.0389105058365759,0.0719844357976654,0.0175097276264591,0.507782101167315,0,0.0116731517509728,0.00194552529182879,0.0116731517509728,0.0214007782101167,0,0.0116731517509728,0.00778210116731518,0.0136186770428016,0.00972762645914397,0.0136186770428016,0.0350194552529183,0,0,0,0.00194552529182879,0,0,0.00194552529182879,0,0.00194552529182879,0,0,0.00194552529182879,0,0.00194552529182879,0.00194552529182879,0.00389105058365759,0.00194552529182879,0,0,0,0
46.5,NA,0.0564373897707231,0.0123456790123457,0.0511463844797178,0,0.0246913580246914,0,0,0.0123456790123457,0.00352733686067019,0.0194003527336861,0.0264550264550265,0.0017636684303351,0.0123456790123457,0,0.00705467372134039,0.0670194003527337,0.0617283950617284,0.00529100529100529,0.506172839506173,0,0.00705467372134039,0.0017636684303351,0.00705467372134039,0.017636684303351,0,0.0194003527336861,0.00352733686067019,0.0282186948853616,0.00705467372134039,0,0.0282186948853616,0.0017636684303351,0,0,0,0,0,0,0.0017636684303351,0.00529100529100529,0.0017636684303351,0,0,0.0017636684303351,0,0,0,0,0,0,0,0
54.5,NA,0.0152963671128107,0.017208413001912,0.0554493307839388,0,0.017208413001912,0,0.00382409177820268,0.00382409177820268,0.00191204588910134,0.011472275334608,0.0095602294455067,0.00573613766730402,0.011472275334608,0,0.00764818355640535,0.0535372848948375,0.0707456978967495,0.00764818355640535,0.579349904397706,0,0,0,0.00764818355640535,0.0152963671128107,0,0.0152963671128107,0.00573613766730402,0.0267686424474187,0.011472275334608,0.00382409177820268,0.0344168260038241,0,0,0,0.00573613766730402,0,0,0,0,0,0,0,0,0,0.00191204588910134,0,0,0,0,0,0,0
