"sample.depths","sample.ages","upland.sum","Myrica.Comptonia.peregrina","Pinus","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Picea","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Rosaceae","Rumex"
0,-33,255,1,76,3,9,6,85,0,0,4,0,0,2,0,0,0,0,5,5,1,0,11,0,1,35,1,0,3,2,0,1,0,0,4,0,0
13,39,290,0,101,1,11,7,64,0,0,7,0,0,2,0,0,0,0,6,0,0,0,12,1,2,58,5,1,5,1,2,3,0,0,1,0,0
14,44,351,0,122,3,13,3,80,0,0,5,0,0,1,0,0,0,0,4,2,2,1,20,0,0,75,8,0,2,3,1,1,3,0,2,0,0
15,50,312,0,120,1,12,5,76,0,0,6,0,2,1,0,0,0,0,2,2,1,0,12,0,1,57,2,0,6,1,0,3,0,0,2,0,0
16,55,343,0,129,1,14,7,92,0,0,1,0,1,4,0,0,0,0,8,6,2,2,19,1,0,46,5,1,1,1,0,1,0,1,0,0,0
17,61,327,0,134,1,7,6,82,0,0,5,0,0,1,0,0,0,0,2,4,0,0,20,1,2,51,3,0,0,3,0,3,1,0,1,0,0
18,66,387,0,140,0,16,6,93,0,0,13,0,0,1,0,2,0,0,3,0,1,1,32,0,1,65,4,0,3,3,1,1,0,0,1,0,0
19,72,348,0,132,3,15,10,69,0,0,6,0,0,4,0,0,0,0,2,2,2,4,34,1,1,45,6,0,2,7,2,1,0,0,0,0,0
21,83,326,0,144,3,8,4,83,0,0,4,0,0,2,0,0,2,0,5,5,1,0,6,0,0,42,6,0,3,2,2,2,1,0,1,0,0
22,88,301,0,143,2,5,9,68,0,0,5,0,0,1,0,1,0,0,6,5,0,1,13,0,0,32,2,0,1,4,0,1,0,0,2,0,0
27,116,210,0,65,0,3,11,71,0,0,0,0,0,4,0,0,0,0,4,0,0,0,11,0,0,25,3,0,0,5,1,1,2,0,4,0,0
34,154,219,0,96,0,4,4,52,0,0,7,0,0,0,0,0,0,0,7,2,0,0,17,0,1,20,4,0,2,0,0,1,1,0,1,0,0
39,182,360,0,240,2,5,2,55,0,0,2,0,0,2,0,0,0,0,6,4,0,1,20,2,1,9,4,0,1,0,1,1,0,0,2,0,0
53,259,341,0,159,0,6,12,84,0,0,17,0,0,3,0,0,1,0,6,5,1,1,18,0,1,16,5,0,1,3,1,0,1,0,0,0,0
67,336,283,0,121,0,4,3,74,0,0,7,0,1,4,0,0,1,0,7,4,0,2,25,0,0,13,5,0,0,4,1,2,1,0,3,0,1
102,528,272,0,175,1,2,0,46,0,0,5,0,0,1,0,0,0,0,2,1,0,0,16,0,0,18,3,0,0,1,0,1,0,0,0,0,0
105,545,389,0,174,0,11,10,102,1,1,23,0,0,3,0,0,1,0,2,0,1,1,17,1,0,22,3,0,3,5,0,1,3,0,4,0,0
110,572,360,0,168,1,4,5,93,0,0,10,0,0,3,0,0,1,0,1,4,1,1,24,0,0,31,7,0,1,3,0,0,1,0,1,0,0
115,600,312,0,190,1,8,3,1,0,0,25,0,1,4,0,0,0,0,2,8,1,5,22,1,0,24,5,0,4,1,1,1,1,0,3,0,0
120,627,419,1,192,1,12,7,88,0,0,45,0,0,1,0,0,3,0,3,4,0,3,18,0,0,23,5,0,3,2,0,0,7,0,1,0,0
125,655,391,0,177,0,6,10,96,0,0,23,0,0,4,0,0,0,0,6,6,1,3,16,1,0,25,8,0,2,4,0,2,1,0,0,0,0
130,682,378,0,204,2,8,13,75,0,2,11,0,2,6,0,0,0,1,8,0,1,1,25,1,0,6,2,0,2,2,2,0,4,0,0,0,0
132,693,343,0,196,1,3,8,63,0,1,8,0,0,1,0,0,0,0,4,3,0,0,26,0,1,16,4,0,2,3,2,1,0,0,0,0,0
142,748,335,0,166,2,4,7,87,0,0,6,0,0,1,0,0,3,0,0,1,0,3,26,0,0,15,6,0,0,3,1,0,3,0,1,0,0
148,781,280,1,145,2,4,12,57,0,0,14,0,2,2,0,1,0,0,3,4,1,0,8,1,1,12,1,0,5,0,0,1,2,0,1,0,0
150,792,292,0,148,1,8,6,71,0,0,6,0,0,3,0,0,1,0,3,2,0,2,17,1,1,13,5,0,1,0,0,0,1,0,2,0,0
154,814,319,0,102,1,8,12,81,1,0,10,0,1,4,0,0,0,0,7,1,1,0,30,0,0,47,7,0,2,2,0,1,1,0,0,0,0
168,891,368,0,156,0,13,8,64,0,0,37,0,1,1,0,1,0,0,3,4,0,7,26,1,1,33,6,0,0,2,1,1,1,0,0,1,0
182,968,329,0,138,3,7,15,91,0,0,5,0,1,3,0,0,0,0,4,2,0,0,18,1,1,30,4,0,4,1,0,0,0,0,1,0,0
190,1012,337,0,161,3,6,20,82,0,1,7,1,1,6,0,0,0,0,4,1,1,2,12,1,0,15,4,0,3,1,1,1,2,0,1,0,0
217,1161,351,0,150,2,10,8,101,0,0,5,0,0,2,0,1,1,0,1,1,1,1,21,1,1,36,4,0,1,0,0,2,0,0,1,0,0
220,1177,359,0,161,0,9,7,79,0,0,4,0,0,5,1,0,0,0,3,6,1,2,25,1,0,37,5,0,0,7,1,1,3,0,0,0,1
260,1397,302,0,145,0,5,5,71,0,0,13,0,0,3,0,0,0,0,3,0,1,1,18,1,1,30,1,0,0,2,0,0,1,0,1,0,0
319,1722,291,0,146,2,10,8,54,0,0,17,0,1,1,0,0,0,0,4,0,1,2,16,0,0,16,2,0,0,1,1,1,2,0,5,0,1
359,1942,252,0,110,1,10,8,42,0,0,8,0,0,5,0,0,0,0,7,2,1,1,28,1,0,16,5,0,2,2,1,0,0,0,2,0,0
399,2162,302,0,196,0,6,5,24,0,0,8,0,1,1,0,2,0,0,6,5,1,1,21,2,2,6,3,0,1,4,0,0,2,0,4,1,0
430,2333,424,1,247,8,11,10,47,0,0,9,0,1,4,0,1,1,0,8,4,0,1,45,1,0,12,3,0,0,3,0,1,4,0,2,0,0
440,2388,306,0,193,2,6,7,24,0,1,9,0,1,8,0,0,0,0,2,0,0,4,33,0,0,10,5,0,0,1,0,0,0,0,0,0,0
450,2443,334,2,179,4,6,10,52,0,1,15,0,0,3,0,1,0,0,0,3,0,1,33,1,1,9,4,0,2,4,1,0,0,0,0,2,0
455,2470,682,1,323,4,22,16,113,1,0,16,0,2,9,0,0,3,0,16,2,0,7,76,1,0,25,8,0,6,9,2,3,6,0,10,1,0
460,2498,642,0,311,1,10,17,86,0,1,13,0,0,15,0,1,3,0,13,2,1,1,54,2,0,75,10,0,5,7,1,4,2,0,7,0,0
470,2553,259,0,150,0,2,3,23,0,0,11,0,0,3,0,0,0,0,1,1,0,2,21,1,0,28,5,0,0,1,0,3,1,0,3,0,0
480,2608,555,0,294,0,9,25,68,0,0,13,0,0,6,0,0,1,0,16,0,0,5,49,0,0,33,12,0,6,5,2,3,5,0,1,2,0
500,2718,568,0,314,0,9,16,93,0,0,11,0,1,13,0,0,1,1,3,0,1,3,66,2,2,3,13,0,7,2,1,3,0,0,3,0,0
519,2822,375,0,246,1,3,4,38,0,0,0,0,0,8,0,0,1,0,14,0,0,6,32,1,0,0,6,0,4,1,0,4,2,0,3,1,0
549,3136,378,0,236,0,6,8,36,0,0,2,0,0,8,0,1,0,0,8,0,1,5,38,0,2,0,7,0,3,2,1,4,3,0,7,0,0
579,3455,497,0,346,1,5,4,59,0,0,9,0,0,10,0,2,1,2,6,0,0,4,18,1,0,0,14,0,2,3,2,3,2,0,3,0,0
615,3837,395,0,232,1,1,10,75,0,1,10,0,0,8,0,1,0,0,3,2,2,3,14,0,0,0,12,0,5,4,1,6,1,0,2,0,1
630,3996,533,1,377,0,3,19,69,0,0,4,0,0,4,0,0,0,0,7,2,0,1,5,3,0,0,12,0,9,7,1,4,2,0,2,1,0
650,4209,305,0,199,0,2,2,33,1,0,5,0,0,0,0,2,0,0,6,15,0,1,10,1,1,0,9,0,4,5,2,2,0,0,5,0,0
667,4390,299,0,162,6,0,17,46,0,0,11,0,0,3,0,0,2,0,2,4,0,0,10,0,0,2,10,0,3,7,1,1,2,0,4,6,0
670,4421,306,0,168,3,0,9,42,1,0,13,0,0,2,0,1,1,0,5,12,0,1,16,0,0,0,10,0,5,3,3,4,0,0,4,3,0
672,4443,256,0,152,2,1,12,42,0,0,6,0,0,3,0,0,0,0,5,7,0,1,4,2,1,0,2,0,5,5,3,2,0,0,1,0,0
675,4475,290,1,170,2,1,8,41,0,0,10,0,0,1,0,2,2,0,5,9,0,1,11,1,0,0,14,0,3,3,1,3,1,0,0,0,0
680,4528,291,0,163,2,0,7,40,2,0,7,0,0,3,0,0,0,0,6,14,0,3,13,4,0,0,9,0,3,6,3,3,1,0,0,2,0
682,4549,317,1,186,4,0,11,46,0,0,15,0,0,1,0,1,1,0,3,6,0,3,14,4,0,0,4,0,6,2,3,3,1,0,1,0,1
685,4581,259,0,152,4,1,3,31,0,1,10,0,0,1,0,0,0,0,2,14,2,5,8,2,0,1,5,0,4,3,2,2,1,0,3,2,0
712,4868,362,0,232,2,1,2,52,1,0,7,0,0,5,0,0,2,0,7,14,0,0,13,3,0,0,10,0,2,5,0,1,0,0,3,0,0
732,5080,293,2,174,1,0,1,25,1,0,5,0,0,4,0,2,1,0,10,20,0,2,12,0,0,2,16,0,0,5,1,3,2,0,4,0,0
738,5144,310,0,160,1,1,2,51,0,0,12,0,0,1,0,0,0,0,9,22,1,3,13,1,0,1,15,0,1,7,0,1,5,0,3,0,0
742,5186,356,0,227,0,1,2,41,0,1,3,0,0,3,0,0,3,0,6,11,4,5,21,2,0,0,14,0,2,5,0,3,0,0,1,1,0
743,5197,362,0,222,2,1,0,26,0,0,10,0,1,4,0,2,3,0,6,32,1,4,17,3,0,1,10,0,1,4,0,1,6,0,5,0,0
747,5240,245,0,156,3,0,4,18,2,0,1,0,0,3,0,0,0,0,8,18,0,1,11,4,0,0,6,0,1,1,1,1,1,0,4,1,0
748,5253,368,0,224,2,1,0,37,0,1,11,0,0,5,0,0,1,0,3,15,2,2,21,1,0,1,22,0,4,4,1,0,6,0,2,2,0
752,5322,246,0,155,1,0,1,22,2,0,4,0,0,2,0,1,0,0,5,18,0,2,7,0,0,0,15,0,5,2,1,0,1,0,2,0,0
