"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum"
5,89,0.00303951367781155,0,0.033434650455927,0,0.306990881458967,0,0,0.0212765957446809,0,0,0.00911854103343465,0,0,0.00303951367781155,0,0.0790273556231003,0.492401215805471,0,0.0121580547112462,0,0,0.0151975683890578,0,0.0060790273556231,0,0.00911854103343465,0,0.00303951367781155,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0,0,0,0
8,170,0.105454545454545,0.00363636363636364,0.109090909090909,0,0.309090909090909,0,0,0,0,0.0181818181818182,0,0,0.00363636363636364,0,0,0,0.312727272727273,0,0.0218181818181818,0.00727272727272727,0,0.00727272727272727,0,0,0,0.00727272727272727,0.00363636363636364,0,0.0618181818181818,0,0,0.00363636363636364,0,0.00363636363636364,0,0.0109090909090909,0.0109090909090909,0,0
10,224,0.0428134556574924,0,0.0305810397553517,0,0.385321100917431,0,0,0,0,0.0091743119266055,0,0.00611620795107034,0,0,0,0,0.36697247706422,0,0.0489296636085627,0.018348623853211,0,0.0214067278287462,0,0,0,0.0336391437308868,0.00305810397553517,0,0.0244648318042813,0,0,0,0,0,0,0,0.0091743119266055,0,0
13.5,318,0.0152905198776758,0.0122324159021407,0.140672782874618,0,0.333333333333333,0,0.00305810397553517,0.0152905198776758,0,0.0091743119266055,0,0.0091743119266055,0,0,0,0,0.269113149847095,0,0.0489296636085627,0.00611620795107034,0.0214067278287462,0.018348623853211,0.00305810397553517,0,0.00305810397553517,0.0214067278287462,0,0.00305810397553517,0.0519877675840979,0,0,0.00305810397553517,0.00305810397553517,0,0.00305810397553517,0.00305810397553517,0,0.00305810397553517,0
17,413,0.0421686746987952,0.00602409638554217,0.0240963855421687,0,0.343373493975904,0,0,0,0,0.0240963855421687,0,0.00301204819277108,0.0120481927710843,0.00602409638554217,0,0,0.36144578313253,0,0.0662650602409639,0.00903614457831325,0.00602409638554217,0.00602409638554217,0.0120481927710843,0.00301204819277108,0,0.0421686746987952,0,0.00602409638554217,0.00301204819277108,0,0,0.00301204819277108,0,0,0,0,0.0150602409638554,0.00602409638554217,0
20,494,0.00611620795107034,0.00305810397553517,0.055045871559633,0,0.403669724770642,0,0.00305810397553517,0.00611620795107034,0,0.0152905198776758,0,0,0.00611620795107034,0,0,0,0.385321100917431,0.00305810397553517,0.0489296636085627,0,0.00611620795107034,0.0122324159021407,0,0,0,0.0305810397553517,0,0,0,0,0,0,0,0,0,0,0.0152905198776758,0,0
25,639,0.021671826625387,0.00619195046439629,0.021671826625387,0,0.374613003095975,0,0.00309597523219814,0,0.00309597523219814,0.0247678018575851,0,0,0.00619195046439629,0,0,0,0.396284829721362,0.00309597523219814,0.0526315789473684,0.0123839009287926,0,0.0278637770897833,0,0,0,0.0402476780185759,0,0.00309597523219814,0,0,0,0,0,0,0,0,0.00309597523219814,0,0
30,843,0.0152284263959391,0.0101522842639594,0.0456852791878173,0,0.593908629441624,0,0,0,0,0.0152284263959391,0,0.0050761421319797,0,0,0,0.0101522842639594,0.142131979695431,0.0050761421319797,0.050761421319797,0,0.0050761421319797,0.0203045685279188,0,0,0,0.0203045685279188,0,0.0456852791878173,0,0,0,0,0,0,0.0050761421319797,0.0050761421319797,0.0050761421319797,0,0
35,1047,0.0365853658536585,0.00609756097560976,0.0182926829268293,0,0.61280487804878,0,0,0,0,0.0121951219512195,0.00609756097560976,0,0,0,0,0.00304878048780488,0.121951219512195,0,0.073170731707317,0.024390243902439,0.00914634146341463,0.00914634146341463,0,0,0,0.0182926829268293,0,0.0213414634146341,0.00304878048780488,0,0.00304878048780488,0.00304878048780488,0,0,0,0.00304878048780488,0.0152439024390244,0,0
40,1348,0.0350877192982456,0.0116959064327485,0.0087719298245614,0,0.616959064327485,0,0,0.0087719298245614,0.00584795321637427,0.0350877192982456,0,0.00292397660818713,0,0,0,0.00584795321637427,0.146198830409357,0.00292397660818713,0.0409356725146199,0.00584795321637427,0,0.0263157894736842,0,0,0,0.0233918128654971,0,0.0087719298245614,0.00292397660818713,0,0,0,0,0,0,0.00292397660818713,0.00584795321637427,0,0.00292397660818713
