"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.cf..A..incana","Alnus.cf..A..viridis","Ambrosia","Amorpha","Anemone.type","Apiaceae","Artemisia","Asteraceae.undiff.","Avena.type","Betula","Carya","Chenopodium.type","Corylus","Cyperaceae","Dalea.candida.type","Dryopteris.type","Equisetum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Humulus.type","Hypericum","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Larix","Lemna","Morus","Myrica","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Osmunda.claytoniana","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Pteridium.type","Quercus","Rhus","Rosaceae","Salix","Salsola","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Thuja.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum.lentago","Vitis","Xanthium","Zigadenus"
0,-29,0,3,0,0,0,5,1,10,0,0,0,5,5,1,11,0,4,0,8.5,0,0,0,0,1,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,8,8.5,21.8,6.7,63.5,0,3,0,1,1,0,30,0,0,3,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0
30,87,1,0,0,0,0,17,1,17.5,0,0,0,17,8,2,45,0,3,4,9,0,0,0,3,0,0,0,2,5,1,2,0,3,0,0,0,1,0,0,0,1,6,13,89,39.5,111,0,19,0,14,0,2,45,0,0,9,3,0,0,0,1,11,0,0,1,13,4,0,0,0,0,0
50,189,0.5,1,0,0,0,6,3,11,0,0,0,14,10,0,37,0,1,3,7,0,0,0,2,1,0,0,0,7,0,1,0,1.5,0,0,0,0,0,0,0,0,9,12,45,20.5,142.5,0,12,0,2,4,0,18,0,0,3,0,0,0,0,1,2,0,0,0,5,2,0,0,0,0,0
60,276,2.5,0,1,0,0,5,2,5,0,0,0,13.5,10,0,28,0,4,2,9.5,0,0,0,3,7,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,10,8,56.5,45.5,109,0,12,0,2,1,1,43.5,0,2,2.5,0,0,0,0,1,2,1,0,0,9,1,0,0,0,0,0
80,450,3.5,0,1,0,2,8,1,9,0,0,0,7.5,4,0,34,0,1,13,13,0,0,0,0,2,0,0,0,5,0,1,0,3,0,0,0,0,1,0,0,0,5,8.5,12,18,71,1,16,0,7,4,0,54.5,1,0,2,0,0,1,0,0,2,0,1,0,7,1,1,0,0,0,0
100,624,0,0,0,0,0,7,0,1,0,0,1,26,4,0,28,0,1,1,9,0,0,3,2,2,1,0,0,8,0,2,0,3,1,0,0,0,0,0,0,0,10,5.5,35.5,68.5,115,0,10,1,0,7,1,46,0,0,0,0,0,0,0,1,1,1,0,0,9,3,0,0,0,0,0
120,798,1.5,1,0,0,0,8,1,1,1,0,0,5,1,0,26,0,2,2,7,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,9,7.5,29.5,30.5,77.5,0,16,0,5,1,0,49,1,0,3,0,0,0,0,0,0,3,0,0,5,1,0,1,0,0,0
150,1059,1,1,0,0,1,11,2,5,0,0,0,9.5,13,0,26,0,2,6,16,1,1,1,5,0,0,0,0,12,0,0,0,4.5,0,0,0,1,0,0,0,0,10,10.5,34,59.5,75.5,0,20,1,3,1,1,55,0,1,0,0,0,0,0,2,1,0,0,0,8,1,0,0,1,0,0
200,1494,0,0,0,0,0,11,1,21,0,0,0,21,5,0,41,0,0,4,11,0,0,0,1,3,0,0,0,17.5,0,0,0,1,0,0,0,1,6,0,0,0,11,14,7.1,5.9,69,0,11,0,3,1,0,53.5,0,0,2,0,1,0,1,0,1,2,0,1,4,2,0,0,0,0,0
250,1929,0,1,0,1,0,21,2,13,2,0,0,34.5,10,0,60,0,2,14,11,0,0,0,5,5,0,0,0,16.5,1,1,0,2,0,0,0,1,1,0,0,0,26,8,5,30,63.5,0,29,0,8,3,0,78.5,0,1,3,0,0,0,0,0,3,1,0,1,9,2,0,0,0,0,0
300,2364,0,1,0,0,0,16,1,4,0,1,0,19,9,0,37,0,7,5,16.5,0,0,0,1,4,1,0,0,10,0,1,0,3,0,0,1,1,0,0,1,0,16,4,9.5,26.5,39,0,25,0,2,0,0,80,0,0,5,0,0,0,0,0,3,1,0,0,12,2.5,0,0,0,0,1
350,2799,0,0,0,1,2,13,2,12,0,0,0,24,9.5,0,65,0,4,5,9.5,0,0,0,1,2,0,1,0,19,0,1,0,2.5,0,0,0,1,0,0,0,0,24,3.5,3,4.5,15,0,26,0,4,0,0,64,0,0,2,0,0,1,0,0,1,2,0,0,12,1,1,0,0,1,0
400,NA,1,0,0,0,0,27,2,10,0,0,0,45.5,12,0,24,2,7.5,5,22,0,0,0,1,4,0,0,0,26,0,1,0,0,0,0,0,1,1,0,0,0,22,2,0.5,3,16,0,57,0,1,3,0,52.5,0,0,3,0,0,0,0,0,3,0,0,2,3,2,1,0,1,0,0
450,NA,0.5,0,0.5,0,0,16,0,16,0,0,0,32.5,9,0,16,0,6,1,16.5,0,0,1,2,0,0,0,0,8.5,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1.5,6.1,21,0,33.5,0,0,3,0,39.5,1,1,3,0,2,0,1,0,3,0,0,0,2,0,0,0,0,0,0
