"sample.depths","sample.ages","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Pinus","Plantago","Acer.saccharum","Ilex.Nemopanthus","Fraxinus.nigra","Fraxinus.americana","Salix","Tilia","Populus","Brassicaceae","Abies","Artemisia","Larix","Rumex","Celtis","Zea.mays","Asteraceae.subf..Cichorioideae","Platanus","Thalictrum","Castanea","Juglans.nigra","Humulus","Ericaceae","Sarcobatus.vermiculatus","Corylus","Shepherdia.canadensis","Iva.annua","Caryophyllaceae","Sanguisorba"
1,-26,0.14572864321608,0.0050251256281407,0.0100502512562814,0.0251256281407035,0.0050251256281407,0.050251256281407,0.0804020100502513,0.0201005025125628,0.0251256281407035,0.0150753768844221,0.0753768844221105,0.0351758793969849,0.0150753768844221,0.050251256281407,0.0150753768844221,0.165829145728643,0.0050251256281407,0.206030150753769,0.0050251256281407,0.0251256281407035,0.0050251256281407,0.0050251256281407,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,0.14,0.025,0,0.005,0.01,0.025,0.055,0,0.045,0.005,0.115,0.04,0,0.035,0.015,0.17,0,0.23,0.01,0.01,0,0,0.01,0.015,0.015,0.02,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,57,0.163265306122449,0.00510204081632653,0.0102040816326531,0,0.00510204081632653,0.0306122448979592,0.0459183673469388,0,0.0255102040816327,0.00510204081632653,0.13265306122449,0.0459183673469388,0.00510204081632653,0.0102040816326531,0.0102040816326531,0.137755102040816,0,0.301020408163265,0,0.0153061224489796,0,0.00510204081632653,0.00510204081632653,0.0153061224489796,0.00510204081632653,0,0,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100,0.15,0.03,0.005,0.045,0.01,0.015,0.065,0,0.025,0.005,0.1,0.04,0.005,0.03,0.02,0.15,0,0.215,0,0.02,0,0.005,0.015,0.015,0.01,0.01,0,0,0,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,144,0.135,0.01,0.005,0.005,0.015,0.03,0.04,0.015,0.02,0.01,0.095,0.06,0,0.05,0.01,0.175,0,0.28,0,0.02,0,0.005,0.005,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,187,0.14,0.005,0,0,0.005,0.02,0.055,0,0.01,0.005,0.12,0.055,0.01,0.07,0.005,0.2,0,0.25,0,0.03,0,0.005,0,0,0,0,0,0,0,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
60,231,0.11,0.005,0.005,0.025,0.01,0.025,0.04,0,0.03,0.01,0.105,0.05,0.01,0.035,0.025,0.17,0,0.235,0,0.02,0,0.01,0.01,0.015,0.01,0.01,0,0,0,0.005,0.015,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0
70,274,0.115,0.02,0.005,0.03,0,0.055,0.075,0.005,0.035,0.015,0.13,0.055,0,0.08,0.025,0.065,0,0.24,0,0.025,0,0.005,0,0,0.01,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,317,0.15,0.01,0,0.065,0,0.04,0.09,0,0.04,0.01,0.135,0.035,0,0.02,0,0.06,0,0.21,0,0.035,0,0.01,0.015,0.005,0.025,0,0,0,0,0.025,0.015,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
90,361,0.13265306122449,0.00510204081632653,0,0.0204081632653061,0,0.0459183673469388,0.0153061224489796,0.00510204081632653,0.0357142857142857,0.0204081632653061,0.219387755102041,0.096938775510204,0,0.0663265306122449,0,0.00510204081632653,0,0.260204081632653,0,0.0204081632653061,0,0,0.0102040816326531,0,0.0102040816326531,0.0153061224489796,0,0,0,0.0153061224489796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
