"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Ulmus","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Platanus.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ericaceae","Fraxinus.pennsylvanica.type","Populus.balsamifera.type","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Saxifraga.cernua.type","Poaceae","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Tilia","Juglans.cinerea","Pinus.resinosa.type","Polygonaceae","Acer.saccharinum","Corylus.cornuta","Salix","Ranunculaceae.undiff.","Thalictrum","Viburnum.lentago","Ostrya.Carpinus","Fabaceae","Carya.ovata","Cornus.rugosa","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Dryas","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Brassicaceae","Nemopanthus.mucronatus","Saxifragaceae.undiff."
4,118,0.00168918918918919,0.00168918918918919,0.00168918918918919,0.00844594594594595,0.00337837837837838,0.00337837837837838,0.557432432432432,0.00168918918918919,0.0456081081081081,0.00337837837837838,0.00506756756756757,0.0304054054054054,0.190878378378378,0.00168918918918919,0.00844594594594595,0.00506756756756757,0.00168918918918919,0.0152027027027027,0.00844594594594595,0.00168918918918919,0.00675675675675676,0.00506756756756757,0.0422297297297297,0.00168918918918919,0.00506756756756757,0.00844594594594595,0.0337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,708,0,0.00204081632653061,0.00408163265306122,0.0102040816326531,0.00408163265306122,0.00204081632653061,0.661224489795918,0,0.0306122448979592,0,0,0.036734693877551,0.108163265306122,0.00204081632653061,0.00612244897959184,0,0.00408163265306122,0.0102040816326531,0.00612244897959184,0,0.00204081632653061,0.00408163265306122,0.036734693877551,0,0.0183673469387755,0.00816326530612245,0.0244897959183673,0.00408163265306122,0.00204081632653061,0.00204081632653061,0.00204081632653061,0.00408163265306122,0.00204081632653061,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1298,0,0.00801603206412826,0,0.0160320641282565,0.0100200400801603,0.00200400801603206,0.617234468937876,0.00200400801603206,0.0380761523046092,0,0.00200400801603206,0.0180360721442886,0.158316633266533,0,0.0120240480961924,0,0.00801603206412826,0.0120240480961924,0.00601202404809619,0,0.00400801603206413,0.0140280561122244,0.0400801603206413,0,0,0.00200400801603206,0.0260521042084168,0,0,0,0.00200400801603206,0.00200400801603206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1888,0.0075187969924812,0.0025062656641604,0,0.0150375939849624,0.0075187969924812,0,0.654135338345865,0,0.0927318295739348,0.0075187969924812,0,0.0175438596491228,0.0551378446115288,0,0.0175438596491228,0,0,0.0175438596491228,0.0150375939849624,0,0.0050125313283208,0.0050125313283208,0.0300751879699248,0,0,0.0075187969924812,0.0225563909774436,0,0,0,0,0.0200501253132832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2478,0.00181159420289855,0.00181159420289855,0.00181159420289855,0.0072463768115942,0.00181159420289855,0,0.572463768115942,0.00181159420289855,0.0416666666666667,0.0036231884057971,0,0.016304347826087,0.155797101449275,0.00181159420289855,0.0108695652173913,0,0.0036231884057971,0.0144927536231884,0.0036231884057971,0.00181159420289855,0.0072463768115942,0.0144927536231884,0.0851449275362319,0,0.00181159420289855,0.0072463768115942,0.0271739130434783,0,0.00181159420289855,0,0,0.0108695652173913,0,0,0.00181159420289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3068,0.00242130750605327,0.00242130750605327,0,0.0145278450363196,0.00726392251815981,0.00968523002421308,0.627118644067797,0.00242130750605327,0.0314769975786925,0.00242130750605327,0,0.00968523002421308,0.11864406779661,0,0.0121065375302663,0,0.00484261501210654,0.00242130750605327,0.00242130750605327,0,0.00242130750605327,0,0.0799031476997579,0,0,0.00968523002421308,0.0169491525423729,0,0.00242130750605327,0,0,0.036319612590799,0,0,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3658,0.00186219739292365,0,0,0.0186219739292365,0.0037243947858473,0,0.74487895716946,0.00186219739292365,0.0111731843575419,0.00186219739292365,0,0.00931098696461825,0.0986964618249535,0,0.0130353817504655,0,0,0.0037243947858473,0.00558659217877095,0,0.0037243947858473,0.0074487895716946,0.0558659217877095,0,0,0.00186219739292365,0.0130353817504655,0,0,0,0,0.00186219739292365,0,0,0,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4247,0.00195694716242661,0,0.00195694716242661,0.0117416829745597,0.00587084148727984,0.00195694716242661,0.614481409001957,0.00587084148727984,0.00782778864970646,0.00195694716242661,0,0.0293542074363992,0.131115459882583,0,0.0176125244618395,0,0,0.0117416829745597,0.0156555772994129,0,0.00195694716242661,0.0156555772994129,0.086105675146771,0,0.00195694716242661,0.0156555772994129,0.0176125244618395,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4837,0,0.00184842883548983,0,0.0240295748613678,0.00369685767097967,0.00369685767097967,0.685767097966728,0.0055452865064695,0.011090573012939,0,0,0.00369685767097967,0.134935304990758,0,0.0147874306839187,0,0.00369685767097967,0.0055452865064695,0.0147874306839187,0,0.00739371534195933,0.00369685767097967,0.0480591497227357,0,0,0.00369685767097967,0.0129390018484288,0,0,0,0,0.0055452865064695,0,0,0.00369685767097967,0,0,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,5427,0.00635593220338983,0.00423728813559322,0.00211864406779661,0.0169491525423729,0.00635593220338983,0.00211864406779661,0.663135593220339,0.0127118644067797,0.00635593220338983,0.00211864406779661,0,0.00211864406779661,0.120762711864407,0,0.0275423728813559,0,0.0105932203389831,0.00423728813559322,0.0105932203389831,0,0,0.0148305084745763,0.0508474576271186,0,0.00211864406779661,0.00635593220338983,0.0105932203389831,0,0,0,0,0.00211864406779661,0,0,0.00635593220338983,0,0,0,0.00211864406779661,0.00635593220338983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
