"sample.depths","sample.ages","upland.sum","Acer.rubrum","Aquifoliaceae","Betula","Carya","Castanea","Cupressaceae","Fagus","Poaceae.undiff.","Larix","Liquidambar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Fraxinus","Juglans","Populus","Amaranthaceae","Viburnum","Acer.saccharum","Ailanthus","Acer.undiff.","Cyperaceae","Ericaceae","Morus","Nyssa","Plantago.lanceolata","Fabaceae","Cornus","Myrica","Zea","Brassicaceae.type","Caprifoliaceae.undiff.","Celtis","Corylus","Galium","Prunus.type","Apiaceae","Acer.negundo","Artemisia","Cephalanthus","Plantago.major","Sambucus","Thalictrum","Liliaceae","Tilia","Ranunculus","Rosaceae.undiff.","Rhamnus","Asteraceae.subf..Cichorioideae"
0.5,-34,766,20,4,144,12,14,16,14,26,2,2,8,2,26,6,38,4,276,10,2,26,2,2,2,26,40,28,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,-19,708,2,0,130,12,24,20,12,26,0,4,2,0,18,6,40,4,224,2,0,20,2,4,0,34,62,8,2,4,0,0,14,0,6,2,2,2,4,6,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,-8,830,12,2,130,10,26,10,16,18,0,0,8,2,22,18,60,0,252,20,2,38,6,8,0,28,82,12,4,6,2,0,4,0,2,2,0,0,2,2,0,0,10,0,0,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
11.5,6,818,12,2,112,18,40,12,18,18,0,0,8,6,16,6,68,2,226,20,0,36,6,6,0,38,82,14,10,6,0,0,4,0,0,2,0,2,0,0,0,2,4,0,2,0,0,0,0,0,2,6,2,2,2,2,2,2,0,0,0,0,0
13.5,14,946,6,0,102,14,34,4,22,50,0,6,18,8,20,8,46,2,318,28,2,36,2,12,0,50,82,12,8,0,2,2,8,0,0,4,2,2,2,4,0,0,10,6,4,0,2,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0
17.5,28,846,4,2,148,4,48,8,26,30,0,2,10,4,18,8,56,6,262,20,0,28,0,6,2,20,84,8,8,0,0,0,4,0,6,6,0,0,0,4,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0
19.5,36,796,4,0,110,16,16,4,18,24,0,4,22,4,48,16,76,2,206,14,0,44,2,16,2,30,76,10,2,0,0,0,8,0,4,2,6,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
23.5,50,870,8,2,90,14,72,12,22,34,0,0,0,12,52,22,58,0,226,18,0,46,2,4,0,26,76,12,2,0,2,0,14,0,0,2,2,0,0,4,0,0,4,0,12,0,2,10,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0
25.5,58,738,2,2,80,22,42,6,32,10,0,0,8,4,38,10,58,2,232,14,0,72,4,6,0,22,34,14,2,0,0,0,8,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
31.5,80,788,0,0,90,14,34,0,34,16,0,2,16,4,42,22,82,4,238,16,0,68,0,10,0,30,40,0,2,0,0,2,8,0,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,100,702,4,0,42,12,66,6,54,14,0,0,4,4,20,16,50,4,240,6,0,46,0,8,0,34,36,12,2,0,0,2,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
39,107,716,0,0,80,8,40,4,28,20,0,0,4,4,28,16,60,2,258,4,0,44,2,0,0,36,40,14,4,0,0,0,8,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
41,114,750,0,0,88,28,48,2,40,8,0,0,2,10,16,22,60,2,254,8,2,48,0,12,2,42,26,6,6,2,0,2,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
45,129,770,6,0,46,32,20,2,40,16,0,0,8,2,48,34,72,4,270,10,0,56,0,18,0,28,18,8,4,0,0,0,8,0,0,2,4,0,2,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
49,144,676,0,0,84,14,44,2,34,6,0,0,14,4,22,24,56,2,226,12,0,66,0,2,0,26,8,10,0,0,0,0,10,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
53,NA,664,2,0,70,16,36,8,18,0,0,0,8,12,34,36,44,4,274,2,0,48,0,6,0,20,4,0,2,2,0,0,2,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
59,NA,690,0,0,98,8,34,0,40,2,4,0,4,8,34,6,72,2,238,0,0,48,4,6,0,34,2,12,4,2,0,2,4,0,0,8,0,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
