"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Epilobium","Ericaceae","Larix","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Acer","Fagus","Ulmus","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Fabaceae","Polygonum.viviparum","Ranunculaceae.undiff.","Tsuga","Rosaceae.undiff.","Populus","Plantago","Potentilla","Castanea","Fraxinus","Cornus.canadensis","Abies","Carya","Ostrya.type","Platanus","Rubiaceae","Thalictrum","Shepherdia.canadensis"
0,-42,561.5,9,106,4,92,1,9,3,1,136,37,2,8.5,2,1,13,20,2,10,66,1,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,152,553,16,122,10,92,0,15,1,0,144,14,0,3,0,0,8,19,1,12,55,0,3,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,303,568.5,18,114,2,106,0,13,0,0,115,37,0,6.5,3,0,12,22,0,9,65,0,1,42,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,450,506.5,13,100,3,75,0,18,0,0,126.5,16,0,1,1,0,12,25,0,4,59,0,3,47,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,594,555,24,122,6,90,0,13,4,0,108.5,33,2,8.5,1,0,13,22,0,7,52,0,2,44,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,735,525.5,13,103,3,81,0,20,1,0,153,17,0,1.5,1,0,16,21,0,11,42,0,6,34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,872,510,16,92,5,67,0,9,0,0,182.5,16,0,3.5,1,0,4,11,1,6,65,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,1007,539.5,12,125,8,25,1,14,0,0,186,23,1,2.5,1,0,6,16,3,5,68,0,3,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,1073,680,17,136,10,74,0,9,2,0,223.5,45,2,8.5,1,0,10,17,3,6,66,0,6,33,0,0,1,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0
18.5,1267,519,7,91,4,73,1,10,1,0,165,16,0,2,1,0,12,27,0,4,58,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21.5,1454,516,11,110,4,75,1,12,2,0,151,13,0,2,1,0,11,24,3,2,60,0,1,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,1636,583.5,17,103,9,75,1,12,1,0,152.5,53,3,6,2,0,14,26,3,3,66,0,2,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,1870,522.5,11,92,9,71,0,11,0,0,175,18,0,3.5,0,0,12,14,1,3,58,0,1,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
32,2067,669.5,15,123,7,89,2,10,1,0,207.5,56,3,5,2,0,12,17,0,7,67,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36.5,2311,533,18,74,1,91,2,6,0,0,200.5,25,0,0.5,0,0,13,13,1,6,60,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40.5,2520,526.5,15,123,8,39,0,8,1,0,189,24,0,4.5,0,0,10,17,1,1,66,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.5,2723,520.5,6,91,7,68,0,9,0,0,217,7,0,1.5,1,0,8,17,0,1,58,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2895,677.5,9,140,16,76,0,11,0,0,215,25,3,4.5,2,0,7,23,2,9,99,0,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
52,3087,503.5,19,99,7,59,0,6,0,0,180.5,16,0,0,1,0,7,12,1,1,74,0,0,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3275,667,18,151,10,64,2,11,3,0,205,35,1,8,0,1,11,11,2,7,95,0,3,24,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
60,3459,531.5,18,88,11,57,0,7,1,0,201,16,0,0.5,0,0,5,8,0,7,94,0,1,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
64,3641,707.5,14,163,23,56,1,12,1,0,183.5,27,6,12,2,1,11,23,3,5,114,0,1,34,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,1,0,1,3,0,0,0,0
68,3820,584.5,11,110,3,57,0,7,0,0,158,21,0,0.5,0,0,8,8,0,1,172,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
72.5,4021,544.5,7,100,3,65,3,13,2,0,134.5,26,1,6,0,0,6,15,2,3,130,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
76,4177,508,11,98,4,41,0,6,0,0,146,34,0,3,3,0,2,12,0,1,124,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,4356,648.5,14,149,2,43,1,13,1,0,147,23,4,7.5,1,0,7,16,0,8,181,1,3,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
84,4536,543,9,108,1,32,2,13,0,0,129,21,0,2,1,0,8,11,2,2,174,0,1,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4718,578.5,6,133,4,29,0,13,1,0,141.5,27,1,5,1,2,10,10,1,2,166,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4903,546,8,131,4,46,0,10,0,0,91.5,10,0,1.5,1,0,7,7,1,2,199,0,1,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96.5,5115,616,12,123,6,52,0,5,1,0,93,26,0,6,3,3,11,10,0,3,228,0,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
100,5285,543.5,13,113,1,59,0,9,0,0,117.5,24,0,2,0,0,3,9,1,3,162,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5483,620,9,130,1,37,0,4,2,0,83,31,1,8,1,0,9,9,2,6,255,0,1,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
108,5688,547.5,13,128,1,50,0,16,1,0,96.5,20,0,4,0,0,4,4,0,2,187,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112.5,5927,598,8,162,7,43,0,6,0,0,85,16,0,8,0,0,9,9,0,3,218,0,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
116,6119,532,12,146,3,60,2,3,1,0,98,16,0,3,1,0,12,1,0,8,142,0,2,18,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,6347,622.5,13,173,4,46,2,12,1,0,97,30,4,4.5,2,1,12,5,1,2,181,0,4,23,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
124,6585,540,17,127,2,68,0,9,0,0,103,13,0,5,1,0,11,2,1,7,153,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
128,6832,526,24,108,2,104,0,7,1,0,108.5,5,0,2.5,2,0,17,0,0,7,111,0,2,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,7091,517,27,75,9,142,3,3,0,0,91,9,1,1,2,1,22,1,0,15,82,0,9,20,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
136,7361,523.5,23,76,2,162,0,2,1,0,70,15,0,2.5,1,0,17,3,0,21,71,0,13,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
138,7501,542.5,30,65,7,127,1,6,3,0,97,10,0,2.5,7,0,24,3,0,14,103,0,12,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,7644,525.5,25,83,2,83,1,3,0,0,108,28,1,3.5,3,1,16,2,0,27,91,0,10,31,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
142,7791,515,18,66,6,107,0,1,0,0,125.5,8,0,7.5,1,1,19,1,2,15,101,0,13,20,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
144,NA,515.5,21,58,2,72,0,6,0,0,118,34,1,7.5,4,0,24,3,0,23,88,0,17,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
146,NA,531.5,29,55,8,144,0,0,2,0,135,24,0,3.5,4,1,18,1,0,14,67,0,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
