"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Allium","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium","Avena.type","Avena.Triticum","Betula","Brassica","Brassicaceae.undiff.","Campanula.rotundifolia.type","Cannabaceae.undiff.","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Dryopteris.type","Elaeagnus","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Gaura","Gentiana.andrewsii.type","Humulus","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lemna","Liliaceae","Lycopus.type","Melilotus.type","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinaceae..vesiculate..undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum.amphibium","Polygonum.aviculare.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogeton","Prunus.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus.aquatilis.type","Ranunculus.pensylvanicus.type","Rhus","Rosaceae.undiff.","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphaeralcea","Sphagnum","Stuckenia","Thalictrum","Trifolium.repens.type","Triticum.type","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Utricularia","Vitis","Xanthium"
865,NA,0.5,7,0,0,0,0,2,0,3,36,11,0,0,0,0,67,16,0,0,0,0,4,2,1,2,0,0,0,0,0,1,5,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,10,0,0,0,0,0,3,0,0,0,0,0,0,2,0,20,0,15,0,0,74,0,0,2,0,3,1,0,0,9,0,0,0,0,6,4,16,0,7,25,2,0,7,1,0,0,0,0,0,0,2,0,1,4,0,0,2,0,0,0,1
872,NA,0,8.5,1,1,1,0,5,0,1,47,34.5,0,0,0,0,85,11,0,1,0,4,0,0,0,5.5,0,0,1,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0,6,0,2,7,0,0,0,0,1,5,1,20,0,0,0,0,0,0,0,0,0,1,0,0,5.5,0,0,1,56.5,1,0,73,0,0,0,0,0,2,0,0,7,0,0,0,0,5,1,4,0,11,38,1,3,7,0,0,2,0,0,0,0,8,4,3,6,0,0,5,0,0,0,2
880,NA,0,1,0,0,1,1,8,0,3,16,15,0,1,0,0,107,5,0,2,0,0,0,5,3,1,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,60,0,0,2,1,0,0,0,0,9,0,0,0,0,1,2,13,0,4,140.5,1,0,8,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0
888,NA,0,3,0,0,0,0,15,0,0,29,25,0,0,0,0,248.5,17,0,0,0,2,0,5,1,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,47.5,1,0,117,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,45,3,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
896,NA,0,1,0,0,0,0,3,1,6,36,10,0,0,2,0,254,16,0,0,0,0,0,9,0,1,1,0,0,0,1,2,7,39,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,16,4,42.5,0,0,151,0,0,0,0,4,2,0,0,7,0,3,0,0,4,0,32,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
907,NA,0,2,0,0,0,0,6,0,0,30,11,0,0,0,0,196,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,51.5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.5,0.5,2,0,28,0,0,127,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0
912,NA,0,1,0,0,0,0,7,0,1,27,8,0,0,0,0,151,13,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,59,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5.5,1,45.5,0,0,263,0,0,0,1,0,0,0,1,6,0,0,0,0,2,2,12.5,1,6,0,6,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,2,0,0,1,0
920,NA,0,2,0,0,0,0,2,0,0,22,15,0,0,0,0,195,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,0,54.5,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,41.5,0,0,120,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,2,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,3.5,2,2,0,0,0,0,0,0
928,NA,0,1,0,0,0,0,4,0,0,14,8,0,1,0,0,155.5,14.5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,45.5,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,46,0,0,95.5,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0
936,NA,0,2,0,0,0,0,2,2,3,9,8,0,0,2,0,196,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,36,0,0,89,0,0,0,1,2,0,0,0,5,1,0,0,0,1,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
944,NA,0,3,0,1,0,0,3,0,0,15,16,1,1,0,0,154.5,18,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,51.5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,45.5,1,0,127,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2
952,NA,0,2,0,0,0,0,7,0,0,12,14,0,0,0,0,95.5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,34,1,0,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
960,NA,0,2,0,0,0,0,8,0,0,22,23,0,1,0,0,256.5,41.5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,64,2,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,8,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,4,0,72.5,0,0,214,0,0,0,0,0,0,0,0,7,1,0,0,0,4,0,2,1,6,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0
968,NA,0,3,0,0,0,0,5,0,0,22,16,0,1,0,0,213.5,13,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,37,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,0,43.5,0,0,123,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3
976,NA,0,1,0,0,0,0,5,0,2,17,13,0,1,0,0,308,12,0,0,0,0,0,3,0,1,0,0,0,0,1,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,3,32,0,0,155,0,0,0,3,0,1,0,0,3,0,0,0,0,1,0,3,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0
984,NA,0,0,0,1,0,0,4,0,1,19,12,0,1,0,0,143,8,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,44,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.5,0.5,0,0,42,0,1,100,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
992,NA,0,0,0,0,0,0,3,0,0,11.5,6,0,0,0,0,206,17,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,57,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2,0,42.5,0,0,99,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
1008,NA,0,0,0,0,0,0,4,1,4,25,10,0,0,0,0,169,12,0,0,0,0,0,7,0,2,0,0,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.5,0,30,0,0,137,0,0,1,4,3,0,0,0,5,0,1,1,0,2,1,34,0,4,0,5,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,2
1024,NA,0,2,0,1,0,0,10,0,0,19.5,13,0,1,0,0,180.5,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,62.5,0,1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,1,3.5,0,0,0,68,0,0,136.5,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,2
1040,NA,0,1,0,0,0,0,1,1,0,14,12,0,0,0,0,144,12,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,33,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,6.5,5,30.5,0,0,117,0,0,2,1,3,0,0,0,5,0,0,0,0,1,0,2,0,7,0,4,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1
1056,NA,0,4,0,0,0,0,7,0,0,27,33,0,0,0,0,230.5,15,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,51,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5,0,2,1,72,0,1,151,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,1,6,0,5,0,0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,0,0,0,1
1072,NA,0,2,0,0,0,0,1,0,6,15,2,0,0,0,0,151,13,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,35.5,0,0,84,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,1,1,0,2,0,0,0,0
1088,NA,0,0,0,0,0,0,1,0,0,14,16,0,0,0,0,114.5,10,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,48,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,33,0,0,117,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2.5,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,2
1104,NA,0,1,0,0,0,0,2,0,1,16,12,0,0,0,0,200,18,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,34.5,0,0,91,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,3,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2
1120,NA,0,2,0,0,0,0,10,0,1,25,14,0,1,0,0,183.5,13,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,40.5,1,1,0,1,1,0,0,0,0,0,6,1,2,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,2,1.5,0,1,0,42,0,0,76,0,0,1,2,0,0,0,0,6,0,0,0,0,1,0,1,1,5,0,1,0,0,0,0,1,0,1,1,1,0,0,1,2,0,1,0,0,0,0,0
1136,NA,0,1,0,0,0,0,5,2,1,28,17,0,0,0,0,217,14,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,40,0,1,3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,11.5,0.5,42.5,0,0,132,0,0,0,1,4,0,0,0,11,0,0,0,0,2,0,7,0,3,0,8,0,1,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0
1152,NA,0,1,0,0,0,0,6,0,0,4,19.5,0,0,0,0,110,24,0,1,0,0,0,11,1,0,0,0,0,0,0,3,1,51,0,0,0,1,0,0,0,0,0,0,3,1,1,5,0,0,0,0,1,4,0,0,0,0,0,0,1,0,5,6,0,0,0,3,0,1,0,0,50,0,0,128,0,0,5,18,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,0,0,1,1
