"sample.depths","sample.ages","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Parthenocissus","Pinus..whole.grains.","Pinus..1.2.grains.","Planera.aquatica","Platanus","Quercus","Rubus","Salix","Sambucus","Taxodium","Tilia","Ulmus","Vitis","Zanthoxylum","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Plantago","Poaceae","Polygonum","Vigna"
0,-40,0,0,0,0.0122448979591837,0.0204081632653061,0,0,0,0.00408163265306122,0,0,0.0612244897959184,0.00408163265306122,0,0,0.0285714285714286,0,0.0163265306122449,0.0530612244897959,0.0122448979591837,0,0.0857142857142857,0.0816326530612245,0,0,0.13469387755102,0,0.0122448979591837,0,0.151020408163265,0,0,0.0122448979591837,0,0.00408163265306122,0.0163265306122449,0.00816326530612245,0,0.0653061224489796,0,0.0122448979591837,0.0489795918367347,0,0.0408163265306122,0,0,0.114285714285714,0,0
10,60,0,0,0.00384615384615385,0.00384615384615385,0,0.0115384615384615,0,0,0,0,0,0.0153846153846154,0.00384615384615385,0.00384615384615385,0,0.0307692307692308,0,0.0192307692307692,0.0307692307692308,0.00769230769230769,0,0.161538461538462,0.0769230769230769,0,0.00384615384615385,0.188461538461538,0,0.00384615384615385,0,0.0923076923076923,0,0.00769230769230769,0.0115384615384615,0,0,0.0576923076923077,0.0115384615384615,0.00384615384615385,0.0653846153846154,0,0,0.0461538461538462,0,0,0.00384615384615385,0,0.134615384615385,0,0
20,162,0,0.00757575757575758,0,0.00378787878787879,0.0189393939393939,0.0113636363636364,0,0,0,0,0,0.0113636363636364,0,0,0,0.00757575757575758,0.00378787878787879,0.0189393939393939,0.053030303030303,0.00378787878787879,0,0.102272727272727,0.053030303030303,0,0,0.132575757575758,0.00378787878787879,0.00757575757575758,0.00378787878787879,0.090909090909091,0,0.00378787878787879,0.0151515151515152,0,0,0.0265151515151515,0.00378787878787879,0,0.0871212121212121,0,0.0113636363636364,0.0416666666666667,0,0.0984848484848485,0,0,0.178030303030303,0,0
30,264,0,0,0,0.00740740740740741,0.0148148148148148,0,0,0,0,0,0,0.037037037037037,0.0111111111111111,0,0,0.00740740740740741,0,0.00740740740740741,0.0222222222222222,0.0037037037037037,0,0.133333333333333,0.0703703703703704,0,0,0.166666666666667,0,0.00740740740740741,0,0.155555555555556,0,0.0148148148148148,0.0111111111111111,0,0,0.0555555555555556,0.00740740740740741,0,0.0444444444444444,0,0.0333333333333333,0.0555555555555556,0,0,0,0,0.133333333333333,0,0
40,365,0,0,0.004739336492891,0.004739336492891,0.023696682464455,0,0,0.004739336492891,0,0,0,0.018957345971564,0.004739336492891,0.004739336492891,0,0.018957345971564,0,0,0.028436018957346,0.004739336492891,0,0.165876777251185,0.0663507109004739,0,0,0.127962085308057,0,0.014218009478673,0,0.123222748815166,0,0.004739336492891,0,0,0,0.014218009478673,0.009478672985782,0,0.113744075829384,0,0.023696682464455,0.0521327014218009,0,0.028436018957346,0,0,0.132701421800948,0,0.004739336492891
50,467,0,0.00390625,0.00390625,0,0.015625,0.00390625,0,0,0.00390625,0,0,0.01953125,0.00390625,0,0,0.015625,0,0.01953125,0.0234375,0.01953125,0,0.125,0.0703125,0,0,0.109375,0.00390625,0.01171875,0.00390625,0.10546875,0,0.0078125,0.00390625,0,0.00390625,0.0078125,0.0078125,0,0.1015625,0,0.03125,0.08984375,0,0.0234375,0,0,0.16015625,0,0
60,568,0,0,0.00396825396825397,0.00396825396825397,0.0436507936507936,0.00793650793650794,0,0,0,0,0,0.0277777777777778,0,0,0,0.00396825396825397,0.00793650793650794,0.0317460317460317,0.0158730158730159,0.00793650793650794,0,0.115079365079365,0.0674603174603175,0.00396825396825397,0.00396825396825397,0.130952380952381,0.0119047619047619,0.00793650793650794,0,0.138888888888889,0,0.00396825396825397,0.0198412698412698,0,0,0.0119047619047619,0.00793650793650794,0,0.0634920634920635,0,0.00396825396825397,0.0952380952380952,0,0.0238095238095238,0,0,0.134920634920635,0,0
70,670,0,0.00727272727272727,0,0,0.00363636363636364,0.0109090909090909,0,0,0,0,0,0.0290909090909091,0.00727272727272727,0,0,0.0472727272727273,0,0.0290909090909091,0.0109090909090909,0.0472727272727273,0.00363636363636364,0.16,0.0690909090909091,0,0.00363636363636364,0.16,0,0.00727272727272727,0,0.08,0,0.0109090909090909,0,0,0,0.00727272727272727,0.00727272727272727,0.00363636363636364,0.0472727272727273,0,0,0.0581818181818182,0,0.0290909090909091,0,0,0.16,0,0
80,771,0.00408163265306122,0.00408163265306122,0,0.0122448979591837,0.00816326530612245,0,0,0,0,0,0,0.0408163265306122,0,0,0,0.0204081632653061,0,0.00816326530612245,0.0408163265306122,0.00816326530612245,0,0.073469387755102,0.0530612244897959,0,0,0.122448979591837,0.00408163265306122,0.00408163265306122,0.00408163265306122,0.195918367346939,0,0.00408163265306122,0.00408163265306122,0,0,0.00816326530612245,0.0122448979591837,0.00408163265306122,0.0857142857142857,0,0.0204081632653061,0.073469387755102,0,0.036734693877551,0,0,0.146938775510204,0,0
90,873,0,0.00355871886120996,0,0,0,0,0,0,0,0,0.00355871886120996,0.0213523131672598,0.00355871886120996,0,0,0.00355871886120996,0,0.0106761565836299,0.0427046263345196,0.00355871886120996,0,0.0889679715302491,0.0854092526690391,0,0.00355871886120996,0.110320284697509,0.00355871886120996,0.00355871886120996,0,0.117437722419929,0,0,0,0,0.00355871886120996,0,0.0177935943060498,0,0.0711743772241993,0,0.0213523131672598,0.110320284697509,0,0.0177935943060498,0,0,0.252669039145907,0,0
