"sample.depths","sample.ages","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Rumex.Oxyria.digyna","Acer.saccharum","Cornus.sericea","Pinus.banksiana.type","Pinus.strobus","Spiraea","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Fraxinus.americana","Populus.balsamifera","Picea.glauca","Picea.mariana","Acer.undiff.","Artemisia","Potentilla","Alnus.undiff.","Carya","Acer.rubrum","Castanea","Caryophyllaceae","Acer.spicatum","Juglans.cinerea","Shepherdia.canadensis","Linnaea.borealis","Ranunculaceae.undiff.","Nyssa","Tilia","Ilex","Apiaceae"
452,10800,0.0206185567010309,0.300687285223368,0.00171821305841924,0.00687285223367698,0.0171821305841924,0.00171821305841924,0.00515463917525773,0.0223367697594502,0.0103092783505155,0.0670103092783505,0.0549828178694158,0.0103092783505155,0.00171821305841924,0.00687285223367698,0.00859106529209622,0.00859106529209622,0.00171821305841924,0.00171821305841924,0.0996563573883162,0.0549828178694158,0.00171821305841924,0.00171821305841924,0.00171821305841924,0.00171821305841924,0.00171821305841924,0.0171821305841924,0.121993127147766,0.00171821305841924,0.0378006872852234,0.0584192439862543,0.00515463917525773,0.00343642611683849,0.0257731958762887,0.00515463917525773,0.0120274914089347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,10885,0.0283842794759825,0.38646288209607,0.00218340611353712,0.00218340611353712,0.0305676855895196,0,0,0.0786026200873362,0.0109170305676856,0.0633187772925764,0.037117903930131,0.00655021834061135,0,0.00218340611353712,0.00218340611353712,0.00218340611353712,0.00218340611353712,0,0.0676855895196507,0.0611353711790393,0,0.00218340611353712,0.00218340611353712,0.00218340611353712,0,0.00655021834061135,0.0676855895196507,0,0.00873362445414847,0.0414847161572052,0.00436681222707424,0,0.0393013100436681,0.0174672489082969,0.0174672489082969,0.00218340611353712,0.00218340611353712,0.00218340611353712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,10970,0.0442890442890443,0.230769230769231,0,0.0186480186480186,0.034965034965035,0.00233100233100233,0.00233100233100233,0.0815850815850816,0.0163170163170163,0.034965034965035,0.0769230769230769,0.027972027972028,0,0.00466200466200466,0.00233100233100233,0.00233100233100233,0,0,0.0582750582750583,0.1002331002331,0,0.00466200466200466,0,0.00233100233100233,0,0.00466200466200466,0.0792540792540792,0,0.013986013986014,0.0559440559440559,0.0163170163170163,0,0.034965034965035,0.0303030303030303,0.006993006993007,0,0.00233100233100233,0.00233100233100233,0.00233100233100233,0.00466200466200466,0,0,0,0,0,0,0,0,0,0,0,0
458,11054,0.0836363636363636,0.2,0,0.00363636363636364,0.04,0,0,0.0836363636363636,0.0145454545454545,0.0618181818181818,0.0690909090909091,0.0181818181818182,0,0.0109090909090909,0.00727272727272727,0.00363636363636364,0,0,0.0290909090909091,0.0618181818181818,0,0.00363636363636364,0,0,0,0.00363636363636364,0.0509090909090909,0,0.00727272727272727,0.127272727272727,0.00727272727272727,0.00363636363636364,0.0218181818181818,0.0618181818181818,0.0181818181818182,0,0.00363636363636364,0.00363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,11139,0.0502645502645503,0.158730158730159,0,0.0211640211640212,0.037037037037037,0,0.00529100529100529,0.0423280423280423,0.0291005291005291,0.0661375661375661,0.0767195767195767,0.0211640211640212,0,0.00529100529100529,0.00529100529100529,0.00264550264550265,0,0,0.0291005291005291,0.0502645502645503,0.00264550264550265,0.00264550264550265,0,0.00264550264550265,0,0.0211640211640212,0.0767195767195767,0,0.00264550264550265,0.132275132275132,0.0158730158730159,0.00264550264550265,0.100529100529101,0.0264550264550265,0.00529100529100529,0.00264550264550265,0,0,0,0,0.00264550264550265,0.00264550264550265,0,0,0,0,0,0,0,0,0,0
462,11224,0.0234375,0.145833333333333,0,0.0442708333333333,0.015625,0,0,0.0442708333333333,0.0208333333333333,0.0651041666666667,0.0651041666666667,0.0182291666666667,0.00260416666666667,0.00520833333333333,0.0104166666666667,0,0,0,0.0364583333333333,0.0442708333333333,0,0.00520833333333333,0,0,0,0.0208333333333333,0.0677083333333333,0,0,0.138020833333333,0.015625,0.00520833333333333,0.106770833333333,0.0833333333333333,0.0104166666666667,0,0.00260416666666667,0,0.00260416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
464,11309,0.00687285223367698,0.161512027491409,0,0.0343642611683849,0.0412371134020619,0.00343642611683849,0,0.0103092783505155,0,0.0859106529209622,0.0412371134020619,0.0274914089347079,0,0.0103092783505155,0.013745704467354,0,0,0,0.0515463917525773,0.127147766323024,0,0.0103092783505155,0,0,0,0.0171821305841924,0.0412371134020619,0.00343642611683849,0.00687285223367698,0.123711340206186,0.00687285223367698,0,0.0824742268041237,0.0756013745704467,0.0103092783505155,0,0.00687285223367698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,11393,0.00598802395209581,0.167664670658683,0,0.0479041916167665,0.0479041916167665,0.00598802395209581,0,0,0.0149700598802395,0.0479041916167665,0.0389221556886228,0.0598802395209581,0,0.00898203592814371,0.00598802395209581,0,0,0,0.0479041916167665,0.0389221556886228,0,0.00598802395209581,0,0,0,0.0209580838323353,0.0449101796407186,0,0,0.158682634730539,0.00598802395209581,0,0.125748502994012,0.092814371257485,0,0,0,0.0029940119760479,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0
468,11482,0.00193050193050193,0.177606177606178,0,0.027027027027027,0.028957528957529,0.00193050193050193,0,0.00193050193050193,0.00193050193050193,0.055984555984556,0.0193050193050193,0.0328185328185328,0,0.00579150579150579,0.00193050193050193,0.00193050193050193,0,0,0.0308880308880309,0.0540540540540541,0,0.0115830115830116,0,0,0,0.0193050193050193,0.028957528957529,0.00193050193050193,0.00579150579150579,0.345559845559846,0.00193050193050193,0,0.0714285714285714,0.055984555984556,0.00965250965250965,0,0,0.00193050193050193,0.00193050193050193,0,0,0,0,0,0,0,0,0,0,0,0,0
470,11570,0.00291545189504373,0.329446064139942,0,0.0291545189504373,0.087463556851312,0.00291545189504373,0,0.00291545189504373,0.00291545189504373,0.107871720116618,0.0174927113702624,0.0553935860058309,0.00583090379008746,0.0116618075801749,0,0.00583090379008746,0,0,0.043731778425656,0.0612244897959184,0,0.0233236151603499,0,0,0,0.00291545189504373,0.0087463556851312,0.00583090379008746,0.00291545189504373,0.0903790087463557,0,0,0.0204081632653061,0.043731778425656,0.0174927113702624,0,0.0087463556851312,0,0.00291545189504373,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0,0,0,0
472,11645,0,0.310782241014799,0.00211416490486258,0.0317124735729387,0.257928118393235,0.00422832980972516,0,0,0.00211416490486258,0.0718816067653277,0.00845665961945032,0.0591966173361522,0.00845665961945032,0.00845665961945032,0.00845665961945032,0.0190274841437632,0,0.00211416490486258,0.0718816067653277,0.0105708245243129,0,0.0169133192389006,0,0,0,0.00422832980972516,0.0105708245243129,0.00211416490486258,0.00422832980972516,0.0443974630021142,0,0,0,0.0126849894291755,0.0126849894291755,0,0.00422832980972516,0,0.00634249471458774,0,0,0,0.00422832980972516,0,0,0,0,0,0,0,0,0
475,11742,0,0.228295819935691,0,0.00964630225080386,0.260450160771704,0,0,0,0.0353697749196141,0.118971061093248,0.0192926045016077,0.0385852090032154,0.00964630225080386,0.00643086816720257,0.00964630225080386,0.0289389067524116,0,0,0.0546623794212219,0.00643086816720257,0.00321543408360129,0.022508038585209,0.00643086816720257,0,0,0.0128617363344051,0.0192926045016077,0,0.00964630225080386,0.0482315112540193,0,0,0,0.00643086816720257,0.0289389067524116,0,0.00321543408360129,0,0.0128617363344051,0,0,0,0,0,0,0,0,0,0,0,0,0
481,11931,0.00593471810089021,0.201780415430267,0,0,0.237388724035608,0.00890207715133531,0,0,0.0118694362017804,0.186943620178042,0.0029673590504451,0.0445103857566766,0.0029673590504451,0.00593471810089021,0,0.0029673590504451,0,0,0.0682492581602374,0,0,0.0178041543026706,0.0029673590504451,0,0,0.029673590504451,0.0237388724035608,0,0.00593471810089021,0.0830860534124629,0,0,0,0.0148367952522255,0.029673590504451,0.0029673590504451,0.0029673590504451,0,0,0,0,0,0.00593471810089021,0,0,0,0,0,0,0,0,0
487,12119,0,0.219206680584551,0,0.00626304801670146,0.30062630480167,0.0104384133611691,0,0,0.0125260960334029,0.121085594989562,0.00835073068893528,0.0354906054279749,0.00626304801670146,0.0104384133611691,0.00208768267223382,0.00626304801670146,0,0,0.0501043841336117,0,0,0.00417536534446764,0,0,0,0.0125260960334029,0.0146137787056367,0,0.00417536534446764,0.104384133611691,0,0,0.00208768267223382,0.00208768267223382,0.0417536534446764,0,0.00626304801670146,0,0.00417536534446764,0,0,0,0.00835073068893528,0,0.00208768267223382,0.00417536534446764,0,0,0,0,0,0
493,12307,0.00344827586206897,0.131034482758621,0.00344827586206897,0.00344827586206897,0.362068965517241,0.00689655172413793,0,0,0.0172413793103448,0.106896551724138,0.0137931034482759,0.0206896551724138,0.00344827586206897,0.0172413793103448,0,0.0137931034482759,0,0,0.0793103448275862,0.00344827586206897,0,0.0206896551724138,0.00689655172413793,0,0,0.0275862068965517,0.00689655172413793,0,0.00689655172413793,0.0586206896551724,0,0,0.00344827586206897,0.00689655172413793,0.0137931034482759,0,0.0310344827586207,0,0.0172413793103448,0.00344827586206897,0,0,0.00689655172413793,0,0,0.00344827586206897,0,0,0,0,0,0
