"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus","Betula","Betulaceae.undiff.","Carya","Ceanothus","Celtis","Corylus","Cupressaceae","Ericaceae.type","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Myrica.type","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus.type","Quercus","Rhamnaceae.undiff.","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","cf..Humulus","Chenopodiaceae.undiff.","Cyperaceae","Dalea","Galium","Iva.annua","Iva.xanthifolia","Lamiaceae","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium.type","cf..Botrychium","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Osmunda.cinnamomea","Polypodium.virginianum","Pteridium","Selaginella.rupestris","Sphagnum","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
4.5,28,10,0,0,2,0,13,0,16,190,1,0,0,0,3,10,0,0,0,1,0,0,0,0,1,0,0,2,3,1,30,32,50,1,7,1,28,0,0,0,4,106,6,16,0,2,3,0,6,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
11.5,144,4,0,0,7,2,19,1,8,378,0,0,0,0,5,5,0,0,1,0,1,0,1,0,0,0,0,4,8,1,21,41,122,0,3,0,21,0,2,0,13,56,15,30,0,2,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,3,1
19.5,277,10,0,2,2,2,15,2,11,215,0,1,0,0,2,0,0,1,1,1,0,1,0,1,1,0,0,4,10,0,40,49,116,3,1,0,22,0,0,1,1,81,6,8,0,6,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2
40,630,2,0,0,3,0,12,0,13,220,0,1,0,0,2,1,0,1,1,4,0,0,1,0,5,0,0,6,4,0,44,34,112,0,2,0,10,0,0,0,1,125,12,5,0,4,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
50,813,4,1,0,1,1,20,0,14,223,1,0,0,0,1,2,2,0,0,2,0,0,0,0,3,0,4,4,4,0,17,26,146,0,3,0,15,0,0,0,2,84,12,3,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2
60,1017,5,0,0,1,0,17,0,6,181,0,1,0,0,1,3,0,2,1,3,0,0,0,0,0,0,0,5,2,0,36,31,94,0,1,0,23,0,0,0,1,95,3,4,0,2,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0
70,1263,6,0,0,7,1,11,0,14,355,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,1,3,0,38,43,90,2,6,0,27,0,1,0,0,57,12,3,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3
90,1967,5,0,0,2,1,13,0,17,186,0,1,0,0,4,0,0,1,1,1,0,0,0,1,0,0,0,8,0,1,31,40,143,0,2,0,21,0,2,0,0,128,9,4,0,8,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0
100,2457,3,0,0,1,1,5,1,10,141,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,5,0,1,25,41,139,0,0,0,22,0,0,0,1,124,8,5,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
110,3020,2,0,0,3,0,26,0,19,166,0,1,0,0,5,0,0,2,3,5,0,0,0,1,0,0,0,12,0,0,32,42,222,0,2,0,53,0,0,0,0,17,7,4,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,1
120,3624,6,0,0,3,2,11,0,30,110,1,0,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,6,2,0,34,24,195,2,1,0,95,0,0,0,1,4,5,5,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,14,3
126,3994,2,0,0,3,1,15,0,29,104,1,1,0,0,13,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,50,37,259,2,1,0,90,0,1,0,1,3,7,8,0,7,0,0,7,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,0
128,4116,3,0,0,3,0,8,0,32,75,0,0,0,0,4,3,1,1,1,3,0,0,1,0,0,0,1,10,2,0,78,80,218,0,4,1,61,0,1,0,2,2,12,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,0
132,4359,6,0,1,4,0,16,1,59,185,0,1,1,0,8,0,0,0,1,6,0,1,1,0,0,0,0,9,4,0,143,108,335,3,5,0,101,0,1,0,2,4,11,9,0,8,4,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,10
134,4479,1,0,0,1,0,14,0,38,117,0,0,0,0,4,0,0,0,2,2,0,0,1,1,0,0,0,10,0,0,64,59,198,0,5,0,63,0,1,0,5,3,8,5,0,4,1,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,4,2
140,4830,2,1,1,2,2,18,1,31,108,0,0,0,0,7,0,0,0,2,4,0,0,3,0,0,0,0,32,0,0,72,53,196,1,6,0,76,0,0,0,3,7,11,2,0,5,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,8,2
150,5372,2,0,0,3,3,8,1,23,136,0,0,0,0,3,0,0,0,4,5,0,0,3,1,1,0,0,17,2,0,34,28,164,0,2,0,61,0,0,1,5,11,14,8,0,3,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,9,3
160,5849,2,0,0,9,0,18,0,18,113,0,0,0,0,2,3,0,0,1,8,1,0,0,0,0,0,0,24,0,0,32,58,208,0,8,0,47,1,4,1,4,2,22,5,0,8,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,3,8,2
170,6269,0,0,0,0,2,8,3,18,89,0,1,0,0,5,1,0,0,0,2,0,0,2,0,1,1,0,6,0,0,61,54,209,0,1,0,44,0,1,1,3,0,16,5,0,4,2,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,1
180,6646,3,0,0,4,4,14,1,22,80,0,0,0,0,8,0,1,0,1,2,0,0,1,0,1,0,0,28,0,0,24,42,128,1,6,0,63,0,1,0,3,1,19,4,0,7,2,0,4,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,9,4
190,6996,4,0,0,5,1,8,0,5,85,1,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,27,1,0,49,96,218,0,1,0,42,0,0,0,4,0,19,11,0,5,1,1,3,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,1,7,3
210,7656,4,0,0,6,1,3,0,14,56,0,2,0,0,4,0,0,0,3,4,0,0,0,1,1,0,0,12,0,0,66,73,259,0,6,0,20,0,4,0,0,0,16,5,0,9,0,0,7,3,1,0,0,1,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,2,4,2,1
220,7985,4,0,1,0,0,1,4,27,171,0,1,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,91,111,187,2,4,0,18,0,3,1,0,0,13,5,0,4,2,0,5,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,5,2
230,8324,3,0,0,0,1,0,1,26,75,0,0,0,0,4,1,0,0,1,3,0,0,0,0,0,0,1,8,2,1,56,52,210,0,3,1,12,0,1,0,0,0,10,5,0,3,2,0,3,2,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,4,4,0
240,8684,2,0,0,0,0,2,0,43,75,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,151,22,152,1,6,0,12,0,0,0,0,0,15,12,0,12,1,1,6,5,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,2,0,0,0,3,2,2,0
247,8951,4,0,0,0,0,2,2,31,95,0,1,0,1,10,1,1,0,0,3,0,0,0,0,1,0,1,7,0,0,80,78,225,0,10,0,17,0,5,1,0,0,15,4,0,5,4,0,3,6,1,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8,0,0,1,0,0,0,6,0,0,0,1,5,5,0
257,9363,6,0,0,0,0,5,0,24,57,2,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,2,6,0,188,12,149,2,0,0,11,0,1,0,0,0,11,7,0,4,4,0,3,4,0,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,50,0,0,3,0,1,0,0,2,0,1,0
261,9539,9,0,0,0,0,1,0,12,129,0,2,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,3,16,0,85,10,124,1,7,0,22,1,0,0,0,0,14,7,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,2,0,1,0,1,0,5,4,1
264.5,9699,9,0,0,0,0,0,0,24,123,0,0,0,0,3,1,1,0,2,5,0,0,0,0,0,0,0,5,18,0,129,6,149,0,7,2,20,0,5,0,0,0,12,4,0,5,11,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,2,0,12,0,0,10,2,0,7,0,4,0,0,1,4,8,0
267,9816,12,0,0,0,0,0,0,34,116,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,4,32,0,139,8,242,0,5,0,17,0,5,1,0,0,23,9,0,10,15,0,9,4,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,1,2,0,12,0,0,16,3,0,10,0,5,1,0,10,3,7,2
271.5,10030,8,0,0,0,1,1,0,25,81,0,0,0,0,0,2,0,0,3,5,0,0,0,0,2,0,0,14,16,0,166,10,138,1,2,0,18,0,0,0,0,0,25,5,0,5,7,0,0,4,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,2,1,1,0,20,1,0,35,11,0,0,0,2,0,2,2,4,5,1
273.5,10127,4,0,0,0,2,3,0,23,33,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,5,35,0,104,4,155,1,4,0,18,0,2,0,0,0,35,0,0,7,8,0,3,9,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,4,0,1,2,1,10,7,7,2
277,10296,5,0,0,0,0,2,0,21,50,3,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,52,5,118,0,191,1,11,0,13,0,4,0,0,0,37,4,0,5,15,0,2,9,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,2,0,15,0,1,0,69,0,4,0,2,2,0,4,5,4,3
