"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","cf..Hypericum","Cornus","Corylus","Corylus.Myrica","Cupressaceae.Taxaceae","Cyperaceae","Drosera","Ericaceae","Fabaceae","Fagus","Fraxinus","Hudsonia","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Lamiaceae","Liliaceae","Liquidambar","Lycopodiaceae","Myrica.Comptonia.peregrina","Myriophyllum","Nuphar","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Populus","Potamogetonaceae","Quercus","Ranunculaceae","Rhamnus.Vitis","Rhus","Rosaceae","Rumex","Salix","Sphagnum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum","Zea.mays"
0,-28,0,3,8,0,3,20,0,0,4,0,54,0,3,1,0,430,0,2,0,0,0,1,89,0,0,1,0,1,2,0,2,0,0,0,0,1,102,0,0,1,3,4,10,8,70,3,26,0,0,0,63,0,0,4,14,0,0,16,0,5,0,1,4,11,1,0,0,3,0
10,322,0,7,6,0,0,25,0,0,2,0,33,1,1,3,0,187,3,4,12,1,0,0,110,3,1,0,0,2,10,0,0,0,0,0,0,1,89,0,0,0,8,1,45,14,153,4,13,1,0,0,95,0,0,0,20,2,0,8,0,5,0,0,3,11,0,2,0,2,0
20,673,0,0,3,1,1,8,0,1,2,0,36,0,2,0,0,178,0,3,0,0,0,0,159,0,2,5,0,0,0,0,0,0,0,0,1,1,81,0,0,2,2,0,26,9,85,1,19,0,0,0,54,0,0,0,4,0,0,7,0,5,0,1,6,6,0,0,0,0,0
30,1023,0,2,5,1,2,78,1,0,7,0,49,0,5,0,0,462,0,1,0,0,4,0,15,0,1,1,0,1,6,0,0,2,0,0,0,2,44,0,0,3,4,0,9,0,14,7,35,0,1,0,48,0,0,0,59,5,0,0,0,1,0,4,8,14,0,1,1,0,0
40,1374,0,1,3,1,0,56,0,0,4,0,41,0,2,0,1,174,0,2,0,1,4,0,3,0,0,1,0,0,7,0,0,1,0,0,1,5,41,0,0,2,0,3,0,0,20,6,51,0,0,0,63,0,0,0,42,10,0,19,0,1,0,7,3,2,0,22,0,0,0
50,1724,0,0,6,0,0,3,0,0,2,0,17,2,2,0,0,8,0,8,23,0,0,2,48,0,2,1,0,433,5,0,0,0,0,0,0,0,126,0,0,6,3,0,0,1,18,0,5,1,0,0,116,0,0,0,15,0,0,35,1,2,0,0,1,12,0,0,0,0,0
60,2074,0,3,4,1,0,8,0,2,8,0,6,0,1,0,0,16,0,17,0,0,0,0,36,2,4,0,0,102,7,0,0,0,0,0,0,0,16,0,0,16,0,0,1,3,15,0,20,0,1,0,99,0,0,0,8,10,0,46,0,1,0,0,1,10,5,1,0,0,1
70,2425,0,2,5,0,0,8,0,0,31,0,22,0,2,0,0,0,0,3,0,0,0,0,45,0,42,0,0,298,0,0,0,0,0,0,1,0,37,0,0,10,0,0,0,0,17,0,13,0,0,0,116,0,0,0,1,0,0,6,0,0,0,0,1,7,1,3,0,0,0
80,2775,0,2,3,1,0,4,0,0,49,0,14,0,0,0,0,0,0,11,7,4,1,0,134,1,12,0,0,424,0,0,0,0,0,0,0,0,46,0,0,6,3,0,0,1,22,0,7,0,0,0,99,0,0,0,3,0,0,8,1,1,0,0,0,19,3,3,0,0,0
100,3476,0,0,4,2,0,4,0,0,1,0,14,0,2,0,0,0,0,5,0,0,0,0,13,0,1,0,0,17,0,0,2,0,0,0,0,0,59,0,0,0,1,0,0,0,20,0,7,0,0,0,176,0,0,0,1,0,0,16,0,0,0,0,0,8,0,2,0,0,0
120,4016,0,0,2,0,0,2,0,0,8,0,24,0,3,0,0,0,0,4,0,0,0,0,33,0,3,1,2,164,0,0,0,0,0,0,0,0,117,0,0,2,2,0,0,2,109,0,2,0,0,0,80,0,0,0,0,0,0,129,1,6,0,0,1,2,2,2,0,0,0
140,4393,1,2,4,2,0,4,0,0,2,0,11,0,1,0,0,0,0,25,55,1,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,211,0,0,0,4,0,5,0,112,0,0,0,0,0,67,0,0,0,0,0,0,221,0,7,0,0,1,19,3,0,0,0,0
