"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Elaeagnus.commutata","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lythrum.salicaria","Myrica.gale","Myriophyllum","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Rosaceae","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum"
0,1,0,0,0,0,0,16,0,0,11,3,84,1,3,5,131,2,4,0,0,0,0,0,0,0,0,3,29,15,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,6,2,0,37,14,9,0,18,0,2,2,58,0,1,0,0,0,0,3,19,0,11,0,3,0,0,0
10,219,0,1,0,3,0,6,0,14,5,0,1,2,1,0,125,1,5,0,0,0,0,0,11,0,1,0,56,12,2,0,0,0,2,0,2,0,3,0,0,0,0,0,1,0,0,0,5,2,22,5,0,48,71,9,0,6,0,0,7,28,0,1,0,4,0,0,1,70,1,13,0,2,0,0,0
25,548,0,0,0,0,0,12,0,0,11,0,1,0,0,0,109,0,1,0,0,0,0,0,0,0,0,0,36,13,0,0,2,0,1,0,2,0,3,2,0,0,0,0,0,1,1,0,0,0,13,4,0,18,43,10,0,3,0,0,1,20,0,0,0,0,0,0,2,61,0,13,0,2,0,0,0
37.5,822,1,0,0,1,0,17,0,6,4,0,0,2,1,0,84,0,3,0,0,1,0,0,0,0,0,0,71,8,1,0,0,0,3,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,53,11,0,0,1,1,0,9,0,0,1,0,0,0,4,131,0,12,0,6,0,0,0
50,1096,0,0,0,0,0,21,0,0,1,1,2,0,1,0,121,0,6,0,0,0,0,0,2,0,0,0,76,22,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,44,78,11,0,0,0,4,1,20,0,0,0,3,0,0,9,23,1,15,0,5,0,0,0
62.5,1370,0,0,0,0,0,15,0,13,1,0,0,4,1,0,159,0,4,0,0,1,0,0,1,0,0,0,100,30,4,0,0,0,2,0,3,0,3,0,0,0,0,0,1,0,1,1,1,0,10,1,0,6,34,5,0,0,1,2,0,36,0,2,0,0,0,0,3,191,0,19,0,1,0,0,0
75,1644,0,0,0,0,0,14,0,0,4,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,46,4,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,0,12,25,11,0,0,0,0,1,14,0,0,0,0,0,0,1,128,0,13,0,0,0,0,0
87.5,1918,2,0,0,3,0,40,0,4,1,0,0,0,1,0,167,0,3,0,0,2,0,0,0,0,0,0,109,29,9,0,0,0,1,0,20,0,5,0,0,0,0,0,2,0,0,1,2,0,4,1,0,6,84,6,0,2,0,3,0,44,1,1,0,0,1,0,2,212,0,33,0,4,0,1,0
100,2192,2,0,0,0,0,12,0,0,2,0,1,1,1,0,71,0,3,0,0,0,0,0,0,0,0,0,85,11,0,0,2,0,4,0,4,0,2,0,0,0,0,0,0,0,0,2,1,0,3,0,0,59,22,7,0,1,0,0,0,14,0,0,0,0,0,1,9,70,0,9,0,0,1,0,0
112.5,2466,3,0,3,5,2,25,0,9,0,0,0,0,0,0,144,0,5,0,0,1,0,0,0,0,0,0,105,23,3,1,0,3,3,0,7,1,1,0,0,0,0,2,0,0,0,1,1,0,2,1,0,18,53,4,0,0,0,1,0,27,0,0,0,1,1,0,12,136,0,11,1,0,0,0,0
