"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Caryophyllaceae","Castanea","cf..Myrica","Circaea","Cornus","Corylus","Cyperaceae","Epilobium","Equisetum","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus","Gentianaceae","Humulus","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown..trilete..undiff.","Unknown.Indeterminable","Urtica"
0,-30,14,0,116,0,0,0,0,2,0,66,0,0,0,0,0,5,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,9,0,1,4,0,1,1,0,88,10,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,0
10,193,4,0,151,0,0,0,0,5,0,46,1,0,0,0,0,14,0,0,0,6,0,0,1,5,0,0,1,0,0,0,0,8,5,2,4,0,0,0,0,92,9,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,0
20,417,3,0,192,0,0,0,0,4,0,85,0,0,0,0,0,9,0,0,0,6,0,0,1,2,0,0,2,0,0,0,0,4,1,2,6,1,1,0,0,69,13,6,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,25,0
60,1311,10,0,63,0,0,0,0,4,0,105,0,0,0,0,0,11,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,150,13,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18,0
100,2206,6,0,56,0,2,0,0,1,0,118,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,94,9,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,18,0
120,2653,15,1,52,0,0,0,0,1,0,89,0,1,0,0,0,14,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,3,1,1,5,0,0,1,0,109,18,0,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,16,0
140,3101,6,0,60,0,0,0,0,0,0,130,0,0,1,0,0,11,0,0,0,4,0,0,1,1,0,0,1,0,0,0,0,0,3,3,8,0,0,0,0,78,13,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0
160,3548,6,0,63,0,0,0,0,1,0,135,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,3,1,0,6,1,0,0,0,73,17,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,0
180,3995,7,0,65,0,0,0,0,0,0,133,0,0,0,1,1,12,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,2,0,2,4,0,0,0,0,58,18,0,3,0,0,0,0,1,0,2,0,0,0,3,2,0,0,0,0,0,24,0
210,4666,39,0,43,0,0,0,0,3,0,158,0,0,0,1,0,8,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,3,0,70,10,3,3,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,0
220,5007,17,0,35,0,0,0,0,2,0,112,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,87,46,1,2,0,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,0,5,0
225,5197,17,0,40,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,0,0,0,0,122,47,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0
