"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Urtica"
5,84,0,0.0489130434782609,0,0.00543478260869565,0.00271739130434783,0.16304347826087,0.00543478260869565,0.220108695652174,0.00543478260869565,0.00815217391304348,0,0.00543478260869565,0,0.0217391304347826,0,0,0.00543478260869565,0,0.0244565217391304,0,0,0.00543478260869565,0,0,0.0353260869565217,0.0108695652173913,0,0.00543478260869565,0.00271739130434783,0,0.00271739130434783,0.00543478260869565,0,0,0,0.0135869565217391,0.00543478260869565,0,0.241847826086957,0,0,0.00271739130434783,0,0.122282608695652,0.00271739130434783,0,0.00271739130434783,0,0,0.0244565217391304,0,0
10,201,0,0.0314769975786925,0,0.00726392251815981,0.0121065375302663,0.169491525423729,0,0.154963680387409,0,0.00242130750605327,0,0.00726392251815981,0.00484261501210654,0.00968523002421308,0,0.0217917675544794,0,0,0.0387409200968523,0,0.00484261501210654,0.0217917675544794,0,0,0.0338983050847458,0.00242130750605327,0,0.00484261501210654,0.00484261501210654,0,0,0,0,0.0145278450363196,0.00242130750605327,0.0217917675544794,0,0,0.246973365617433,0.00242130750605327,0.00242130750605327,0,0,0.154963680387409,0,0,0.00484261501210654,0.00242130750605327,0,0.0145278450363196,0,0
15,318,0,0.00842696629213483,0,0.0168539325842697,0.0252808988764045,0.230337078651685,0,0.109550561797753,0,0.0112359550561798,0,0.00280898876404494,0.00561797752808989,0.00842696629213483,0,0.0449438202247191,0,0,0.0393258426966292,0,0,0.00561797752808989,0.00280898876404494,0,0.0252808988764045,0.00280898876404494,0,0,0.0421348314606742,0,0,0,0,0.0112359550561798,0.0280898876404494,0.157303370786517,0,0,0.171348314606742,0,0,0,0.00561797752808989,0.0140449438202247,0,0,0.00561797752808989,0,0,0.0252808988764045,0,0
20,435,0,0.00598802395209581,0,0,0.0838323353293413,0.179640718562874,0.0119760479041916,0.0419161676646707,0,0.0359281437125748,0,0,0,0.00598802395209581,0.00598802395209581,0.0119760479041916,0,0,0.0239520958083832,0,0.00598802395209581,0.00598802395209581,0,0,0.0419161676646707,0,0,0.0119760479041916,0.137724550898204,0,0.00598802395209581,0,0,0,0,0.18562874251497,0,0.00598802395209581,0.143712574850299,0,0,0,0,0.00598802395209581,0,0,0,0.00598802395209581,0.00598802395209581,0.029940119760479,0,0
25,552,0,0,0,0.00647249190938511,0.0226537216828479,0.0614886731391586,0.00323624595469256,0.0194174757281553,0.00323624595469256,0.0194174757281553,0,0,0.00323624595469256,0.00647249190938511,0,0.00970873786407767,0,0.00323624595469256,0.0194174757281553,0,0.00970873786407767,0.00323624595469256,0.00323624595469256,0,0.0323624595469256,0.00323624595469256,0,0,0.103559870550162,0,0,0.00323624595469256,0,0.0258899676375405,0.0550161812297735,0.233009708737864,0,0.00970873786407767,0.320388349514563,0,0,0,0,0.00323624595469256,0,0,0,0,0,0.0161812297734628,0,0
35,786,0,0.0594900849858357,0,0.0084985835694051,0.0311614730878187,0.0396600566572238,0,0.0056657223796034,0.0113314447592068,0.0339943342776204,0,0,0,0.0028328611898017,0,0.0028328611898017,0,0,0.0169971671388102,0,0.0113314447592068,0,0.0056657223796034,0,0.028328611898017,0,0,0.0028328611898017,0.0651558073654391,0.0028328611898017,0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.093484419263456,0.325779036827195,0,0.0113314447592068,0.181303116147309,0,0,0,0,0,0,0,0,0,0.0028328611898017,0.0424929178470255,0,0.0056657223796034
52,1038,0,0.0196078431372549,0,0.00980392156862745,0.00980392156862745,0.0392156862745098,0,0.0686274509803922,0.0294117647058824,0.0196078431372549,0,0,0.00980392156862745,0.00980392156862745,0,0.00980392156862745,0,0,0.0196078431372549,0,0.0294117647058824,0,0,0,0.0392156862745098,0.0490196078431373,0,0,0.0490196078431373,0,0,0,0,0.0294117647058824,0.0784313725490196,0.156862745098039,0,0.0196078431372549,0.264705882352941,0,0,0.00980392156862745,0,0,0,0,0,0,0,0.0294117647058824,0,0
65,1185,0,0.00427350427350427,0,0.00427350427350427,0.00427350427350427,0.0170940170940171,0,0.0213675213675214,0.00854700854700855,0.0192307692307692,0,0,0,0.00427350427350427,0,0.00427350427350427,0,0.00213675213675214,0.0384615384615385,0,0.0106837606837607,0.0128205128205128,0.00854700854700855,0,0.241452991452991,0.0641025641025641,0,0.00854700854700855,0.047008547008547,0,0,0.00213675213675214,0,0.0235042735042735,0.0534188034188034,0.0576923076923077,0,0.014957264957265,0.290598290598291,0,0,0.0128205128205128,0,0.00213675213675214,0,0,0,0,0.00213675213675214,0.0192307692307692,0,0
95,1523,0,0.00173010380622837,0,0.00519031141868512,0.00173010380622837,0.00519031141868512,0.00346020761245675,0.013840830449827,0.00173010380622837,0.0121107266435986,0,0,0,0,0,0.00519031141868512,0,0,0.0501730103806228,0.00173010380622837,0.00865051903114187,0.00865051903114187,0.00173010380622837,0.00173010380622837,0.595155709342561,0.00173010380622837,0,0.00173010380622837,0.0242214532871972,0,0.00173010380622837,0,0,0.00346020761245675,0.0103806228373702,0.055363321799308,0,0.00173010380622837,0.171280276816609,0,0,0,0,0,0,0,0,0,0.00173010380622837,0.00865051903114187,0,0
135,1974,0,0,0,0.0198237885462555,0.0066079295154185,0.0198237885462555,0.00220264317180617,0.013215859030837,0.0066079295154185,0.00881057268722467,0.00440528634361234,0.00440528634361234,0,0,0,0.0066079295154185,0,0.00220264317180617,0.0704845814977974,0,0.0440528634361234,0.0176211453744493,0.00220264317180617,0,0.237885462555066,0,0.00440528634361234,0.00881057268722467,0.0066079295154185,0.00440528634361234,0,0.00220264317180617,0,0,0.0198237885462555,0.0616740088105727,0,0.0110132158590308,0.389867841409692,0,0,0,0,0.00220264317180617,0,0,0,0,0,0.0198237885462555,0.00220264317180617,0
