"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Callitriche","Cannabaceae","Carya","Caryophyllaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Hypericum","Indeterminable","Isoëtes","Iva","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Malvaceae","Moraceae","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sambucus","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urticaceae","Woodsia"
2,146,12,0,0,7,0,1,0,0,0,0,26,0,0,1,0,1,0,0,0,5,0,1,0,0,2,0,0,1,0,0,0,0,38,1,0,1,5,0,0,0,0,0,0,0,206,25,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6,417,24,0,1,6,0,0,2,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,47,0,0,6,3,0,0,0,0,0,0,0,435,42,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,687,15,0,0,5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,43,0,0,4,6,0,0,0,0,1,0,0,342,28,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,958,20,0,0,2,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,53,0,0,2,4,0,0,0,0,0,0,0,498,45,5,1,4,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,2,0,0
18,1228,16,0,0,3,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,52,0,0,7,2,0,0,0,1,0,0,1,595,37,2,1,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0
22,1499,17,0,0,5,0,0,0,1,0,0,37,0,1,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,0,0,0,1,69,1,0,10,0,0,0,0,1,0,0,0,545,34,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
26,1686,36,0,1,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,37,0,0,5,3,0,0,0,0,0,0,0,600,40,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
30,1862,21,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0,13,2,0,0,0,0,0,0,2,26,0,0,7,1,0,0,0,0,0,0,0,468,47,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
34,2037,22,1,0,1,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,3,42,0,0,6,3,0,0,0,1,2,0,0,790,52,1,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0
38,2213,14,1,0,2,0,0,2,0,0,0,53,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,26,0,0,4,6,0,0,0,0,0,0,2,462,39,10,4,11,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0
42,2388,17,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,5,17,0,0,2,3,0,0,0,0,0,0,0,338,31,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
46,2563,28,1,1,14,0,1,0,0,0,0,46,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,66,0,0,7,1,0,0,0,0,0,0,0,496,41,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,1,0,0,0
50,2779,30,1,0,8,0,0,0,0,0,0,56,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,36,0,0,7,3,0,0,0,0,0,0,1,618,40,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
54,3018,36,0,0,10,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,1,0,1,0,23,1,0,0,0,0,0,0,5,29,0,0,3,3,0,0,0,0,0,0,1,403,47,2,1,9,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0
58,3257,15,1,0,7,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,48,0,0,1,3,0,0,0,0,0,0,0,332,63,0,3,11,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
62,3497,40,0,0,20,0,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,47,0,0,1,2,1,0,0,0,0,0,1,526,22,0,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0
66,3736,20,0,0,18,0,0,2,0,0,0,83,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,7,47,0,0,4,1,0,0,0,0,0,0,0,406,23,0,1,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
70,3975,17,0,1,14,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,42,1,0,2,3,1,0,0,0,0,0,0,324,22,0,0,7,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,1,0,1,1,0,0
74,4214,15,0,0,15,0,1,0,0,0,0,91,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,1,0,0,0,0,80,0,0,2,4,2,0,0,0,0,0,0,427,17,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
78,4416,50,0,2,4,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,16,54,0,0,4,2,0,0,0,0,0,2,0,646,130,1,7,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
82,4613,34,2,1,19,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,92,0,0,2,5,0,0,0,0,0,0,2,597,33,0,1,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,9,1,0,1,0,0,0
86,4809,45,0,0,7,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,82,0,1,4,3,0,0,0,0,0,0,0,443,21,2,2,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
90,5006,46,0,2,24,0,0,1,0,0,0,131,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,3,140,0,0,2,1,1,0,0,4,0,0,2,605,50,0,3,22,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,7,0,0,2,0,0,0
94,5203,32,0,0,13,0,0,1,0,0,0,134,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,96,0,0,0,3,0,0,0,1,1,0,1,579,23,1,0,12,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,12,0,0,0,0,0,0
98,5399,26,1,1,12,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,73,0,0,1,1,1,0,0,0,0,0,1,375,22,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,1,0,0
102,5596,20,1,0,23,0,0,1,0,0,0,116,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,6,95,0,0,2,1,1,0,0,1,0,0,3,488,26,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,1,0,1,0,0,0
106,5792,4,0,0,2,0,0,0,0,0,0,67,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,60,0,0,1,3,0,0,0,0,0,0,0,423,51,1,2,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0
110,6009,32,0,0,2,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,76,0,0,2,3,2,0,0,0,0,0,0,738,44,0,3,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0
