"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Corylus","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Salix","Myrica","Populus","Poaceae","Alnus.undiff.","Artemisia","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Quercus","Carya","Cornus","Amaranthaceae","Ranunculus","Caryophyllaceae","Rumex","Dryas.type","Thalictrum"
527,34,351,4,2,16,1,25,1,4,1,286,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
565,3661,416,5,10,9,0,17,0,0,1,352,1,1,1,2,1,1,4,3,7,1,0,0,0,0,0,0,0,0,0
585,5570,321,19,0,27,0,47,0,0,1,222,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
605,6969,337,46,3,2,0,33,1,4,0,237,1,2,1,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0
625,7857,350,87,0,48,2,124,0,9,0,69,1,1,1,0,0,2,0,3,1,0,1,1,0,0,0,0,0,0,0
645,8745,408,80,13,15,0,55,1,4,0,171,4,1,2,0,1,7,8,1,45,0,0,0,0,0,0,0,0,0,0
670,9855,127,0,0,36,0,39,0,6,1,27,5,0,2,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0
685,10521,241,4,1,59,0,50,0,29,3,68,3,1,0,2,4,15,0,1,1,0,0,0,0,0,0,0,0,0,0
705,11409,198,0,0,36,0,98,1,12,2,0,0,4,11,0,0,10,0,0,19,2,0,0,0,1,2,0,0,0,0
725,12618,221,0,3,14,0,150,0,16,0,15,3,1,11,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0
745,13826,247,1,6,15,0,141,1,27,0,8,5,1,34,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0
767,15155,248,2,7,4,1,140,1,16,5,7,2,0,45,1,0,4,3,2,7,0,0,0,0,0,0,1,0,0,0
807,17572,105,0,5,0,0,26,9,13,0,8,0,0,20,0,0,5,12,0,5,0,0,0,0,0,1,0,1,0,0
853,22834,145,0,22,4,1,25,12,14,6,12,0,0,29,0,2,2,0,0,12,0,0,0,0,0,1,1,0,2,0
919,NA,218,0,40,3,1,35,19,56,3,15,0,0,9,7,3,7,6,0,8,2,0,0,0,0,0,3,0,0,1
