"sample.depths","sample.ages","Abies","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
100,NA,1,4,0,3,0,0,0,0,13,0,1,1,1,0,0,0,0,3,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,17,112,0,0,0,0,3,16,0,0,0,0,0,0,1,18,0,5,0
110,7066,0,3,0,2,0,0,2,1,6,0,0,0,0,0,1,0,0,4,1,3,3,2,0,0,0,0,0,0,0,0,0,1,4,1,14,130,2,0,0,0,2,13,0,0,0,0,0,1,1,9,0,3,0
120,7519,1,4,0,4,0,0,0,1,13,0,0,0,0,2,0,0,1,6,2,1,3,1,0,0,0,0,0,1,0,0,0,0,3,1,11,120,3,1,0,0,0,13,0,0,0,0,0,1,1,4,0,8,0
130,7972,1,1,0,1,0,1,3,0,3,0,0,0,1,1,2,0,0,4,0,2,2,3,0,0,0,0,1,0,0,0,0,0,3,0,22,132,2,0,0,0,0,14,0,0,0,0,0,0,1,4,0,3,0
135,8198,1,4,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,4,1,3,4,1,0,0,0,0,0,0,0,0,0,0,4,1,19,139,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,3,0
140,8425,3,4,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,3,1,13,143,2,0,0,0,2,12,0,0,0,0,0,0,0,2,1,4,0
145,8651,1,3,0,4,0,2,0,0,10,0,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,1,62,93,0,0,2,0,3,10,0,0,0,0,0,1,0,1,0,3,1
150,8878,2,3,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,3,0,55,101,0,2,0,0,0,8,0,0,1,0,0,0,0,1,0,2,1
155,9104,1,0,0,2,0,0,0,0,14,0,0,0,4,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,1,0,0,0,4,3,63,90,0,0,0,0,2,11,0,0,0,0,0,0,0,2,0,3,0
160,9331,2,0,0,1,0,0,0,0,16,0,1,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0,0,0,0,1,0,56,92,0,0,1,0,3,10,0,0,0,0,0,0,0,2,0,5,0
