"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Asteraceae.undiff.","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Ulmus","Ambrosia","Ostrya.type","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..viridis","Alnus.cf..A..incana","Thuja.type","Acer.saccharinum.type","Humulus.type","Larix","Rumex","Acer.negundo.type","Medicago.sativa","Abies","Polygonum.lapathifolium.type","Rhus","Xanthium","Juglans.cinerea.type","Iva.annua.type","Tsuga","Acer.saccharum","Carya","Dalea.candida.type","Dalea.purpurea","Iva.xanthifolia.type","cf..Ceanothus","Sarcobatus.vermiculatus","Caryophyllaceae","Rosaceae","Liliaceae","Verbena","Mentha.type","Amorpha"
0,-29,0.0032258064516129,0.0306451612903226,0.214516129032258,0.0064516129032258,0.0064516129032258,0.0064516129032258,0.0064516129032258,0.0161290322580645,0.0032258064516129,0.311290322580645,0.0032258064516129,0.032258064516129,0.120967741935484,0.0032258064516129,0.0032258064516129,0.0032258064516129,0.00967741935483871,0.0806451612903226,0.0161290322580645,0.0193548387096774,0.0112903225806452,0.0258064516129032,0.0403225806451613,0.0064516129032258,0.0161290322580645,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,47,0,0.0112044817927171,0.0504201680672269,0.00280112044817927,0.00560224089635854,0.0238095238095238,0.00840336134453781,0.00280112044817927,0.0112044817927171,0.417366946778712,0,0.00840336134453781,0.0532212885154062,0.0112044817927171,0.00560224089635854,0.00280112044817927,0.0112044817927171,0.0448179271708683,0.0140056022408964,0.0224089635854342,0.0630252100840336,0.0112044817927171,0.159663865546218,0.00560224089635854,0.0280112044817927,0.00560224089635854,0.00560224089635854,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,128,0.00599700149925037,0.00899550224887556,0.0749625187406297,0.00299850074962519,0.00299850074962519,0.0224887556221889,0.00899550224887556,0,0.00449775112443778,0.340329835082459,0,0.00899550224887556,0.062968515742129,0.00299850074962519,0.00299850074962519,0,0.00899550224887556,0.0119940029985007,0.0209895052473763,0.0329835082458771,0.106446776611694,0.00899550224887556,0.191904047976012,0,0.0389805097451274,0.00899550224887556,0.00299850074962519,0,0.0104947526236882,0,0,0.00599700149925037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,584,0.00253164556962025,0.0113924050632911,0.10379746835443,0.00253164556962025,0.00506329113924051,0.0151898734177215,0.00253164556962025,0.00253164556962025,0.0215189873417722,0.556962025316456,0,0.00759493670886076,0.0518987341772152,0.00759493670886076,0,0.00506329113924051,0.00253164556962025,0.0291139240506329,0.0151898734177215,0.020253164556962,0.0430379746835443,0.00506329113924051,0.0316455696202532,0,0.0430379746835443,0,0,0,0,0,0,0,0.00379746835443038,0.00253164556962025,0.00253164556962025,0.00253164556962025,0.00253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1192,0,0.0299479166666667,0.0533854166666667,0.0182291666666667,0.00520833333333333,0.0247395833333333,0.00260416666666667,0.00520833333333333,0.00911458333333333,0.455729166666667,0,0.00520833333333333,0.119791666666667,0,0.00260416666666667,0,0.00260416666666667,0.0078125,0.0182291666666667,0.0182291666666667,0.0598958333333333,0,0.0911458333333333,0.00260416666666667,0.0494791666666667,0.00520833333333333,0,0,0.00260416666666667,0,0,0,0.00130208333333333,0,0,0,0.00260416666666667,0.00260416666666667,0.00260416666666667,0.00130208333333333,0,0,0,0,0,0,0,0,0,0,0,0
200,1344,0,0.0230040595399188,0.115020297699594,0.0054127198917456,0.0027063599458728,0.013531799729364,0.0054127198917456,0.0081190798376184,0.0148849797023004,0.435723951285521,0,0.0027063599458728,0.18403247631935,0.0054127198917456,0.0027063599458728,0,0.0162381596752368,0.0189445196211096,0.0027063599458728,0.0297699594046008,0.013531799729364,0.0027063599458728,0.0162381596752368,0,0.0595399188092016,0.0027063599458728,0.0027063599458728,0,0,0,0,0,0.0027063599458728,0,0,0,0.0027063599458728,0,0.0027063599458728,0,0.0027063599458728,0.0027063599458728,0.0027063599458728,0,0,0,0,0,0,0,0,0
225,1565,0.00198412698412698,0.0138888888888889,0.0396825396825397,0.00793650793650794,0.00396825396825397,0.0248015873015873,0.00595238095238095,0,0.00396825396825397,0.396825396825397,0.00198412698412698,0.0119047619047619,0.115079365079365,0,0,0,0.0178571428571429,0.0138888888888889,0.0119047619047619,0.0396825396825397,0.165674603174603,0.00595238095238095,0.0833333333333333,0.00198412698412698,0.0138888888888889,0.00198412698412698,0.00198412698412698,0,0.00198412698412698,0,0,0,0.00198412698412698,0.00198412698412698,0,0,0.00198412698412698,0.00198412698412698,0,0,0,0,0,0.00198412698412698,0.00198412698412698,0,0,0,0,0,0,0
250,1908,0,0.03125,0.1203125,0.009375,0.00625,0.028125,0.00625,0.003125,0.015625,0.328125,0,0,0.184375,0.003125,0,0,0.00625,0.01875,0.0171875,0.071875,0.025,0.00625,0.0109375,0,0.08125,0,0.0015625,0,0,0,0,0,0.003125,0,0,0,0.00625,0.003125,0,0.003125,0,0,0,0.003125,0,0.00625,0,0,0,0,0,0
300,2594,0.00313479623824451,0.0407523510971787,0.139498432601881,0.0188087774294671,0.00626959247648903,0.0266457680250784,0.0219435736677116,0.00940438871473354,0.0109717868338558,0.216300940438871,0,0.00313479623824451,0.22257053291536,0,0.00313479623824451,0.00313479623824451,0.00626959247648903,0.0313479623824451,0.0203761755485893,0.0501567398119122,0.054858934169279,0,0.00940438871473354,0,0.0705329153605016,0.00313479623824451,0.00626959247648903,0,0.00626959247648903,0,0,0,0,0,0.00313479623824451,0,0.00313479623824451,0,0,0,0,0,0,0.00313479623824451,0,0,0.00313479623824451,0.00313479623824451,0,0,0,0
350,3280,0.00176678445229682,0.049469964664311,0.134275618374558,0.0176678445229682,0.0106007067137809,0.0106007067137809,0.00353356890459364,0.00353356890459364,0.0159010600706714,0.130742049469965,0.00706713780918728,0,0.303886925795053,0.00353356890459364,0,0.00353356890459364,0.0212014134275618,0.0212014134275618,0.0618374558303887,0.0671378091872792,0.00353356890459364,0.0229681978798587,0.00353356890459364,0.00706713780918728,0.0671378091872792,0.0106007067137809,0,0,0.00353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353356890459364,0,0,0,0,0.00353356890459364,0.00353356890459364,0.00353356890459364,0
375,3624,0.00405679513184584,0.077079107505071,0.0973630831643002,0.0324543610547667,0.00811359026369168,0.0324543610547667,0,0.0121703853955375,0.0101419878296146,0.14604462474645,0,0,0.275862068965517,0,0,0.00405679513184584,0.0121703853955375,0.0689655172413793,0.00811359026369168,0.0933062880324544,0.00608519269776876,0.00811359026369168,0.00202839756592292,0,0.0730223123732252,0.00811359026369168,0,0,0.00811359026369168,0,0,0,0.00405679513184584,0,0,0,0,0.00811359026369168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,NA,0.00405679513184584,0.125760649087221,0.0953346855983773,0.0405679513184584,0,0.0405679513184584,0.0162271805273834,0,0.0324543610547667,0.0791075050709939,0.00405679513184584,0.00405679513184584,0.233265720081136,0.00811359026369168,0,0,0.0243407707910751,0.0730223123732252,0.0121703853955375,0.109533468559838,0.00405679513184584,0.0223123732251521,0.00202839756592292,0.00405679513184584,0.0405679513184584,0.0121703853955375,0,0,0.00405679513184584,0,0,0,0.00405679513184584,0,0,0,0,0,0,0,0,0,0.00405679513184584,0,0,0,0,0,0,0,0,0
485,NA,0,0.149717514124294,0.0169491525423729,0.0282485875706215,0.00564971751412429,0.0437853107344633,0.0141242937853107,0.00282485875706215,0.00847457627118644,0.0593220338983051,0.00282485875706215,0.00564971751412429,0.257062146892655,0.00564971751412429,0,0.00282485875706215,0.0225988700564972,0.076271186440678,0.0169491525423729,0.146892655367232,0.0395480225988701,0.0225988700564972,0.0127118644067797,0.00564971751412429,0.019774011299435,0.019774011299435,0,0,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0.00564971751412429,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0.00282485875706215
