"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rumex","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Zea.mays"
230,987,0,0,4,11,0,0,0,0,2,0,18,0,0,1,0,1,1,2,0,0,2,3,2,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8,1,79,0,2,286,0,0,0,47,0,0,0,0,0,2,0,0,3,8,0,9,1,0,0,0
240,1032,0,0,8,7,0,1,0,0,2,0,23,0,0,2,0,1,2,4,0,0,9,2,3,3,0,0,4,0,0,3,0,0,0,0,0,0,0,1,9,0,1,6,0,67,0,4,184,0,0,0,35,0,0,1,1,0,2,0,0,2,12,1,13,1,0,0,0
260,1120,0,1,10,1,0,1,0,0,0,0,17,0,0,1,0,0,1,3,0,0,13,5,1,6,0,0,2,0,0,0,0,0,0,0,0,0,6,2,3,0,0,5,2,74,0,1,62,1,0,2,39,0,0,2,0,0,0,0,0,2,14,5,11,0,0,0,0
305,1319,2,0,9,11,0,0,0,0,0,0,8,0,0,3,0,1,0,31,0,0,11,4,0,4,0,0,1,0,0,4,0,0,0,0,1,0,1,1,1,0,0,8,0,91,0,4,216,1,0,0,19,0,0,0,0,0,0,0,0,5,7,4,12,1,0,0,0
340,1474,0,1,15,1,1,2,0,1,1,0,15,0,0,5,0,0,1,4,3,0,37,2,3,5,0,0,3,0,0,4,0,0,1,0,0,0,6,0,9,0,0,7,2,55,0,4,181,1,0,2,25,0,0,0,0,0,2,0,0,1,9,4,11,1,0,0,0
380,1650,0,0,13,5,0,0,0,0,0,0,10,0,0,2,0,0,3,1,1,0,21,5,6,11,0,0,3,0,0,2,0,0,0,0,0,1,1,3,2,0,0,4,0,48,0,3,317,2,0,0,49,0,0,0,0,0,1,0,0,3,10,0,13,3,0,0,0
460,2002,0,0,13,7,0,0,0,0,1,0,15,0,0,4,0,0,1,14,1,0,30,7,1,8,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,6,2,42,0,1,276,0,0,0,28,0,0,1,2,0,2,0,0,2,13,7,24,0,0,0,0
500,2177,0,0,12,2,1,1,0,1,0,0,25,0,5,1,0,0,1,3,0,0,34,6,8,14,0,0,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,42,0,0,2314,1,0,0,23,0,0,1,0,0,1,0,0,4,9,2,27,3,0,0,0
540,2352,0,0,15,5,1,0,0,0,2,0,22,0,0,4,0,1,0,3,1,0,27,9,4,13,0,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,6,2,30,0,4,559,1,0,0,28,0,0,1,0,0,1,0,0,3,8,0,23,2,0,1,0
580,2528,0,2,3,4,0,1,0,0,3,0,23,0,0,2,0,0,0,1,0,0,32,6,4,10,0,0,1,1,0,6,0,0,0,0,0,0,0,5,2,0,0,6,2,55,0,0,990,0,0,0,26,0,0,0,1,0,1,0,0,3,9,0,15,0,0,1,0
