"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Polygonum","Rosaceae","Sphagnum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Typha","Spore..monolete.","Spore..trilete.","Indeterminable"
470,4006,55,3,5,7,232,0,0,0,0,0,0,1,0,0,4,0,18,45,352,0,23,0,0,0,0,5,7,5,2,2,2,0,1,0,1,5,0,0,0,0,0,0,0,17
480,4129,47,0,2,5,245,0,0,3,4,0,1,5,1,0,0,2,24,20,233,0,15,0,0,0,0,3,6,5,0,1,0,0,2,0,0,1,0,0,0,0,0,3,1,11
490,4274,39,0,6,4,194,0,0,0,0,1,1,0,0,0,0,0,20,27,236,0,7,0,0,0,0,6,7,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,8
500,4418,63,0,10,6,337,0,0,1,0,0,0,3,0,0,0,3,32,79,444,0,28,0,0,0,0,10,8,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,23
510,4562,63,0,4,10,303,2,0,2,0,0,0,2,0,0,1,6,32,56,445,1,16,1,0,1,6,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,21
520,4706,23,0,2,12,365,2,0,1,3,0,0,3,0,0,0,0,19,35,313,0,13,1,0,0,1,3,3,5,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,19
530,4850,9,0,4,22,343,0,0,0,0,0,0,1,0,0,0,10,19,214,220,0,24,0,0,1,0,0,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,18
540,4994,44,0,0,5,345,0,0,0,0,0,0,5,0,0,2,0,19,22,307,0,16,0,0,0,0,1,3,6,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,15
550,5139,46,0,0,4,399,0,0,0,0,0,0,2,0,0,0,0,24,53,500,0,11,0,0,0,0,2,6,11,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,31
560,5283,30,2,4,1,337,0,0,2,0,0,0,1,1,0,1,0,28,105,557,0,14,0,0,1,1,6,4,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,28
570,5427,26,0,1,16,319,1,0,7,1,0,0,1,0,0,1,3,13,129,547,0,17,0,0,0,6,3,6,7,0,3,1,0,4,0,2,1,0,0,0,0,0,0,0,34
580,5571,16,0,6,17,222,0,0,7,0,0,0,3,0,0,2,3,7,19,624,0,15,0,0,0,7,5,2,6,1,4,1,0,3,0,2,3,0,0,0,0,0,4,0,17
590,5715,11,0,0,1,191,0,0,0,0,0,0,2,0,0,0,0,14,54,459,0,14,0,0,0,0,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
600,5859,8,0,2,6,116,0,0,2,0,0,0,0,0,0,0,0,17,97,328,0,13,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,16
610,6004,22,0,2,4,275,0,0,2,0,0,0,4,0,0,1,0,13,30,375,0,19,0,0,0,1,2,12,8,1,7,0,0,0,0,0,2,0,0,0,0,0,2,0,11
620,6148,34,1,1,4,161,0,0,1,0,0,0,0,0,0,0,5,67,118,464,0,11,0,0,0,0,4,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,19
