"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Picea","Quercus","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Larix","Ostrya.Carpinus","Salix","Asteraceae.subf..Asteroideae.undiff.","Humulus","Fraxinus.americana","Sarcobatus.vermiculatus","Corylus","Thalictrum","Onagraceae","Tsuga","Acer.rubrum","Castanea","Carya","Iva.xanthifolia","Rosaceae","Platanus","Acer.negundo","Juglans.cinerea","Shepherdia.argentea","Amorpha","Dalea.candida","Acer.saccharum","Celtis","Shepherdia.canadensis","Apiaceae","Caryophyllaceae"
1,-14,0.012012012012012,0.015015015015015,0.126126126126126,0.009009009009009,0.006006006006006,0.006006006006006,0.006006006006006,0.153153153153153,0.015015015015015,0.006006006006006,0.033033033033033,0.018018018018018,0.003003003003003,0.009009009009009,0.003003003003003,0.012012012012012,0.033033033033033,0.531531531531532,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48,0.00282485875706215,0.019774011299435,0.110169491525424,0.00564971751412429,0.00282485875706215,0.0141242937853107,0.00282485875706215,0.135593220338983,0.00282485875706215,0,0.076271186440678,0.0225988700564972,0,0,0.00847457627118644,0.019774011299435,0.096045197740113,0.454802259887006,0,0.00564971751412429,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,126,0.00583090379008746,0.0116618075801749,0.0903790087463557,0.00583090379008746,0.00583090379008746,0.0087463556851312,0.00291545189504373,0.166180758017493,0.00291545189504373,0,0.0699708454810496,0.0087463556851312,0,0,0.0087463556851312,0.00583090379008746,0.0816326530612245,0.510204081632653,0,0.00583090379008746,0,0.00583090379008746,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,282,0.00576368876080692,0.0172910662824208,0.106628242074928,0.00288184438040346,0.0115273775216138,0.0201729106628242,0.00288184438040346,0.144092219020173,0.00864553314121038,0,0.0922190201729107,0.00288184438040346,0,0.00576368876080692,0.00576368876080692,0.0144092219020173,0.0518731988472622,0.478386167146974,0,0.00576368876080692,0,0.00288184438040346,0.00864553314121038,0,0.00288184438040346,0,0.00288184438040346,0.00288184438040346,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,438,0.0031055900621118,0.0124223602484472,0.111801242236025,0,0.0031055900621118,0,0.0062111801242236,0.164596273291925,0.0093167701863354,0,0.0900621118012422,0.0093167701863354,0,0.0031055900621118,0,0.0124223602484472,0.0559006211180124,0.509316770186335,0,0,0.0031055900621118,0,0.0031055900621118,0,0,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,905,0.00290697674418605,0.00581395348837209,0.113372093023256,0.00290697674418605,0.0232558139534884,0.00581395348837209,0.00290697674418605,0.171511627906977,0.00290697674418605,0.00290697674418605,0.0784883720930233,0.0232558139534884,0,0.00872093023255814,0.00581395348837209,0.00872093023255814,0.0959302325581395,0.430232558139535,0.00581395348837209,0.00872093023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1217,0.0079155672823219,0.0079155672823219,0.168865435356201,0,0.00527704485488127,0.00527704485488127,0.00263852242744063,0.195250659630607,0.0079155672823219,0,0.0765171503957784,0,0,0.00263852242744063,0,0.0079155672823219,0.0844327176781003,0.393139841688654,0.00263852242744063,0.0184696569920844,0,0.00263852242744063,0,0,0,0,0.0079155672823219,0,0,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1529,0.00563380281690141,0.0253521126760563,0.154929577464789,0.00563380281690141,0.0394366197183099,0.0028169014084507,0.0028169014084507,0.104225352112676,0.0112676056338028,0,0.095774647887324,0.00563380281690141,0,0,0.00563380281690141,0.0197183098591549,0.0676056338028169,0.405633802816901,0.00563380281690141,0.0197183098591549,0.0028169014084507,0.00845070422535211,0.00845070422535211,0,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1840,0.00266666666666667,0.0106666666666667,0.173333333333333,0,0.0186666666666667,0,0.00266666666666667,0.138666666666667,0.0133333333333333,0.008,0.0746666666666667,0.0106666666666667,0,0,0,0.008,0.112,0.402666666666667,0,0.0106666666666667,0.00533333333333333,0,0,0,0.00266666666666667,0,0,0,0,0,0.00266666666666667,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2152,0.00920245398773006,0.00613496932515337,0.134969325153374,0,0.00920245398773006,0.0122699386503067,0,0.098159509202454,0.0122699386503067,0,0.0950920245398773,0.00306748466257669,0,0,0.00613496932515337,0.00920245398773006,0.168711656441718,0.395705521472393,0,0.0184049079754601,0.00306748466257669,0.00613496932515337,0,0,0,0.00613496932515337,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
