"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryas","Equisetum","Ericaceae","Fabaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Indeterminable","Iva.annua","Iva.xanthifolia","Larix","Lycopodium.annotinum","Lysimachia","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygalaceae","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rhamnus.alnifolia","Rosaceae.undiff.","Salix","Sarcobatus.vermiculatus","Saxifraga","Shepherdia.canadensis","Sphagnum","Thalictrum","Typha.latifolia","Ulmus","Urtica.type"
290,441,14,0,0,15,35,1,0,12,1,40,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,260,192,14,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,11,0,0,0,0
735,6904,13,0,0,16,31,2,0,9,1,93,0,0,0,5,1,0,2,0,0,2,0,3,0,0,8,1,0,0,1,0,131,47,6,236,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0
745,7049,3,0,0,49,49,1,1,1,4,87,0,0,0,4,10,0,2,0,0,3,0,1,1,1,0,1,0,2,0,3,45,49,7,205,6,0,0,1,0,0,1,3,0,0,0,1,0,0,0,14,1,0,1,0
750,7122,15,0,0,36,37,5,0,12,3,85,0,0,1,5,5,0,2,0,0,4,2,2,1,0,2,4,0,1,0,0,125,29,9,262,3,0,0,0,0,0,0,3,1,0,0,4,0,0,0,14,0,0,1,0
755,7195,8,0,0,49,56,3,4,1,3,93,1,0,0,8,0,0,0,0,0,1,0,3,1,1,3,1,0,1,0,1,87,22,8,245,5,0,0,1,0,0,0,6,0,0,1,5,0,0,0,43,1,0,0,0
760,7267,13,0,0,19,27,2,2,16,6,77,0,0,1,5,13,0,2,2,0,2,0,4,0,0,4,2,0,3,0,0,148,41,14,256,4,1,0,0,0,0,1,5,0,0,1,1,1,0,0,20,0,0,1,0
765,7330,13,0,0,36,21,4,0,16,8,63,0,0,4,8,7,0,0,0,1,0,0,2,0,1,6,2,0,1,0,1,105,45,9,216,4,0,0,3,0,0,0,1,0,0,0,0,1,0,0,14,0,1,3,0
770,7384,8,0,0,20,45,2,4,16,1,119,0,0,0,13,9,0,2,1,0,2,0,1,0,0,0,5,0,1,0,1,97,37,4,323,5,0,2,3,0,0,0,7,0,0,0,5,2,0,1,24,0,1,0,0
775,7438,5,0,0,37,40,4,5,0,5,107,0,0,1,4,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,60,42,1,182,3,0,0,1,0,0,0,4,0,1,0,3,1,0,0,7,0,0,2,0
780,7492,9,1,0,26,42,7,3,9,8,142,0,0,3,4,9,0,1,0,0,0,0,5,1,0,6,2,1,0,0,0,96,53,5,250,4,2,2,1,0,0,2,1,0,0,0,3,0,0,0,21,0,1,1,0
785,7546,8,0,1,27,45,5,4,10,7,120,0,0,1,9,9,0,3,0,0,0,0,7,0,0,3,1,0,1,0,1,94,57,2,246,5,0,1,2,0,1,5,3,1,0,0,4,0,0,0,11,1,0,1,1
790,NA,5,0,0,30,23,4,4,0,11,185,0,0,4,0,0,0,0,0,0,1,0,11,0,0,3,2,0,2,0,1,65,0,0,57,3,0,0,0,0,0,1,4,0,0,1,2,0,0,0,1,0,0,1,0
795,NA,8,0,0,18,40,7,5,18,4,148,0,0,1,10,4,0,1,0,0,3,0,4,2,0,2,0,0,0,1,2,73,38,0,274,7,0,1,0,0,0,9,5,0,0,0,5,1,0,0,9,0,0,2,0
799,NA,11,0,0,15,35,13,2,14,5,98,0,0,2,14,5,0,3,0,0,2,0,2,0,0,9,0,0,1,0,0,62,8,2,218,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,1,0
803,NA,0,0,0,7,24,12,12,20,2,48,0,0,0,23,11,0,2,0,0,0,0,2,0,0,8,1,0,0,0,1,181,42,1,182,3,0,0,1,0,0,2,2,0,0,0,12,0,0,0,2,0,0,1,0
810,NA,0,1,0,3,14,14,27,44,21,13,0,2,2,10,52,3,3,0,0,3,0,6,0,5,4,0,0,0,0,0,103,0,0,220,20,0,0,4,2,1,1,4,0,0,0,55,3,1,1,2,0,0,3,0
