"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Caryophyllaceae","Cornus","Cyperaceae","Dryas.type","Equisetum","Ericaceae","Huperzia.selago","Isoëtes","Lycopodiaceae.undiff.","Nuphar","Onagraceae","Picea","Pinus","Poaceae","Polypodiaceae","Ranunculaceae","Rumex","Salix","Shepherdia.canadensis","Sphagnum","Unknown","Woodsia"
0,NA,43,11,0,0,0,0,31,0,0,0,0,1,2,0,2,5,1,0,145,2,0,0,0,0,0,0,2,8,0
10,NA,39,9,0,0,0,0,25,0,0,0,0,0,0,0,3,6,1,0,154,2,0,0,0,0,0,0,3,13,0
20,NA,52,32,0,0,0,0,68,0,0,1,0,0,0,1,5,3,0,0,256,1,0,0,0,0,0,0,2,8,0
30,NA,25,13,0,0,0,0,34,0,0,2,0,0,1,0,0,4,0,0,164,0,0,0,0,0,1,0,1,9,0
40,NA,40,21,0,0,0,0,58,0,0,2,0,1,1,0,0,12,1,0,199,0,0,0,0,0,0,0,11,13,0
50,4562,34,18,0,0,0,0,46,0,0,2,0,0,1,0,2,5,0,0,214,2,1,0,0,0,1,0,5,3,0
60,4717,57,17,0,0,0,0,28,0,0,1,0,0,1,0,2,2,1,0,167,1,0,0,0,0,0,0,2,7,0
70,4872,27,15,0,0,0,0,30,0,1,0,0,0,2,1,0,5,0,0,131,0,1,0,0,0,0,0,2,3,0
80,5026,39,17,0,0,0,0,42,0,0,3,0,0,1,0,2,4,0,0,168,0,0,0,0,0,0,0,1,10,0
90,5181,59,12,0,0,0,0,46,0,0,1,0,0,0,0,2,1,0,0,244,1,0,0,0,0,0,0,0,9,0
100,5336,25,13,0,0,0,1,33,0,0,3,0,0,1,1,1,1,0,0,133,1,0,0,0,0,0,0,1,9,0
110,5491,45,19,0,0,1,1,35,0,0,1,0,0,0,0,3,4,1,0,188,0,1,0,0,1,1,0,3,6,0
120,5646,55,16,0,0,0,0,54,0,0,0,0,0,1,0,6,5,1,0,217,1,0,0,0,0,0,0,1,10,0
130,5801,46,23,0,0,0,0,63,0,0,2,0,0,1,0,3,2,0,0,240,1,0,0,0,0,1,0,3,19,0
140,5956,54,12,0,0,0,0,63,0,0,1,0,0,0,0,5,2,1,0,186,2,0,0,0,0,1,0,2,32,0
150,6111,40,12,0,0,0,0,95,0,0,4,0,0,0,0,6,1,0,0,150,2,0,0,0,0,0,0,0,46,0
160,6266,53,54,1,0,0,0,147,0,0,3,0,0,0,0,0,12,0,0,63,8,0,11,0,0,1,0,0,102,0
170,6420,51,37,0,0,0,0,112,0,0,1,0,0,0,0,1,8,0,0,21,2,0,7,0,0,0,0,1,73,0
177,6529,66,44,0,0,0,0,132,0,0,4,0,0,0,1,3,7,0,0,28,2,0,7,0,0,0,0,0,54,0
200,NA,46,87,0,0,0,0,67,0,0,3,0,0,0,0,1,13,0,0,27,2,0,6,0,0,1,0,0,39,0
210,NA,35,145,0,0,1,0,87,0,0,6,0,0,1,0,1,22,1,1,13,4,0,7,0,0,1,0,1,47,0
220,NA,21,146,0,1,0,0,40,0,0,7,0,0,0,0,1,25,0,0,37,5,2,3,0,0,2,0,0,62,0
230,NA,1,192,0,0,0,2,22,0,0,5,0,0,0,0,1,41,1,0,2,5,2,1,0,0,1,0,0,16,0
240,NA,1,123,0,0,1,0,72,0,0,7,0,0,2,0,0,3,0,2,3,7,4,1,0,0,7,1,0,10,5
250,NA,3,67,0,0,17,1,46,1,0,24,1,3,8,0,0,0,0,1,6,19,37,0,1,0,49,0,1,15,0
260,NA,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
