"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Amorpha.type","Artemisia","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ephedra.viridis.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Humulus.type","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Melilotus.type","Morus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Ranunculus.undiff.","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Juniperus.type","Ostrya.type","Brassicaceae","Heliotropium","Triticum.type","Pinaceae.undiff.","Fraxinus.nigra.type","Dalea.candida.type","Sarcobatus.vermiculatus","Avena.type","Dalea.purpurea","Secale.type","Acer.negundo","Betula","Liliaceae","Parietaria","Solanum.rostratum","Trifolium.repens.type","Polygonum.ramosissimum.type","Rosaceae","Sphaeralcea","Euphorbia","Ephedra.trifurca.type","Urtica.type","Xanthium","Alnus.undiff.","Fabaceae.undiff.","Dalea.undiff.","Zea.mays","Polygonum.tenue.type","Thalictrum","Gaura","Verbena","Carya","Celtis","Galium","Allium","Shepherdia.argentea","Polygonum.lapathifolium.type","Opuntia","Campanula.rotundifolia.type","Parthenocissus","Tilia","Juglans.cinerea","Juglans.nigra","Plantago","Symphoricarpos.type","Abies","Iva.annua.type","Eriogonum","Pediomelum.type","Asteraceae.tribe.Cynareae","Ericaceae","Sisyrinchium","Vitis","Anemone.canadensis.type","Elaeagnus","Rhus","Tidestromia","Acer.saccharum","Shepherdia.canadensis","Laportea.type","Hedysarum","Pilea.type","Polygonum.amphibium.type","Ranunculus.pensylvanicus.type","Larix","Comandra","Pedicularis","Oenothera","Fraxinus.undiff.","Lycopus.type","Maclura.pomifera.type","Cornus.sericea.type","Epilobium","Fagus","Stachys.type","Acer.saccharinum.type","Caryophyllaceae","Onosmodium","Myricaceae","Phlox"
887,11924,784,11,2,5,0,140.5,9,6,106,0,0,258,4,0,1,0,0,93,11,2,10.5,0,4,14,6,0,0,9,0,21,12,0,20,4,0,0,0,1,7,1,1,0,0,0,1,7,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,12072,728,5,0,4,0,160,22,4,65,1,0,234,2,0,1,0,0,70.5,6.5,1,14,0,22,6,14,0,0,11,0,13,10,0,17,4,0,0,0,0,12,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,12278,673,9,0,4,0,106.5,9,4,69,0,0,228,0,0,0,0,0,92,10,1,12.5,0,9,21,8,0,0,7,0,17,2,0,25,3,0,0,0,4,8,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
924,12393,870.5,11,1,7,1,149.5,15,5,87,0,0,265,0,1,0,0,0,113,9,3,22,0,21,37,7,0,0,12,0,11.5,4,0,18,8,0,0,0,0.5,19,0,4,0,0,0,1,10,0,1,0,0,0,4,0,0,0,4,0,0,1,0,0,0,5,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,12579,864,13,0,3,0,151,9,6,134,0,2,247,3,0,1,0,0,101,4,1,11,0,20,23,9,0,1,12,0,18,3,2,45,12,0,0,0,0,14,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,12711,627,1,0,7,0,198,17,1,61,0,0,139,2,1,0,0,0,60.5,6,1,0.5,0,11,27,6,0,0,7,0,17,2,1,19,5,1,0,0,0,15,0,1,0,0,0,2,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,12849,820.5,9,1,20,0,208,19,6,91,0,4,159,4,0,0,0,0,92.5,4,2,2,0,40,17,5,0,0,19,0,13,5,0,35,11,0,0,0,2,27,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
956,12920,996.5,4,1,16,0,283,31,5,105,0,1,179,6,0,0,0,0,71,4.5,1,8,0,31,95,8,1,0,12,0,24,5,0,24,12,1,0,0,0,27,0,3,0,0,0,5,4,1,1,0,0,0,3,0,0,0,8,0,0,1,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
960,12992,988,3,1,30,0,160,19,21,97,0,1,148,23,0,0,0,0,55.5,0,0,7.5,2,27,117,11,0,1,39,0,27,16,1,35,16,0,0,0,0,79,0,2,0,0,0,3,4,1,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,13066,821,1,0,27,0,133,12,3,86,0,0,82,8,1,0,0,0,143.5,4,1,6,1,34,114,7,0,0,11,0,13,7,0,28,13,0,0,0,0.5,56,0,2,0,0,0,1,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,13141,987.5,3,1,24,0,75,6,3,66,1,0,61,11,0,0,0,0,494,6,1,12.5,0,52,28,11,0,0,5,0,5,5,0,56,9,0,0,0,0,27,0,2,0,0,0,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,NA,498.5,4,0,12,1,62,5,4,46,2,1,24,2,0,0,0,0,132,0,1,3,0,31,65,5,0,0,7,0,10,0,0,27,3,0,0,0,4.5,14,1,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,12,1,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
977,NA,962.5,6,0,20,0,111,2,1,65,0,0,51,9,0,0,0,0,544.5,4,0,4,0,12,20,10,0,0,9,0,11,1,1,35,4,1,0,0,0,12,0,1,0,0,0,3,1,0,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
985,NA,1024.5,1,0,22,0,129,16,2,78,0,0,75,8,0,0,0,0,457,4.5,0,7.5,0,22,35,5,0,1,22,0,10,5,0,55,5,3,0,0,5.5,20,0,1,0,0,0,3,5,0,1,0,0,0,9,0,0,0,4,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
988,NA,737,1,0,6,1,53,7,0,41,0,0,33,0,0,0,0,0,429,4,2,4,0,27,17,6,0,1,12,0,5,0,0,30,9,0,0,0,6,7,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,21,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
992,NA,523,3,0,7,0,44,2,0,43,0,0,25,2,0,1,0,0,127,1,0,4,0,123,48,6,0,0,20,0,5,3,0,15,8,0,0,0,10,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1004,NA,143.5,1,1,0,0,14,2,0,24,0,0,8,0,0,0,0,0,19,0,0.5,0,0,20,12,1,0,1,5,0,3,3,1,5,4,1,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
