"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Amorpha.type","Artemisia","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ephedra.viridis.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Humulus.type","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Melilotus.type","Morus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Ranunculus.undiff.","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Juniperus.type","Ostrya.type","Brassicaceae","Heliotropium","Triticum.type","Pinaceae.undiff.","Fraxinus.nigra.type","Dalea.candida.type","Sarcobatus.vermiculatus","Avena.type","Dalea.purpurea","Secale.type","Acer.negundo","Betula","Liliaceae","Parietaria","Solanum.rostratum","Trifolium.repens.type","Polygonum.ramosissimum.type","Rosaceae","Sphaeralcea","Euphorbia","Ephedra.trifurca.type","Urtica.type","Xanthium","Alnus.undiff.","Fabaceae.undiff.","Dalea.undiff.","Zea.mays","Polygonum.tenue.type","Thalictrum","Gaura","Verbena","Carya","Celtis","Galium","Allium","Shepherdia.argentea","Polygonum.lapathifolium.type","Opuntia","Campanula.rotundifolia.type","Parthenocissus","Tilia","Juglans.cinerea","Juglans.nigra","Plantago","Symphoricarpos.type","Abies","Iva.annua.type","Eriogonum","Pediomelum.type","Asteraceae.tribe.Cynareae","Ericaceae","Sisyrinchium","Vitis","Anemone.canadensis.type","Elaeagnus","Rhus","Tidestromia","Acer.saccharum","Shepherdia.canadensis","Laportea.type","Hedysarum","Pilea.type","Polygonum.amphibium.type","Ranunculus.pensylvanicus.type","Larix","Comandra","Pedicularis","Oenothera","Fraxinus.undiff.","Lycopus.type","Maclura.pomifera.type","Cornus.sericea.type","Epilobium","Fagus","Stachys.type","Acer.saccharinum.type","Caryophyllaceae","Onosmodium","Myricaceae","Phlox"
428,2303,707.5,1,2,40,0,39,338,0,81,0,0,110,1,0,4,0,0,0,0.5,0,17,0,0,2,0,0,1,0,0,47,0,1,0,1,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,2997,685.5,2,0,32,0,39,296,0,109,0,0,93,0,1,4,0,0,0.5,0,0,49,0,0,4,1,0,0,0,0,41,0,0,1,1,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,3568,607,2,0,33,0,19,375,0,28,0,0,69,0,0,20,0,0,1,0,0,10,0,0,0,2,0,0,0,0,41,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,4071,307.5,0,0,22,0,3,215,0,18,0,0,19,0,0,2,0,0,0.5,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,4742,626,2,0,27,0,15,478,0,11,1,0,37,0,0,16,0,0,1,0,0,11,0,0,0,1,0,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,5469,532.5,4,1,26,0,11,358,0,8,0,0,30,0,1,14,0,0,2,0,0,21,0,0,0,0,0,0,0,0,10,7,0,2,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,5862,376,2,3,26,0,15,263,0,5,0,1,24,0,1,7,0,0,0,0,0,8,0,0,0,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,6261,333.5,8,0,33,0,20,143,0,8,0,0,44,1,1,16,0,0,5,1,0,26.5,0,0,1,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,7042,255.5,0,0,18,0,6,87,0,5,0,0,43,0,1,18,0,0,1.5,1,0,29.5,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,11.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,7733,405,1,0,38,0,18,140,0,18,0,0,62,1,0,10,0,0,3.5,10,0,32.5,0,0,0,2,0,0,0,0,38,7,0,0,0,0,0,0,4.5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,8020,369,4,0,28,0,17,143,1,23,2,0,50,1,0,9,0,0,0,3,3,13.5,0,0,1,1,0,0,0,0,14,4,0,3,0,0,0,0,1,1,0,1,0,2,0,0,3,0,0,0,0,14,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,8277,335.5,0,0,21,1,13,147,0,15,0,1,40,0,0,4,0,0,1,0,0,17.5,0,0,0,0,0,0,2,0,16,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,17,0,17,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,8650,567.5,2,0,123,1,28,212,0,29,0,0,66,0,1,7,0,0,0,4,1,22.5,0,0,0,2,0,1,0,0,27,2,1,1,3,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,9,1,3,4,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,8885,262.5,0,1,7,0,7,107,0,5,0,0,23,0,0,4,0,0,2,1,0,14.5,0,0,0,1,0,0,0,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,51,1,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,9439,430.5,0,0,20,0,7,209,0,15,1,0,51,0,0,11,0,0,6.5,5,0,31,0,0,1,3,0,0,0,0,17,5,0,2,4,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,21,4,5.5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,9652,614,1,0,89,1,96.5,114,4,47,0,4,150,1,1,1,0,0,7.5,8,1.5,28,0,0,0,6,0,1,0,0,17,14,1,2,5,0,0,0,1.5,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,9843,642.5,2,0,127,0,84,94,0,52,0,0,158,0,0,0,0,0,9.5,3,1,19.5,1,0,4,4,0,0,1,0,24,25,0,15,5,0,0,0,1.5,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,10014,817,2,1,135,0,73.5,184,1,36,0,2,249,0,0,5,0,0,8,6.5,0,38.5,0,0,1,12,0,0,0,0,28,19,1,1,5,1,0,0,0.5,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,10165,731,1,0,116,0,70,179,2,32,0,0,211,0,0,3,0,0,7.5,2,1,19.5,0,0,0,12,0,0,0,0,15,24,3,4,5,0,0,0,5,1,3,3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,10417,928,2,1,97,2,116,130,2,77,0,0,320,1,1,2,0,0,7.5,2.5,0,33.5,0,0,0,11,0,0,0,0,33,57,0,6,6,0,0,0,0.5,1,4,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,10610,540.5,5,1,106,0,53,66,4,51,0,1,145,0,0,0,0,0,16.5,1,1,13.5,0,0,1,8,0,0,3,0,19,19,0,3,6,0,0,0,3.5,1,1,2,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,10754,466,0,0,116,0,39,81,1,63,0,1,71,1,0,1,0,0,6,3,0,14,0,1,2,7,0,0,2,0,12,21,0,1,4,0,0,0,2,1,2,2,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,10836,661,1,0,75,0,94,47,1,91,1,1,180,0,3,2,0,0,11.5,4,0,15,1,0,5,28,0,1,2,0,15,36,1,8,7,0,0,0,2.5,4,6,4,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,10882,724,2,0,166,0,60,37,3,83,0,2,197,5,1,0,0,0,21.5,15,2,16,0,2,6,19,0,1,3,0,8,9,0,6,11,2,0,0,0.5,17,2,2,0,8,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,10921,1042.5,0,1,394,1,100,64,4,75,0,2,198,1,8,1,0,1,36,5,1,14.5,2,2,7,18,0,0,4,0,10,28,0,10,6,2,0,0,0,10,0,2,0,1,0,4,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,10956,559,0,2,61,0,61,31,7,81,0,0,159,0,1,1,0,0,8.5,7,0,17.5,0,2,9,16,0,0,3,0,7,21,2,7,21,0,0,0,4,2,0,5,0,0,0,3,9,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,10972,493,2,1,31,0,50,32,8,45,0,0,150,0,0,0,0,2,6.5,3,0,13.5,0,1,0,36,0,0,4,0,7,54,0,4,15,0,0,0,0,4,1,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,11017,596.5,3,0,42,0,67,76,6,84,0,0,153,2,0,3,0,1,5,10,0,12,0,8,15,22,0,0,4,0,9,15,1,9,11,0,0,0,3.5,4,5,3,0,5,0,0,6,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,11045,671.5,0,0,216,0,66,25,3,67,0,2,121,3,1,0,0,0,16,9,6,13,2,3,18,8,1,0,6,0,6,17,1,8,13,0,0,0,0.5,11,1,2,0,1,0,1,10,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,11075,498.5,0,0,99,0,82,26,1,59,0,0,98,2,4,0,0,0,13,5,2,9,0,3,8,12,0,2,3,0,14,17,1,11,8,0,0,0,0.5,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
